,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
0,mp-1025799,MoSe2,"{'Mo': 1.0, 'Se': 2.0}",0.1006239688072766,3.9765184867753516,"{'G_Reuss': 7.0, 'G_VRH': 14.0, 'G_Voigt': 21.0, 'G_Voigt_Reuss_Hill': 14.0, 'K_Reuss': 16.0, 'K_VRH': 27.0, 'K_Voigt': 39.0, 'K_Voigt_Reuss_Hill': 27.0, 'elastic_anisotropy': 11.26, 'elastic_tensor': [[111.0, 33.0, 11.0, 0.0, 0.0, 0.0], [33.0, 111.0, 11.0, 0.0, 0.0, 0.0], [11.0, 11.0, 16.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 4.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 4.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 39.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 11.26, 'elastic_tensor_original': [[109.09360147074797, 32.885219809090245, 3.717688030003878, 0.0, 0.0, -1.1400144215658322e-05], [35.097106786539044, 110.81165740959874, 6.056580317148019, 0.0, 0.0, -3.81987368198634e-05], [17.20944388212231, 17.209445282123472, 15.981270462860845, 0.0, 0.0, -6.0000049794058166e-06], [0.0, 0.0, 0.0, 1.5328451422809124, -5.000004052462712e-07, 0.0], [0.0, 0.0, 0.0, 0.0, 6.057225816385158, 0.0], [-1.3793884617102079e-05, 0.0, 0.0, 0.0, 0.0, 39.35118272973573]], 'compliance_tensor': [[10.351608648299424, -2.5796603242669116, -5.372961573459248, 0.0, 0.0, 3.6285775574834374e-06], [-2.579660324266912, 10.351613698213825, -5.372962884028145, 0.0, 0.0, 3.628578443741915e-06], [-5.372961573459248, -5.372962884028145, 70.00219953757542, 0.0, 0.0, -1.8833988462423464e-06], [0.0, 0.0, 0.0, 263.5021991506001, 4.6183060317660556e-05, 0.0], [0.0, 0.0, 0.0, 4.6183060317660556e-05, 263.50213487735, 0.0], [3.628577558256797e-06, 3.6285784442182364e-06, -1.8833988471062853e-06, 0.0, 0.0, 25.86254299504773]], 'warnings': [], 'nsites': 9}",0.09659055555566454,14.0,27.0,11.26,0.28,35.84
1,mp-1025874,MoS2,"{'Mo': 1.0, 'S': 2.0}",0.0806563593315154,2.7991816899530124,"{'G_Reuss': 0.0, 'G_VRH': 12.0, 'G_Voigt': 23.0, 'G_Voigt_Reuss_Hill': 12.0, 'K_Reuss': 2.0, 'K_VRH': 18.0, 'K_Voigt': 34.0, 'K_Voigt_Reuss_Hill': 18.0, 'elastic_anisotropy': 321.8, 'elastic_tensor': [[122.0, 30.0, 0.0, 0.0, 0.0, 0.0], [30.0, 122.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 46.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 321.8, 'elastic_tensor_original': [[122.08128479974188, 30.365873318174778, 0.6891084141606323, 0.0, 0.0, 0.0], [30.182385191475724, 121.73464446020164, 0.5199402102424434, 0.0, 0.0, 0.0], [-0.26500685463427676, -0.26500679448473025, 1.5867926089213702, 0.0, 0.0, 0.0], [-0.0020235642268585595, -0.0020491742951788405, -0.0009289802289416055, 0.31488042750812456, 0.0, 0.0], [-0.0008755886786580619, 0.002311536511682154, 0.00047866594431640483, 0.0, 0.014858767576775095, 0.0], [2.933329019674186e-07, -1.1566649714973222e-06, -6.413323923779214e-06, 0.0, 0.0, 45.56378795813854]], 'compliance_tensor': [[8.8, -2.2, -0.7, 0.0, 0.0, -0.0], [-2.2, 8.8, -0.7, -0.0, -0.0, -0.0], [-0.7, -0.7, 630.4, 0.0, -0.0, 0.0], [0.0, 0.0, 0.0, 6065.4, -0.0, 0.0], [-0.0, -0.0, -0.0, -0.0, 6065.4, 0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 21.9]], 'warnings': ['One or more K, G below 2 GPa'], 'nsites': 9}",0.7930111111109639,12.0,18.0,321.8,0.23,29.52
2,mp-1139,Co3Mo,"{'Co': 3.0, 'Mo': 1.0}",0.16532743319379867,9.788205406403753,"{'G_Reuss': 131.0, 'G_VRH': 133.0, 'G_Voigt': 135.0, 'G_Voigt_Reuss_Hill': 133.0, 'K_Reuss': 260.0, 'K_VRH': 260.0, 'K_Voigt': 260.0, 'K_Voigt_Reuss_Hill': 260.0, 'elastic_anisotropy': 0.13, 'elastic_tensor': [[452.0, 179.0, 145.0, 0.0, 0.0, 0.0], [179.0, 452.0, 145.0, 0.0, 0.0, 0.0], [145.0, 145.0, 501.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 113.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 113.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 137.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.13, 'elastic_tensor_original': [[458.84301502138555, 185.5138784830982, 153.85722926429847, 0.0, 0.0, 2.7365541269046852e-05], [172.96155302745214, 445.40725510770415, 140.61697639115292, 0.0, 0.0, 0.0], [142.9569756748933, 142.95696279557566, 501.1076959864092, 0.0, 0.0, 0.0], [0.0059214248125261364, 0.00581480151257874, 0.005670818224332599, 113.05600604277453, 0.0, 0.0], [-0.0016945944632946169, -0.0020852244526094656, -0.001881381061749596, -1.8000051444766192e-07, 112.99787247350383, 0.0], [-0.17269786651527205, -0.22425300222911573, -0.19410376797771342, 0.0, 0.0, 136.75536085848404]], 'compliance_tensor': [[2.7, -0.9, -0.5, -0.0, 0.0, -0.0], [-0.9, 2.7, -0.5, 0.0, -0.0, -0.0], [-0.5, -0.5, 2.3, 0.0, -0.0, 0.0], [-0.0, 0.0, 0.0, 8.8, -0.0, 0.0], [0.0, -0.0, -0.0, -0.0, 8.8, -0.0], [-0.0, -0.0, 0.0, 0.0, -0.0, 7.3]], 'warnings': [], 'nsites': 8}",0.0,133.0,260.0,0.13,0.28,340.48
3,mp-11481,MoIr,"{'Mo': 1.0, 'Ir': 1.0}",0.1270388461350749,15.891653646138995,"{'G_Reuss': 172.0, 'G_VRH': 174.0, 'G_Voigt': 176.0, 'G_Voigt_Reuss_Hill': 174.0, 'K_Reuss': 310.0, 'K_VRH': 310.0, 'K_Voigt': 310.0, 'K_Voigt_Reuss_Hill': 310.0, 'elastic_anisotropy': 0.11, 'elastic_tensor': [[597.0, 195.0, 171.0, 0.0, 0.0, 0.0], [195.0, 548.0, 159.0, 0.0, 0.0, 0.0], [171.0, 159.0, 598.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 151.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 175.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 147.0]], 'homogeneous_poisson': 0.26, 'poisson_ratio': 0.26, 'universal_anisotropy': 0.11, 'elastic_tensor_original': [[598.2345559670682, 170.19444374928528, 158.8848662979065, 0.0, 0.0, 0.0], [171.30458384840767, 597.2399014814423, 196.24403177608718, 0.0, 0.0, 0.0], [159.71238584881135, 194.2490379538182, 547.7713455031491, 0.0, 0.0, 0.0], [9.192318104465448e-05, -2.9173284996816308e-05, 0.00011688647301869488, 147.29416921852422, 0.0, 0.0], [-5.0586714852586894e-05, -0.00016138682039471342, -0.00021082020081149668, 0.0, 151.35052931476548, 0.0], [8.640008105365425e-05, 8.786341575999883e-05, 0.00015762348120344105, 0.0, 0.0, 174.87087935514836]], 'compliance_tensor': [[2.0, -0.6, -0.4, 0.0, -0.0, 0.0], [-0.6, 2.2, -0.4, 0.0, 0.0, 0.0], [-0.4, -0.4, 1.9, 0.0, -0.0, 0.0], [0.0, 0.0, 0.0, 6.6, 0.0, 0.0], [-0.0, 0.0, -0.0, 0.0, 5.7, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 6.8]], 'warnings': [], 'nsites': 4}",0.0,174.0,310.0,0.11,0.26,438.48
4,mp-11482,MoIr3,"{'Mo': 1.0, 'Ir': 3.0}",0.12856793574520417,18.954289106141914,"{'G_Reuss': 186.0, 'G_VRH': 188.0, 'G_Voigt': 189.0, 'G_Voigt_Reuss_Hill': 188.0, 'K_Reuss': 337.0, 'K_VRH': 337.0, 'K_Voigt': 337.0, 'K_Voigt_Reuss_Hill': 337.0, 'elastic_anisotropy': 0.09, 'elastic_tensor': [[601.0, 199.0, 194.0, 0.0, 0.0, 0.0], [199.0, 601.0, 194.0, 0.0, 0.0, 0.0], [194.0, 194.0, 657.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 161.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 161.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 201.0]], 'homogeneous_poisson': 0.27, 'poisson_ratio': 0.27, 'universal_anisotropy': 0.09, 'elastic_tensor_original': [[601.1608458997878, 199.0848253422302, 194.44089343912455, 0.0, 0.0, 2.0867551046291847e-05], [197.80174846228698, 602.1651568140651, 193.88665520524717, 0.0, 0.0, 6.269318687161792e-05], [194.3921452454039, 194.3921729831351, 657.1880626703593, 0.0, 0.0, 2.0238340395155827e-05], [0.00018092008279150553, -0.00020067333067908961, 3.2213532074861965e-05, 160.37989533321306, 1.669333520711868e-05, 0.0], [4.340329868780813e-05, -0.00030038309356122825, 0.0003188030788523049, 0.0, 160.86722065582097, 0.0], [0.11716799240908904, -0.06684994184994035, 0.0046794246356808185, 0.0, 0.0, 201.1132309366121]], 'compliance_tensor': [[2.0, -0.5, -0.4, -0.0, 0.0, -0.0], [-0.5, 2.0, -0.4, 0.0, -0.0, -0.0], [-0.4, -0.4, 1.8, 0.0, -0.0, 0.0], [-0.0, 0.0, 0.0, 6.2, -0.0, 0.0], [0.0, -0.0, -0.0, -0.0, 6.2, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 5.0]], 'warnings': [], 'nsites': 8}",0.0,188.0,337.0,0.09,0.27,477.52
5,mp-11506,Ni3Mo,"{'Ni': 3.0, 'Mo': 1.0}",0.14830462828295535,9.512797011663228,"{'G_Reuss': 85.0, 'G_VRH': 89.0, 'G_Voigt': 94.0, 'G_Voigt_Reuss_Hill': 89.0, 'K_Reuss': 230.0, 'K_VRH': 230.0, 'K_Voigt': 230.0, 'K_Voigt_Reuss_Hill': 230.0, 'elastic_anisotropy': 0.53, 'elastic_tensor': [[385.0, 166.0, 145.0, 0.0, 0.0, 0.0], [166.0, 402.0, 131.0, 0.0, 0.0, 0.0], [145.0, 131.0, 402.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 58.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 66.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 94.0]], 'homogeneous_poisson': 0.33, 'poisson_ratio': 0.33, 'universal_anisotropy': 0.53, 'elastic_tensor_original': [[401.8866610768964, 142.06597085191163, 128.8194217628555, 0.0, 0.0, 0.0], [147.1957913129397, 385.10685590027884, 159.73454289184093, 0.0, 0.0, 0.0], [132.2445058474036, 171.30741315224574, 402.0880094889848, 0.0, 0.0, 0.0], [0.003334848629565132, 0.0037237379739082704, 0.003179833962585973, 94.29376699043547, 0.0, 0.0], [0.0009158406512735116, 0.0014687543777941008, 0.0005741770749755733, 0.0, 58.18717578472169, 0.0], [-0.0011416808476330277, -0.00015288344684076486, -0.00036217026889077405, 0.0, 0.0, 66.21699929904398]], 'compliance_tensor': [[3.4, -1.1, -0.9, 0.0, 0.0, 0.0], [-1.1, 3.1, -0.6, 0.0, 0.0, 0.0], [-0.9, -0.6, 3.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 17.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 15.1, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 10.6]], 'warnings': [], 'nsites': 8}",0.0,89.0,230.0,0.53,0.33,236.74
6,mp-11507,Ni4Mo,"{'Ni': 4.0, 'Mo': 1.0}",0.15019754521254436,9.438041481766188,"{'G_Reuss': 82.0, 'G_VRH': 91.0, 'G_Voigt': 99.0, 'G_Voigt_Reuss_Hill': 91.0, 'K_Reuss': 222.0, 'K_VRH': 223.0, 'K_Voigt': 223.0, 'K_Voigt_Reuss_Hill': 223.0, 'elastic_anisotropy': 1.03, 'elastic_tensor': [[300.0, 186.0, 186.0, 0.0, 0.0, 0.0], [186.0, 313.0, 166.0, 36.0, 0.0, 0.0], [186.0, 166.0, 313.0, -36.0, 0.0, 0.0], [0.0, 36.0, -36.0, 106.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 130.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 130.0]], 'homogeneous_poisson': 0.32, 'poisson_ratio': 0.32, 'universal_anisotropy': 1.03, 'elastic_tensor_original': [[310.9455482577795, 163.85572369761613, 182.5499669422922, 0.0, 0.0, -35.44479746954679], [168.26576691515965, 315.9838784785664, 186.19622198830913, 0.0, 0.0, 35.133393933495384], [187.2389368269942, 187.2389368269942, 300.48686580730237, 0.0, 0.0, -1.6027740138384851e-06], [0.0050975978483994945, -0.2184526927589876, -0.1038116367282819, 130.18161744399103, -0.5597509436935972, 0.03962600524724251], [0.29971965735422174, 0.05302213609603185, 0.18984165163994562, 0.5775150200854783, 130.1988988015725, 0.02357345862524273], [-35.98303502949296, 37.89351082813669, 0.12079394344487471, 0.0, 0.0, 106.01077208853845]], 'compliance_tensor': [[6.4, -2.5, -2.5, 0.0, 0.0, -0.0], [-2.5, 6.1, -2.1, -2.8, -0.0, 0.0], [-2.5, -2.1, 6.1, 2.8, -0.0, -0.0], [-0.0, -2.8, 2.8, 11.3, -0.0, -0.0], [0.0, -0.0, -0.0, -0.0, 7.7, 0.0], [-0.0, 0.0, -0.0, -0.0, 0.0, 7.7]], 'warnings': [], 'nsites': 5}",0.0,91.0,223.0,1.03,0.32,240.24
7,mp-11508,MoP4,"{'Mo': 1.0, 'P': 4.0}",0.05769084003298094,4.4453675148711715,"{'G_Reuss': 91.0, 'G_VRH': 98.0, 'G_Voigt': 104.0, 'G_Voigt_Reuss_Hill': 98.0, 'K_Reuss': 128.0, 'K_VRH': 129.0, 'K_Voigt': 131.0, 'K_Voigt_Reuss_Hill': 129.0, 'elastic_anisotropy': 0.69, 'elastic_tensor': [[273.0, 32.0, 38.0, 0.0, -22.0, 0.0], [32.0, 275.0, 102.0, 0.0, 11.0, 0.0], [38.0, 102.0, 286.0, 0.0, -16.0, 0.0], [0.0, 0.0, 0.0, 154.0, 0.0, 5.0], [-22.0, 11.0, -16.0, 0.0, 78.0, 0.0], [0.0, 0.0, 0.0, 5.0, 0.0, 65.0]], 'homogeneous_poisson': 0.2, 'poisson_ratio': 0.2, 'universal_anisotropy': 0.69, 'elastic_tensor_original': [[272.8218422619408, 32.74311397429073, 40.35551008458225, 2.9999938956105003e-06, -23.660826254935586, 0.0], [30.752232613296457, 275.22828987173966, 99.95348109182297, 2.4399576639204364e-05, 9.517424861701848, 2.4399576639204364e-05], [35.738198453416985, 104.53069114760247, 285.9429731489215, 0.0, -13.312749858380148, 9.399929997611586e-06], [-7.10869123121635e-09, 0.0, 2.752562002351681e-07, 154.4181438970148, -1.3407376676828e-07, 3.9879511490929316], [-20.817092793421935, 12.027323655668463, -18.197166488499647, 0.0, 78.10768435755558, -1.1000165867527242e-06], [-1.1565601112186908e-07, 0.0, 9.006031357120924e-09, 5.0523565349260915, 5.332501147125277e-08, 64.88278094665203]], 'compliance_tensor': [[3.8408965784118636, -0.36625089154468055, -0.3206498162724564, 2.49315366230288e-10, 1.0798139514286407, 1.3110572927822399e-08], [-0.3662508915446805, 4.286864071191002, -1.5394354100865677, -7.642182563948683e-09, -1.0062298787318458, 7.640815221034881e-09], [-0.3206498162724564, -1.539435410086568, 4.142881252799286, -3.0398254343989187e-09, 0.9563176882301152, -2.340185244469506e-09], [2.4931536623028703e-10, -7.64218256394868e-09, -3.039825434398919e-09, 6.4892371011880625, 7.980614488595287e-09, -0.4528771065112651], [1.0798139514286402, -1.0062298787318458, 0.9563176882301151, 7.980614488595284e-09, 13.441835610281913, -1.5962915092427323e-08], [1.3110572927822394e-08, 7.640815221034865e-09, -2.3401852444694763e-09, -0.45287710651126517, -1.5962915092427304e-08, 15.44382333442285]], 'warnings': [], 'nsites': 10}",0.0,98.0,129.0,0.69,0.2,235.2
8,mp-12595,MoRh,"{'Mo': 1.0, 'Rh': 1.0}",0.12364762827767893,11.088786799073862,"{'G_Reuss': 132.0, 'G_VRH': 134.0, 'G_Voigt': 136.0, 'G_Voigt_Reuss_Hill': 134.0, 'K_Reuss': 266.0, 'K_VRH': 266.0, 'K_Voigt': 267.0, 'K_Voigt_Reuss_Hill': 266.0, 'elastic_anisotropy': 0.17, 'elastic_tensor': [[504.0, 173.0, 159.0, 0.0, 0.0, 0.0], [173.0, 456.0, 140.0, 0.0, 0.0, 0.0], [159.0, 140.0, 495.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 115.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 131.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 106.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.17, 'elastic_tensor_original': [[495.4293629947466, 158.67902865734646, 139.40484011785927, 0.0, 0.0, 0.0], [159.9136576418691, 504.1703158067754, 173.14026329365987, 0.0, 0.0, 0.0], [140.56352317782816, 173.26185785945603, 455.8968596306252, 0.0, 0.0, 0.0], [0.015207266665063555, 0.01921280418021873, 0.015405616649182727, 105.63911755137777, 0.0, 0.0], [-0.000142717191667998, -0.00012367307941230806, -0.0003232103766188523, 0.0, 115.43054478731774, 0.0], [-0.000860790596394919, -0.0002921004411180258, -0.0006562699423829972, 0.0, 0.0, 131.41561228557313]], 'compliance_tensor': [[2.4, -0.7, -0.6, 0.0, -0.0, 0.0], [-0.7, 2.6, -0.5, 0.0, 0.0, 0.0], [-0.6, -0.5, 2.3, 0.0, -0.0, 0.0], [0.0, 0.0, 0.0, 8.7, 0.0, 0.0], [-0.0, 0.0, -0.0, 0.0, 7.6, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.5]], 'warnings': [], 'nsites': 4}",0.0,134.0,266.0,0.17,0.28,343.04
9,mp-1275,SiMo3,"{'Si': 1.0, 'Mo': 3.0}",0.10934713258375303,8.81246113129718,"{'G_Reuss': 125.0, 'G_VRH': 127.0, 'G_Voigt': 130.0, 'G_Voigt_Reuss_Hill': 127.0, 'K_Reuss': 252.0, 'K_VRH': 252.0, 'K_Voigt': 252.0, 'K_Voigt_Reuss_Hill': 252.0, 'elastic_anisotropy': 0.21, 'elastic_tensor': [[470.0, 143.0, 143.0, 0.0, 0.0, 0.0], [143.0, 470.0, 143.0, 0.0, 0.0, 0.0], [143.0, 143.0, 470.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 108.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 108.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 108.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.21, 'elastic_tensor_original': [[469.86918257609005, 142.50596109305474, 142.50596109305474, 0.0, 0.0, 0.0], [142.50782664185246, 469.87066650235215, 142.50782664185246, 0.0, 0.0, 0.0], [142.50554734750713, 142.50554734750713, 469.87068234853007, 0.0, 0.0, 0.0], [7.44500057488172e-05, 0.00010562667482500075, 0.0001513400116876013, 107.74634131650916, 0.0, 0.0], [1.5966667902707987e-06, -0.00030495002354730225, 2.600000200824542e-05, 0.0, 107.74614441649395, 0.0], [0.00011325334207902073, 0.00018965334797813816, 4.2713336631563515e-05, 0.0, 0.0, 107.74643416651631]], 'compliance_tensor': [[2.5, -0.6, -0.6, 0.0, -0.0, 0.0], [-0.6, 2.5, -0.6, 0.0, 0.0, -0.0], [-0.6, -0.6, 2.5, -0.0, 0.0, 0.0], [0.0, 0.0, -0.0, 9.3, -0.0, -0.0], [-0.0, 0.0, 0.0, -0.0, 9.3, -0.0], [0.0, -0.0, 0.0, -0.0, -0.0, 9.3]], 'warnings': [], 'nsites': 8}",0.0,127.0,252.0,0.21,0.28,325.12
