,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
0,mp-1005,FeP,"{'Fe': 1.0, 'P': 1.0}",0.14550248040628322,6.371739342364886,"{'G_Reuss': 130.0, 'G_VRH': 133.0, 'G_Voigt': 136.0, 'G_Voigt_Reuss_Hill': 133.0, 'K_Reuss': 209.0, 'K_VRH': 212.0, 'K_Voigt': 215.0, 'K_Voigt_Reuss_Hill': 212.0, 'elastic_anisotropy': 0.28, 'elastic_tensor': [[431.0, 125.0, 126.0, 0.0, 0.0, 0.0], [125.0, 405.0, 155.0, 0.0, 0.0, 0.0], [126.0, 155.0, 285.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 153.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 148.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 142.0]], 'homogeneous_poisson': 0.24, 'poisson_ratio': 0.24, 'universal_anisotropy': 0.28, 'elastic_tensor_original': [[285.15878572002134, 129.06402647454647, 157.8511572513927, 0.0, 0.0, 0.0], [123.79660489939288, 431.42287316149645, 123.71499146819673, 0.0, 0.0, 0.0], [152.56667393424325, 126.34171200508656, 404.8811476208165, 0.0, 0.0, 0.0], [0.00022129319132385496, 7.810994987785342e-05, 3.251664579982315e-05, 141.82915351346796, 0.0, 0.0], [0.00035749236582039204, 0.0008970709055117949, 0.0005556984960644116, 0.0, 153.07892074903984, 0.0], [-0.0012388833619194975, -0.0012321767131438551, -0.001396446274950979, 0.0, 0.0, 148.21505587333252]], 'compliance_tensor': [[2.7, -0.5, -1.0, 0.0, 0.0, 0.0], [-0.5, 3.2, -1.5, 0.0, 0.0, 0.0], [-1.0, -1.5, 4.8, 0.0, -0.0, 0.0], [0.0, 0.0, 0.0, 6.5, 0.0, 0.0], [0.0, 0.0, -0.0, 0.0, 6.7, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 7.1]], 'warnings': [], 'nsites': 8}",0.0,133.0,212.0,0.28,0.24,329.84
1,mp-1009077,FeH,"{'Fe': 1.0, 'H': 1.0}",0.19513738021337612,7.098567499542507,"{'G_Reuss': 91.0, 'G_VRH': 91.0, 'G_Voigt': 91.0, 'G_Voigt_Reuss_Hill': 91.0, 'K_Reuss': 177.0, 'K_VRH': 177.0, 'K_Voigt': 177.0, 'K_Voigt_Reuss_Hill': 177.0, 'elastic_anisotropy': 0.03, 'elastic_tensor': [[310.0, 110.0, 110.0, 0.0, 0.0, 0.0], [110.0, 310.0, 110.0, 0.0, 0.0, 0.0], [110.0, 110.0, 310.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 85.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 85.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 85.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.03, 'elastic_tensor_original': [[310.0968368162705, 110.28154392896707, 110.28154392896707, 0.0, 0.0, 0.0], [110.27718267025537, 310.09275434338394, 110.27718267025537, 0.0, 0.0, 0.0], [110.27945590051402, 110.27945590051402, 310.09704743745124, 0.0, 0.0, 0.0], [0.00019987670960298117, 1.3936502364737937e-05, 9.66332545979028e-05, 85.4058469183457, 0.0, 0.0], [0.0004487849517815136, -5.6736753410841584e-06, -0.00045640556624814007, 0.0, 85.405759218206, 0.0], [1.2606461242501591e-05, -5.919604692466665e-06, -3.664992079081729e-05, 0.0, 0.0, 85.40574918818926]], 'compliance_tensor': [[4.0, -1.0, -1.0, 0.0, -0.0, -0.0], [-1.0, 4.0, -1.0, -0.0, 0.0, -0.0], [-1.0, -1.0, 4.0, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 11.7, 0.0, 0.0], [-0.0, 0.0, -0.0, 0.0, 11.7, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 11.7]], 'warnings': [], 'nsites': 2}",0.0,91.0,177.0,0.03,0.28,232.96
2,mp-11385,YFe5,"{'Y': 1.0, 'Fe': 5.0}",0.2056455695249951,7.107153233920272,"{'G_Reuss': 67.0, 'G_VRH': 68.0, 'G_Voigt': 68.0, 'G_Voigt_Reuss_Hill': 68.0, 'K_Reuss': 102.0, 'K_VRH': 105.0, 'K_Voigt': 108.0, 'K_Voigt_Reuss_Hill': 105.0, 'elastic_anisotropy': 0.13, 'elastic_tensor': [[172.0, 44.0, 71.0, 0.0, 0.0, -0.0], [44.0, 172.0, 71.0, 0.0, 0.0, -0.0], [71.0, 71.0, 254.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 70.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 70.0, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 64.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 0.13, 'elastic_tensor_original': [[167.35937584968454, 43.03264000960337, 66.33657670307322, 0.0, 0.0, -4.955685021088917e-06], [49.10965564098084, 171.7517386373074, 71.64798376902245, 0.0, 0.0, -1.9774858439101254e-05], [73.63467195861766, 73.63468717486634, 253.64375677744093, 0.0, 0.0, -8.477943650122488e-06], [0.0009461871987986556, 0.0015520372099087942, 0.0008085402593288296, 70.44061980822013, -8.100007930669265e-06, 0.0], [-0.0003938662187843609, -0.0009162856247162543, -0.000935522269507493, -6.666659085708218e-08, 70.52447183677856, 0.0], [-0.03756258499463319, -0.054983063241787866, -0.010726045035824994, 0.0, 0.0, 65.70535786395973]], 'compliance_tensor': [[6.8, -1.1, -1.6, 0.0, 0.0, 0.0], [-1.1, 6.8, -1.6, 0.0, 0.0, 0.0], [-1.6, -1.6, 4.8, -0.0, -0.0, -0.0], [0.0, 0.0, -0.0, 14.2, 0.0, 0.0], [0.0, 0.0, -0.0, 0.0, 14.2, -0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 15.7]], 'warnings': [], 'nsites': 6}",0.0,68.0,105.0,0.13,0.23,167.28
3,mp-1418,FeNi3,"{'Fe': 1.0, 'Ni': 3.0}",0.17367146631257083,8.70053561496455,"{'G_Reuss': 90.0, 'G_VRH': 96.0, 'G_Voigt': 103.0, 'G_Voigt_Reuss_Hill': 96.0, 'K_Reuss': 203.0, 'K_VRH': 203.0, 'K_Voigt': 203.0, 'K_Voigt_Reuss_Hill': 203.0, 'elastic_anisotropy': 0.73, 'elastic_tensor': [[284.0, 162.0, 162.0, 0.0, 0.0, 0.0], [162.0, 284.0, 162.0, 0.0, 0.0, 0.0], [162.0, 162.0, 284.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 131.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 131.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 131.0]], 'homogeneous_poisson': 0.3, 'poisson_ratio': 0.3, 'universal_anisotropy': 0.73, 'elastic_tensor_original': [[284.30323605919955, 162.48995501202538, 162.48995501202538, 0.0, 0.0, 0.0], [162.49079180459552, 284.3025735478728, 162.49079180459552, 0.0, 0.0, 0.0], [162.4953785728889, 162.4953785728889, 284.3064433258736, 0.0, 0.0, 0.0], [7.303715925222984e-05, 4.938060971906676e-05, 0.00040329370884413426, 130.71118738483065, 0.0, 0.0], [-0.0004060263716261001, 0.0002140466092997936, -0.00032007314739927533, 0.0, 130.71075547615857, 0.0], [-0.00022616290951187745, -0.00022678624601370914, 7.29168385880574e-05, 0.0, 0.0, 130.7110721528356]], 'compliance_tensor': [[6.0, -2.2, -2.2, 0.0, 0.0, -0.0], [-2.2, 6.0, -2.2, 0.0, -0.0, -0.0], [-2.2, -2.2, 6.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 7.7, 0.0, 0.0], [0.0, -0.0, 0.0, 0.0, 7.7, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 7.7]], 'warnings': [], 'nsites': 4}",0.0,96.0,203.0,0.73,0.3,249.60000000000002
4,mp-1570,YFe2,"{'Y': 1.0, 'Fe': 2.0}",0.2043185026424397,6.8729897874333465,"{'G_Reuss': 35.0, 'G_VRH': 36.0, 'G_Voigt': 37.0, 'G_Voigt_Reuss_Hill': 36.0, 'K_Reuss': 92.0, 'K_VRH': 92.0, 'K_Voigt': 92.0, 'K_Voigt_Reuss_Hill': 92.0, 'elastic_anisotropy': 0.25, 'elastic_tensor': [[128.0, 73.0, 73.0, 0.0, 0.0, 0.0], [73.0, 128.0, 73.0, 0.0, 0.0, 0.0], [73.0, 73.0, 128.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 43.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 43.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 43.0]], 'homogeneous_poisson': 0.33, 'poisson_ratio': 0.33, 'universal_anisotropy': 0.25, 'elastic_tensor_original': [[124.24023123629559, 69.64456056601746, 69.64456056601746, 0.0, 0.0, 0.0], [75.09734111553765, 130.11873380269947, 75.09734111553765, 0.0, 0.0, 0.0], [75.07381282063498, 75.07381282063498, 130.10375873082435, 0.0, 0.0, 0.0], [0.0002272702710868751, 1.2028584294946796, -1.202981665279685, 43.19269452052868, 0.0, 0.0], [0.662806350188918, 0.0008854699333944972, -0.6622659222984467, 0.0, 43.1929428393606, 0.0], [-0.12100809713953606, 0.1227644841947159, 0.0013735599583564614, 0.0, 0.0, 43.192424175544375]], 'compliance_tensor': [[13.4, -4.9, -4.9, -0.0, 0.0, 0.0], [-4.9, 13.4, -4.9, 0.0, -0.0, 0.0], [-4.9, -4.9, 13.4, 0.0, 0.0, -0.0], [-0.0, 0.0, 0.0, 23.2, 0.0, 0.0], [0.0, -0.0, 0.0, 0.0, 23.2, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 23.2]], 'warnings': [], 'nsites': 6}",0.0,36.0,92.0,0.25,0.33,95.76
5,mp-1714,FeSi2,"{'Fe': 1.0, 'Si': 2.0}",0.10435576052265744,4.958877478506669,"{'G_Reuss': 127.0, 'G_VRH': 127.0, 'G_Voigt': 128.0, 'G_Voigt_Reuss_Hill': 127.0, 'K_Reuss': 180.0, 'K_VRH': 181.0, 'K_Voigt': 181.0, 'K_Voigt_Reuss_Hill': 181.0, 'elastic_anisotropy': 0.03, 'elastic_tensor': [[367.0, 75.0, 112.0, 0.0, 0.0, 0.0], [75.0, 330.0, 95.0, 0.0, 0.0, 0.0], [112.0, 95.0, 373.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 124.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 131.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 119.0]], 'homogeneous_poisson': 0.21, 'poisson_ratio': 0.21, 'universal_anisotropy': 0.03, 'elastic_tensor_original': [[330.2037248159659, 95.32128665549601, 75.26882585865424, 0.0, 0.0, 0.0], [94.2649391819644, 372.5975924367924, 111.76803613872809, 0.0, 0.0, 0.0], [74.20481057075912, 111.51671958812067, 367.0562645640867, 0.0, 0.0, 0.0], [0.002195468643991967, 0.001175131058370042, 0.007842303729750033, 131.32361912181088, 0.0, 0.0], [-0.08294983266865147, -0.08147415530220965, -0.07848344721733112, 0.0, 119.09791178362666, 0.0], [0.011541662583971414, 0.02011264364489791, 0.016266631673083752, 0.0, 0.0, 124.40809338953372]], 'compliance_tensor': [[3.1, -0.5, -0.8, -0.0, 0.0, 0.0], [-0.5, 3.3, -0.7, 0.0, 0.0, 0.0], [-0.8, -0.7, 3.1, -0.0, 0.0, 0.0], [-0.0, 0.0, -0.0, 8.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 7.6, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 8.4]], 'warnings': [], 'nsites': 24}",0.0,127.0,181.0,0.03,0.21,307.34
6,mp-1722,Zn13Fe,"{'Zn': 13.0, 'Fe': 1.0}",0.19313314469317513,7.319384432086403,"{'G_Reuss': 41.0, 'G_VRH': 42.0, 'G_Voigt': 43.0, 'G_Voigt_Reuss_Hill': 42.0, 'K_Reuss': 86.0, 'K_VRH': 86.0, 'K_Voigt': 86.0, 'K_Voigt_Reuss_Hill': 86.0, 'elastic_anisotropy': 0.28, 'elastic_tensor': [[138.0, 66.0, 56.0, 0.0, 3.0, 0.0], [66.0, 121.0, 62.0, 0.0, -3.0, 0.0], [56.0, 62.0, 147.0, 0.0, 5.0, 0.0], [0.0, 0.0, 0.0, 48.0, 0.0, -4.0], [3.0, -3.0, 5.0, 0.0, 38.0, 0.0], [0.0, 0.0, 0.0, -4.0, 0.0, 57.0]], 'homogeneous_poisson': 0.29, 'poisson_ratio': 0.29, 'universal_anisotropy': 0.28, 'elastic_tensor_original': [[137.86935095962187, 70.03467027681573, 55.2751459072404, 0.0, -2.5544420566128077, 0.0], [62.08674296703135, 121.3719503745895, 62.00432631912797, 0.0, -2.81790360206919, 0.0], [57.35469159740088, 61.29089923337634, 147.38950302332205, 0.0, 1.5345771790903122, 0.0], [-0.030084191200337947, -0.009642282777920256, 0.008821753108841517, 47.7568752729204, -0.000270956557389744, -4.348257993008287], [7.997712409058693, -3.1131144594849154, 8.096121676914048, 0.0, 38.127177704147876, 0.0], [-0.0005254300110431429, -3.865000081221263e-05, 0.0003144266732755891, -3.292847677347302, 0.00032363334013574215, 57.372552612189985]], 'compliance_tensor': [[10.3, -4.6, -2.0, 0.0, -0.8, 0.0], [-4.6, 12.6, -3.6, 0.0, 1.8, 0.0], [-2.0, -3.6, 9.1, 0.0, -1.3, 0.0], [0.0, 0.0, 0.0, 21.0, 0.0, 1.4], [-0.8, 1.8, -1.3, 0.0, 26.6, 0.0], [0.0, 0.0, 0.0, 1.4, 0.0, 17.5]], 'warnings': [], 'nsites': 14}",0.0,42.0,86.0,0.28,0.29,108.36
7,mp-1804,Fe3N,"{'Fe': 3.0, 'N': 1.0}",0.2174494712907349,7.421215789217515,"{'G_Reuss': 95.0, 'G_VRH': 96.0, 'G_Voigt': 96.0, 'G_Voigt_Reuss_Hill': 96.0, 'K_Reuss': 207.0, 'K_VRH': 207.0, 'K_Voigt': 207.0, 'K_Voigt_Reuss_Hill': 207.0, 'elastic_anisotropy': 0.04, 'elastic_tensor': [[320.0, 144.0, 149.0, 0.0, 0.0, -1.0], [144.0, 320.0, 149.0, 0.0, 0.0, 1.0], [149.0, 149.0, 338.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 107.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 107.0, 0.0], [-1.0, 1.0, 0.0, 0.0, 0.0, 88.0]], 'homogeneous_poisson': 0.3, 'poisson_ratio': 0.3, 'universal_anisotropy': 0.04, 'elastic_tensor_original': [[320.98869029136983, 142.90351283650838, 148.82765106739058, 0.0, 0.0, 0.0], [142.3625007378712, 320.50223416797354, 148.03536328060105, 0.0, 0.0, 0.0], [149.86937964979225, 149.86938826962108, 337.5186742604268, 0.0, 0.0, 0.0], [-9.6936016724635e-05, -0.0002577689683235162, -0.0003376865675391485, 106.73776199494606, 0.0, 0.0], [3.6556551638703474e-05, 7.227977256517327e-05, 0.00014527954286521088, 0.0, 106.72803404343026, 0.0], [0.0011031003587358165, 0.00044428940642455243, 0.00011740710314852322, 0.0, 0.0, 86.8071032328817]], 'compliance_tensor': [[4.4, -1.3, -1.3, 0.0, 0.0, 0.0], [-1.3, 4.4, -1.3, -0.0, 0.0, -0.0], [-1.3, -1.3, 4.1, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 9.4, 0.0, 0.0], [0.0, 0.0, -0.0, 0.0, 9.4, 0.0], [0.0, -0.0, -0.0, 0.0, 0.0, 11.4]], 'warnings': [], 'nsites': 8}",0.0,96.0,207.0,0.04,0.3,249.60000000000002
8,mp-18695,Fe15Co,"{'Fe': 15.0, 'Co': 1.0}",0.2214510835631901,8.075535767806645,"{'G_Reuss': 72.0, 'G_VRH': 77.0, 'G_Voigt': 81.0, 'G_Voigt_Reuss_Hill': 77.0, 'K_Reuss': 184.0, 'K_VRH': 184.0, 'K_Voigt': 184.0, 'K_Voigt_Reuss_Hill': 184.0, 'elastic_anisotropy': 0.67, 'elastic_tensor': [[250.0, 151.0, 151.0, 0.0, 0.0, 0.0], [151.0, 250.0, 151.0, 0.0, 0.0, 0.0], [151.0, 151.0, 250.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 103.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 103.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 103.0]], 'homogeneous_poisson': 0.32, 'poisson_ratio': 0.32, 'universal_anisotropy': 0.67, 'elastic_tensor_original': [[250.04687072123386, 151.20288782959702, 151.20288782959702, 0.0, 0.0, 0.0], [151.19982803108152, 250.05425452261474, 151.19982803108152, 0.0, 0.0, 0.0], [151.19554653723463, 151.19554653723463, 250.04715650885635, 0.0, 0.0, 0.0], [0.0003510819805999519, -6.0501834405760715e-05, -8.258082486639067e-05, 102.78413857983308, 0.0, 0.0], [0.001161507809692433, 0.007049095758299859, 0.0032059040348010113, 0.0, 102.78464803197356, 0.0], [-0.00020721352426092662, -0.00047712638288835814, 0.0005813570132492409, 0.0, 0.0, 102.78307916129431]], 'compliance_tensor': [[7.3, -2.8, -2.8, 0.0, -0.0, -0.0], [-2.8, 7.3, -2.8, 0.0, 0.0, -0.0], [-2.8, -2.8, 7.3, -0.0, 0.0, 0.0], [0.0, 0.0, -0.0, 9.7, -0.0, -0.0], [-0.0, 0.0, 0.0, -0.0, 9.7, 0.0], [-0.0, -0.0, 0.0, -0.0, 0.0, 9.7]], 'warnings': [], 'nsites': 16}",0.5593906250016545,77.0,184.0,0.67,0.32,203.28
9,mp-1915,Fe2B,"{'Fe': 2.0, 'B': 1.0}",0.201753559860406,7.490316374323061,"{'G_Reuss': 145.0, 'G_VRH': 145.0, 'G_Voigt': 145.0, 'G_Voigt_Reuss_Hill': 145.0, 'K_Reuss': 227.0, 'K_VRH': 227.0, 'K_Voigt': 228.0, 'K_Voigt_Reuss_Hill': 227.0, 'elastic_anisotropy': 0.02, 'elastic_tensor': [[388.0, 124.0, 124.0, 0.0, 0.0, 0.0], [124.0, 426.0, 157.0, 0.0, 0.0, 0.0], [124.0, 157.0, 426.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 155.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 146.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 146.0]], 'homogeneous_poisson': 0.24, 'poisson_ratio': 0.24, 'universal_anisotropy': 0.02, 'elastic_tensor_original': [[426.23425813483806, 156.61797165868137, 125.91012819026776, 0.0, 0.0, 0.0], [156.61733257592186, 426.23396087358213, 125.9098035136415, 0.0, 0.0, 0.0], [122.30576696274736, 122.30576696274736, 388.3008460322322, 0.0, 0.0, 0.0], [0.00022269727749648158, 0.00010762382796129591, 0.00015014026419822913, 145.99776310691354, 0.0, 0.0], [-0.000613464909869925, -0.0006001747398861418, -0.000610768119020461, 0.0, 145.99786427336582, 0.0], [4.180671055454579e-05, 2.4933294033677475e-05, -4.0286604487027755e-05, 0.0, 0.0, 155.03077446002865]], 'compliance_tensor': [[3.0, -0.6, -0.6, 0.0, -0.0, 0.0], [-0.6, 2.8, -0.9, -0.0, -0.0, -0.0], [-0.6, -0.9, 2.8, 0.0, 0.0, -0.0], [0.0, -0.0, 0.0, 6.5, 0.0, 0.0], [-0.0, -0.0, 0.0, 0.0, 6.8, -0.0], [0.0, -0.0, -0.0, 0.0, -0.0, 6.8]], 'warnings': [], 'nsites': 6}",0.0,145.0,227.0,0.02,0.24,359.6
