,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
1,mp-1025571,WS2,"{'W': 1.0, 'S': 2.0}",0.08257334275053553,4.475734301828639,"{'G_Reuss': -22.0, 'G_VRH': 2.0, 'G_Voigt': 25.0, 'G_Voigt_Reuss_Hill': 2.0, 'K_Reuss': 5.0, 'K_VRH': 19.0, 'K_Voigt': 33.0, 'K_Voigt_Reuss_Hill': 19.0, 'elastic_anisotropy': -4.53, 'elastic_tensor': [[128.0, 25.0, -4.0, 0.0, 0.0, 0.0], [25.0, 128.0, -4.0, 0.0, 0.0, 0.0], [-4.0, -4.0, 6.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -4.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -4.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 51.0]], 'homogeneous_poisson': 0.46, 'poisson_ratio': 0.46, 'universal_anisotropy': -4.53, 'elastic_tensor_original': [[126.71712286428556, 25.31152618726078, -9.379022025799705, 0.0, 0.0, -9.199799727333292e-06], [25.195354848108, 128.44383070473182, -7.355765128864134, 0.0, 0.0, -2.3200645730493617e-05], [0.3360375770656501, 0.3360375770656501, 5.540265216696727, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -5.021928429195035, 9.000001844454112e-07, 0.0], [0.0, 0.0, 0.0, 0.0, -2.7869762136735066, 0.0], [-1.8735893010885223e-05, 0.0, 0.0, 0.0, 0.0, 51.26721650805868]], 'compliance_tensor': [[8.28241453987496, -1.4802796367769144, 4.9303027464844975, 0.0, 0.0, 3.0268550231863195e-06], [-1.4802796367769147, 8.282415771773405, 4.930303113142796, 0.0, 0.0, 3.026855247763956e-06], [4.9303027464844975, 4.930303113142796, 187.6439082194097, 0.0, 0.0, 1.801806896243959e-06], [-0.0, -0.0, -0.0, -256.1178737033521, -4.679985594688359e-05, -0.0], [-0.0, -0.0, -0.0, -4.6799855946883586e-05, -256.11785465629936, -0.0], [3.0268550231093056e-06, 3.026855248194857e-06, 1.8018068965004634e-06, 0.0, 0.0, 19.525389585203254]], 'warnings': ['Elastic tensor has a negative eigenvalue', 'One or more K, G below 2 GPa'], 'nsites': 9}",0.951298888892893,2.0,19.0,-4.53,0.46,5.84
2,mp-1028698,WSe2,"{'W': 1.0, 'Se': 2.0}",0.11024325465688314,5.899583046510899,"{'G_Reuss': 1.0, 'G_VRH': 13.0, 'G_Voigt': 24.0, 'G_Voigt_Reuss_Hill': 13.0, 'K_Reuss': 3.0, 'K_VRH': 18.0, 'K_Voigt': 32.0, 'K_Voigt_Reuss_Hill': 18.0, 'elastic_anisotropy': 91.25, 'elastic_tensor': [[119.0, 23.0, 1.0, 0.0, 0.0, 0.0], [23.0, 119.0, 1.0, -0.0, 0.0, 0.0], [1.0, 1.0, 3.0, 0.0, 0.0, 0.0], [0.0, -0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 48.0]], 'homogeneous_poisson': 0.21, 'poisson_ratio': 0.21, 'universal_anisotropy': 91.25, 'elastic_tensor_original': [[118.73414968600001, 22.784916742024482, 0.784118419120566, -0.08156263621405885, 0.0, 0.0], [23.245742971344967, 118.68805027476529, 1.1819239107063544, 0.1948108953888067, 0.0, 0.0], [1.6015435250749126, 1.6015449855127313, 2.8805153428726316, 0.0, 0.0, 0.0], [-0.01537399195808243, -0.0016406921193816977, 0.013028283693677157, 0.7153520740427356, 0.0, 0.0], [-0.0011641366108524028, -0.00112842984365649, -0.002824601285736825, 0.005926813353060961, 0.5991035200538294, -0.015440116803552756], [-0.00010072027908343347, -0.00028289411719073683, -0.000377517712684744, 4.858680129004118e-05, 0.016846846678866528, 47.54395099705082]], 'compliance_tensor': [[8.798777226305896, -1.6847296642200036, -3.1915684562362547, -0.5728306745778207, 1.335767902242557e-16, 3.1218792973557393e-06], [-1.6847296642200045, 8.798780831143446, -3.19156911002509, 0.5728307919214011, -2.0324508513582582e-07, 3.121879939017662e-06], [-3.1915684562362543, -3.1915691100250903, 350.02376247632196, 3.4831124105503697e-17, 4.830711769711136e-17, -1.1323950178461374e-06], [-0.5728306745778206, 0.572830791921401, 5.9589349462851904e-18, 1521.6052450096659, 0.0002699390390061804, -4.064901696639058e-07], [4.2645051768101777e-17, -2.0324508506954957e-07, 5.936828548391174e-17, 0.00026993903926322935, 1521.6049333107842, -1.1456613491556416], [3.1218792971675934e-06, 3.1218799400006795e-06, -1.1323950182027406e-06, -4.064901698487847e-07, -1.1456613491556418, 20.967017385890102]], 'warnings': ['One or more K, G below 2 GPa'], 'nsites': 12}",0.17493749999974995,13.0,18.0,91.25,0.21,31.46
3,mp-1029655,Sr3WN3,"{'Sr': 3.0, 'W': 1.0, 'N': 3.0}",0.22841736756846093,5.462967484451806,"{'G_Reuss': 30.0, 'G_VRH': 30.0, 'G_Voigt': 30.0, 'G_Voigt_Reuss_Hill': 30.0, 'K_Reuss': 56.0, 'K_VRH': 57.0, 'K_Voigt': 57.0, 'K_Voigt_Reuss_Hill': 57.0, 'elastic_anisotropy': 0.1, 'elastic_tensor': [[88.0, 36.0, 39.0, 0.0, 0.0, 0.0], [36.0, 88.0, 39.0, 0.0, 0.0, 0.0], [39.0, 39.0, 107.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 34.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 34.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 26.0]], 'homogeneous_poisson': 0.27, 'poisson_ratio': 0.27, 'universal_anisotropy': 0.1, 'elastic_tensor_original': [[87.81426087367468, 33.50600557008248, 39.29226878471668, 0.0, 0.0, 0.003921558482844003], [37.37030278772836, 90.15034857995012, 39.16862007961803, 0.0, 0.0, -0.11237198331855185], [38.88118084305769, 38.881185262965666, 106.75154049837676, 0.0, 0.0, 7.678419688315049e-07], [0.007949556804677559, -0.010521471261092475, 0.0009935071005028413, 34.46634292046708, -0.022686923240064435, 0.002684521172253671], [0.03442242036562804, 0.03129921638123256, -0.00970828796752904, -0.0031634705735046373, 34.521427858262996, 0.008787243074887343], [0.25979368299346445, 0.4425921570141088, 0.03898291308709211, 0.0, 0.0, 25.19172235198263]], 'compliance_tensor': [[14.8, -4.4, -3.8, 0.0, 0.0, 0.0], [-4.4, 14.8, -3.8, -0.0, 0.0, 0.0], [-3.8, -3.8, 12.2, 0.0, -0.0, -0.0], [0.0, -0.0, 0.0, 29.0, 0.0, -0.0], [0.0, -0.0, 0.0, 0.0, 29.0, -0.0], [0.0, 0.0, -0.0, -0.0, -0.0, 38.5]], 'warnings': [], 'nsites': 14}",0.0,30.0,57.0,0.1,0.27,76.2
4,mp-1113,BW2,"{'B': 1.0, 'W': 2.0}",0.10836851741914386,16.759719143418597,"{'G_Reuss': 152.0, 'G_VRH': 152.0, 'G_Voigt': 153.0, 'G_Voigt_Reuss_Hill': 152.0, 'K_Reuss': 330.0, 'K_VRH': 330.0, 'K_Voigt': 330.0, 'K_Voigt_Reuss_Hill': 330.0, 'elastic_anisotropy': 0.04, 'elastic_tensor': [[510.0, 237.0, 237.0, 0.0, 0.0, 0.0], [237.0, 541.0, 215.0, 0.0, 0.0, 0.0], [237.0, 215.0, 541.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 174.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 144.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 144.0]], 'homogeneous_poisson': 0.3, 'poisson_ratio': 0.3, 'universal_anisotropy': 0.04, 'elastic_tensor_original': [[541.3510195802293, 214.7646544094456, 236.3037150306272, 0.0, 0.0, 0.0], [214.76481467240595, 541.3509854251448, 236.3033651805164, 0.0, 0.0, 0.0], [236.77180881445193, 236.77180881445193, 510.05071227634977, 0.0, 0.0, 0.0], [-9.849988012057412e-06, 3.2466627136323867e-06, 2.4323303729718613e-05, 144.33769196373456, 0.0, 0.0], [4.488327870707063e-05, 4.250994826320382e-05, 1.0526653854105935e-05, 0.0, 144.33766488043418, 0.0], [2.984663317573464e-05, -2.1466642556446295e-06, 1.351665150230423e-05, 0.0, 0.0, 173.78427636081975]], 'compliance_tensor': [[2.8, -0.9, -0.9, 0.0, -0.0, 0.0], [-0.9, 2.5, -0.6, -0.0, 0.0, 0.0], [-0.9, -0.6, 2.5, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 5.8, -0.0, 0.0], [-0.0, 0.0, -0.0, -0.0, 6.9, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 6.9]], 'warnings': [], 'nsites': 6}",0.0,152.0,330.0,0.04,0.3,395.2
5,mp-11227,Al12W,"{'Al': 12.0, 'W': 1.0}",0.07939051425546975,3.8578125920980217,"{'G_Reuss': 57.0, 'G_VRH': 57.0, 'G_Voigt': 57.0, 'G_Voigt_Reuss_Hill': 57.0, 'K_Reuss': 92.0, 'K_VRH': 92.0, 'K_Voigt': 92.0, 'K_Voigt_Reuss_Hill': 92.0, 'elastic_anisotropy': 0.0, 'elastic_tensor': [[168.0, 53.0, 53.0, 0.0, 0.0, 0.0], [53.0, 168.0, 53.0, 0.0, 0.0, 0.0], [53.0, 53.0, 168.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 56.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 56.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 56.0]], 'homogeneous_poisson': 0.24, 'poisson_ratio': 0.24, 'universal_anisotropy': 0.0, 'elastic_tensor_original': [[168.39566109940213, 53.45679528000076, 53.163736282062025, -0.0001220675552933671, -1.4037588680557373e-05, 3.345682652156067e-05], [53.16208868007143, 168.39181038562592, 53.45602410150988, -3.1779390420732244e-05, -8.984667160377122e-05, -5.750963723445199e-05], [53.456405486842804, 53.16378512147522, 168.39564411871896, 5.127685878584675e-05, -3.554098430463476e-05, -1.5422945654304045e-05], [-0.003538982249897958, 0.0012347289170921963, -0.0037161311772159157, 56.233310323054994, 8.848669963867751e-05, 8.387002436652186e-05], [-0.00024406409383257515, -0.00011391023765466896, -0.00033092277683683595, 7.576991664736035e-05, 56.15480504724936, 6.956992201843877e-05], [-0.000818844479530414, -0.00037448878730539993, -0.0028689584343732865, 8.754003533174685e-05, 6.878669024134765e-05, 56.23207820058428]], 'compliance_tensor': [[7.0, -1.7, -1.7, 0.0, -0.0, -0.0], [-1.7, 7.0, -1.7, -0.0, 0.0, -0.0], [-1.7, -1.7, 7.0, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 17.8, -0.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 17.8, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 17.8]], 'warnings': [], 'nsites': 13}",0.0,57.0,92.0,0.0,0.24,141.35999999999999
6,mp-11282,Be2W,"{'Be': 2.0, 'W': 1.0}",0.11422019519156848,10.61119770894338,"{'G_Reuss': 170.0, 'G_VRH': 170.0, 'G_Voigt': 170.0, 'G_Voigt_Reuss_Hill': 170.0, 'K_Reuss': 218.0, 'K_VRH': 218.0, 'K_Voigt': 218.0, 'K_Voigt_Reuss_Hill': 218.0, 'elastic_anisotropy': 0.01, 'elastic_tensor': [[449.0, 96.0, 108.0, 0.0, 0.0, 0.0], [96.0, 449.0, 108.0, 0.0, 0.0, 0.0], [108.0, 108.0, 440.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 165.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 165.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 177.0]], 'homogeneous_poisson': 0.19, 'poisson_ratio': 0.19, 'universal_anisotropy': 0.01, 'elastic_tensor_original': [[449.9116259233808, 94.40810362115391, 107.95671181852387, 0.0, 0.0, -2.4799696834312675e-06], [94.93796078220653, 450.37032873946674, 108.36449233820633, 0.0, 0.0, 0.0], [107.87244934309761, 107.87245894281003, 440.26066075421073, 0.0, 0.0, 0.0], [-0.00036116728998381124, -0.0008803748527189221, 0.0001436302478826937, 164.9391333853751, 0.0, 0.0], [-0.0009129804709685991, -0.000511686754394571, -0.0002675532790957742, 3.599995405739987e-07, 164.64473481879003, 0.0], [-0.061710220422220526, 0.02114930396069773, 0.044919475679721016, 0.0, 0.0, 175.78718294679075]], 'compliance_tensor': [[2.4, -0.4, -0.5, -0.0, 0.0, 0.0], [-0.4, 2.4, -0.5, 0.0, 0.0, 0.0], [-0.5, -0.5, 2.5, -0.0, 0.0, -0.0], [-0.0, -0.0, 0.0, 6.1, 0.0, -0.0], [0.0, -0.0, 0.0, 0.0, 6.1, -0.0], [0.0, 0.0, -0.0, -0.0, 0.0, 5.7]], 'warnings': [], 'nsites': 12}",0.0,170.0,218.0,0.01,0.19,404.59999999999997
7,mp-11328,P2W,"{'P': 2.0, 'W': 1.0}",0.07332292275653558,9.119852404115473,"{'G_Reuss': 131.0, 'G_VRH': 132.0, 'G_Voigt': 134.0, 'G_Voigt_Reuss_Hill': 132.0, 'K_Reuss': 187.0, 'K_VRH': 188.0, 'K_Voigt': 189.0, 'K_Voigt_Reuss_Hill': 188.0, 'elastic_anisotropy': 0.12, 'elastic_tensor': [[317.0, 113.0, 110.0, 0.0, 0.0, 0.0], [113.0, 419.0, 101.0, 0.0, 0.0, 0.0], [110.0, 101.0, 320.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 125.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 149.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 152.0]], 'homogeneous_poisson': 0.21, 'poisson_ratio': 0.21, 'universal_anisotropy': 0.12, 'elastic_tensor_original': [[320.0152248811214, 101.82682800044662, 110.73901223433857, 0.0, 0.0, 0.0], [99.91369150785607, 419.40833389739703, 111.11536160997085, 0.0, 0.0, 0.0], [109.39921156340647, 114.23843059175715, 317.4901100181349, 0.0, 0.0, 0.0], [9.483341274485814e-06, -1.6346675001284002e-05, 7.043348527425278e-06, 151.7382268967901, 0.0, 0.0], [-3.663325774827709e-05, -3.4866381094080004e-06, -3.0153298580810627e-05, 0.0, 148.7092818919936, 0.0], [-1.8739950486001193e-05, -1.4333312294119919e-05, -4.833293391650559e-07, 0.0, 0.0, 124.83384997314488]], 'compliance_tensor': [[3.8, -0.8, -1.1, 0.0, 0.0, 0.0], [-0.8, 2.7, -0.6, 0.0, 0.0, 0.0], [-1.1, -0.6, 3.7, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 8.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 6.7, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 6.6]], 'warnings': [], 'nsites': 6}",0.0,132.0,188.0,0.12,0.21,319.44
8,mp-11696,As3W2,"{'As': 3.0, 'W': 2.0}",0.08306150992567858,11.060425705379506,"{'G_Reuss': 66.0, 'G_VRH': 74.0, 'G_Voigt': 82.0, 'G_Voigt_Reuss_Hill': 74.0, 'K_Reuss': 133.0, 'K_VRH': 134.0, 'K_Voigt': 136.0, 'K_Voigt_Reuss_Hill': 134.0, 'elastic_anisotropy': 1.26, 'elastic_tensor': [[274.0, 98.0, 41.0, 0.0, 11.0, 0.0], [98.0, 190.0, 114.0, 0.0, -8.0, 0.0], [41.0, 114.0, 253.0, 0.0, 43.0, 0.0], [0.0, 0.0, 0.0, 96.0, 0.0, -12.0], [11.0, -8.0, 43.0, 0.0, 76.0, 0.0], [0.0, 0.0, 0.0, -12.0, 0.0, 82.0]], 'homogeneous_poisson': 0.27, 'poisson_ratio': 0.27, 'universal_anisotropy': 1.26, 'elastic_tensor_original': [[189.75408892704428, 108.3626918574499, 98.66634419320677, 9.863395822815457, 0.0, 0.0], [114.06328219918586, 197.18893443993215, 59.97885230485328, -37.46035283151875, 0.0, 0.0], [104.53735734174846, 62.178302292722506, 290.4895282439465, 9.526025254631696, 0.0, 0.0], [10.778511462723573, -38.48405411174201, 9.415658724497971, 96.32769299630314, 0.0, 0.0], [-1.2166653816713617e-06, -1.7666648024543243e-06, -3.1733299843144577e-06, -5.666660675304474e-08, 79.91013484225516, 10.980093696235633], [1.1323320947291104e-05, -7.796658136632973e-06, 8.666657190653255e-08, 3.5999960616155455e-06, 10.090460471533177, 98.07479844100044]], 'compliance_tensor': [[4.6, -3.0, 0.8, 0.0, -1.4, 0.0], [-3.0, 9.8, -4.6, 0.0, 4.0, 0.0], [0.8, -4.6, 6.6, 0.0, -4.4, 0.0], [0.0, 0.0, 0.0, 10.7, 0.0, 1.6], [-1.4, 4.0, -4.4, 0.0, 16.2, 0.0], [0.0, 0.0, 0.0, 1.6, 0.0, 12.4]], 'warnings': [], 'nsites': 10}",0.0,74.0,134.0,1.26,0.27,187.96
9,mp-1400,HfW2,"{'Hf': 1.0, 'W': 2.0}",0.11445983399408725,16.35379926381758,"{'G_Reuss': 93.0, 'G_VRH': 94.0, 'G_Voigt': 95.0, 'G_Voigt_Reuss_Hill': 94.0, 'K_Reuss': 223.0, 'K_VRH': 223.0, 'K_Voigt': 223.0, 'K_Voigt_Reuss_Hill': 223.0, 'elastic_anisotropy': 0.08, 'elastic_tensor': [[331.0, 169.0, 169.0, 0.0, 0.0, 0.0], [169.0, 331.0, 169.0, 0.0, 0.0, 0.0], [169.0, 169.0, 331.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 104.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 104.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 104.0]], 'homogeneous_poisson': 0.32, 'poisson_ratio': 0.32, 'universal_anisotropy': 0.08, 'elastic_tensor_original': [[330.75357386396047, 168.93551402719447, 168.9348745840175, 0.19400147943370857, 0.36801548936336487, 0.36702825254692417], [168.93630481388493, 330.75426363098313, 168.9371088186585, 0.37004123026027774, 0.19431221106203234, 0.37036358073870734], [168.93926597683188, 168.93965040159577, 330.7611675872144, 0.3734271721611243, 0.3734457245706861, 0.197432822234653], [0.18121287351336102, 0.06909837756594103, 0.03399849894816855, 103.98840217691487, -0.08679340895431542, -0.07088308686251854], [0.06971138370230559, 0.18180731913965786, 0.034467840795117353, -0.0865252563568798, 103.98866475213724, -0.07100282001867335], [0.06953754994364858, 0.03469812964594936, 0.18192134457680456, -0.0866723012462888, -0.0709105571621772, 103.98839408684306]], 'compliance_tensor': [[4.6, -1.6, -1.6, 0.0, -0.0, -0.0], [-1.6, 4.6, -1.6, -0.0, 0.0, -0.0], [-1.6, -1.6, 4.6, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 9.6, -0.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 9.6, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 9.6]], 'warnings': [], 'nsites': 6}",0.0,94.0,223.0,0.08,0.32,248.16000000000003
10,mp-1620,Si2W,"{'Si': 2.0, 'W': 1.0}",0.07796508983093957,9.6897801198612,"{'G_Reuss': 188.0, 'G_VRH': 189.0, 'G_Voigt': 190.0, 'G_Voigt_Reuss_Hill': 189.0, 'K_Reuss': 218.0, 'K_VRH': 218.0, 'K_Voigt': 219.0, 'K_Voigt_Reuss_Hill': 218.0, 'elastic_anisotropy': 0.06, 'elastic_tensor': [[423.0, 112.0, 93.0, 0.0, 0.0, 0.0], [112.0, 423.0, 93.0, 0.0, 0.0, 0.0], [93.0, 93.0, 531.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 196.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 196.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 197.0]], 'homogeneous_poisson': 0.16, 'poisson_ratio': 0.16, 'universal_anisotropy': 0.06, 'elastic_tensor_original': [[423.2788289912219, 112.1023934748336, 92.16061536307089, 0.0, 0.0, 0.0], [112.10186286961664, 423.2788281180102, 92.16010537541408, 0.0, 0.0, 0.0], [93.45037819301979, 93.45037819301979, 530.5618863249794, 0.0, 0.0, 0.0], [-3.5893411060212185e-05, -5.523678628169592e-05, -4.737010258044154e-05, 195.89419320848998, 0.0, 0.0], [1.5593367103938243e-05, 8.483351704491508e-05, 0.00013140695123055687, 0.0, 195.89420309851138, 0.0], [1.6653368644138505e-05, -1.4043363112300987e-05, -4.3153424840189577e-05, 0.0, 0.0, 197.26999745030417]], 'compliance_tensor': [[2.6, -0.6, -0.3, -0.0, -0.0, -0.0], [-0.6, 2.6, -0.3, 0.0, 0.0, -0.0], [-0.3, -0.3, 2.0, 0.0, -0.0, 0.0], [-0.0, 0.0, 0.0, 5.1, 0.0, -0.0], [-0.0, 0.0, -0.0, 0.0, 5.1, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 5.1]], 'warnings': [], 'nsites': 3}",0.0,189.0,218.0,0.06,0.16,438.47999999999996
