mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-10000,Hf2S,0.136644991,11.0352934,0.0,74,131,0.35,0.26,186.48
mp-1007691,HfPt,0.125671388,16.38616637,0.0,56,179,2.11,0.36,152.32
mp-1014219,HfZn,0.150526147,11.23343336,0.0,45,105,2.65,0.31,117.9
mp-1014231,Hf2Zn,0.134077676,11.75599527,0.0,59,109,1.44,0.27,149.86
mp-1017578,HfBRh3,0.113834092,11.68366712,0.0,107,239,0.21,0.3,278.2
mp-1018153,HfAu2,0.22760481100000002,16.855453100000002,0.0,7,166,-11.64,0.48,20.72
mp-1018154,Hf2Hg,0.200685168,14.04619681,0.0,49,99,2.47,0.29,126.42
mp-1018720,HfVSi,0.10813966,8.891443343999999,0.0,67,152,10.2,0.31,175.54
mp-10245,Hf3(CuSi)4,0.120522661,9.213001863999999,0.756280818,83,153,0.34,0.27,210.82
mp-1025223,Hf4Al3,0.105035183,9.794990781000001,0.0,86,123,0.17,0.22,209.84
mp-1027,HfRh3,0.125833269,13.10440787,0.0,116,219,0.46,0.27,294.64
mp-1029834,HfMgN2,0.138841662,7.258144412999999,0.0,75,157,2.17,0.29,193.5
mp-1042,HfSi,0.094066911,9.983668416,0.0,96,153,0.42,0.24,238.08
mp-10456,HfSiPt,0.110948381,13.66020762,0.0,101,192,0.11,0.28,258.56
mp-1069,HfSi2,0.07913543099999999,7.923770341,0.0,94,132,0.31,0.21,227.48
mp-10887,HfAlCu2,0.142463521,9.277709513,0.0,52,134,0.81,0.33,138.32
mp-11387,HfGa3,0.116818003,9.296638367,0.0,71,102,0.54,0.22,173.24
mp-11441,Hf2Ga3,0.119835311,10.56714998,0.0,64,117,0.15,0.27,162.56
mp-11449,HfMn2,0.11463855699999999,11.30554976,0.0,53,192,0.57,0.37,145.22
mp-11452,HfOs,0.11122222699999999,17.69125611,0.0,117,229,0.07,0.28,299.52
mp-11453,HfPd3,0.157349911,12.76541248,0.0,85,179,0.1,0.3,221.0
mp-11454,Hf2Pd,0.130951873,13.11480867,0.0,55,137,1.0,0.32,145.2
mp-11456,HfPt3,0.138643275,19.26316891,0.0,106,233,0.08,0.3,275.6
mp-11457,HfRh,0.122313769,13.27764372,0.0,26,179,5.65,0.43,74.36
mp-11460,HfTc,0.122892158,13.17873105,0.0,76,192,0.33,0.33,202.16
mp-1168,HfTe5,0.21656507600000002,6.132194502999999,0.0,7,12,-636.38,0.26,17.64
mp-12657,HfAl2,0.09893928199999999,7.417120883,0.0,88,120,0.04,0.21,212.96
mp-12884,Hf5Te4,0.223888322,10.61996316,0.0,36,76,0.79,0.3,93.6
mp-12952,HfGaAu,0.17170595,13.301477300000002,0.0,62,131,0.16,0.3,161.2
mp-13155,Hf2Ag,0.16838063399999997,12.35497736,0.0,53,111,0.57,0.29,136.74
mp-13156,HfAg,0.20115022899999999,12.03517754,0.0,50,117,1.38,0.31,131.0
mp-1400,HfW2,0.11445983400000001,16.35379926,0.0,94,223,0.08,0.32,248.16
mp-15622,HfSe3,0.15110373400000002,6.66031974,0.0,10,16,38.73,0.24,24.8
mp-15964,Hf3Sb,0.11240674099999999,12.13120119,0.0,49,114,0.2,0.31,128.38
mp-1689,HfRe2,0.10720468,17.50430796,0.0,75,262,0.16,0.37,205.5
mp-17045,Hf3Rh5,0.124066753,13.20823629,0.0,67,194,0.31,0.35,180.9
mp-1994,HfB2,0.10542341599999999,11.1217189,0.0,242,251,0.15,0.13,546.92
mp-2025,HfBe5,0.112734943,6.08809749,0.0,120,131,0.35,0.15,276.0
mp-2027,HfCo,0.14307834,12.61270717,0.0,56,153,0.0,0.34,150.08
mp-2105,Hf3Si2,0.099590548,10.82743835,0.0,95,145,0.42,0.23,233.7
