mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-1025799,MoSe2,0.10062396900000001,3.976518487,0.096590556,14,27,11.26,0.28,35.84
mp-1025874,MoS2,0.080656359,2.79918169,0.793011111,12,18,321.8,0.23,29.52
mp-1139,Co3Mo,0.165327433,9.788205406,0.0,133,260,0.13,0.28,340.48
mp-11481,MoIr,0.12703884599999998,15.89165365,0.0,174,310,0.11,0.26,438.48
mp-11482,MoIr3,0.128567936,18.95428911,0.0,188,337,0.09,0.27,477.52
mp-11506,Ni3Mo,0.148304628,9.512797012,0.0,89,230,0.53,0.33,236.74
mp-11507,Ni4Mo,0.150197545,9.438041482000001,0.0,91,223,1.03,0.32,240.24
mp-11508,MoP4,0.05769084,4.445367515,0.0,98,129,0.69,0.2,235.2
mp-12595,MoRh,0.12364762800000001,11.0887868,0.0,134,266,0.17,0.28,343.04
mp-1275,SiMo3,0.10934713300000001,8.812461131000001,0.0,127,252,0.21,0.28,325.12
mp-1332,Si3Mo5,0.10118744199999999,8.079854592,0.0,120,241,0.08,0.29,309.6
mp-1434,MoS2,0.12225031,4.24270115,0.19976333300000002,18,27,140.72,0.23,44.28
mp-1475,Be12Mo,0.112160451,3.097001488,0.0,150,141,0.09,0.11,333.0
mp-1521,Sb7Mo3,0.100207,8.388927576,0.0,55,110,0.13,0.29,141.9
mp-1552,Mo2C,0.106004604,8.943989554,0.0,150,294,0.14,0.28,384.0
mp-1634,MoSe2,0.14403907400000002,5.69222271,0.15478166699999998,14,18,78.16,0.18,33.04
mp-1677,Be2Mo,0.11721309099999999,6.043401089,0.0,150,199,0.0,0.2,360.0
mp-1743,Mo5As4,0.094011947,8.352970885,0.0,81,145,0.75,0.26,204.12
mp-18856,MoO3,0.46673898700000005,4.118450011,0.0,36,33,0.85,0.1,79.2
mp-1890,BMo,0.107039576,8.476293679,0.0,200,311,0.06,0.24,496.0
mp-19276,BaMoO4,0.46376293700000004,4.641315666000001,0.0,23,56,0.48,0.32,60.72
mp-2049,ZrMo2,0.11826467,8.470043758,0.0,59,192,0.1,0.36,160.48
mp-219,MoP,0.09070365,7.222266812999999,0.0,134,219,0.23,0.25,335.0
mp-2331,B2Mo,0.091085754,7.035996166,0.0,225,295,0.03,0.2,540.0
mp-2363,HfMo2,0.11864999,11.27480798,0.0,68,200,0.08,0.35,183.6
mp-259,AlMo3,0.115652776,8.470007537,0.0,121,225,0.23,0.27,307.34
mp-2592,Si2Mo,0.080113873,6.190200009,0.0,177,207,0.11,0.17,414.18
mp-2733,Al8Mo3,0.09665338300000001,5.003746842,0.0,104,141,0.27,0.2,249.6
mp-2811,MoN,0.146345269,8.914411666,0.0,196,327,0.25,0.25,490.0
mp-2815,MoS2,0.11679514,4.0533793010000005,0.0,18,26,145.35,0.22,43.92
mp-30787,MoRh3,0.12341749,11.60522409,0.0,127,268,0.05,0.3,330.2
mp-510536,MoO2,0.510962044,5.802427067000001,0.0,89,219,1.61,0.32,234.96
mp-557259,MoF6,0.09092264300000001,2.9466583060000002,0.0,3,5,0.44,0.26,7.56
mp-7581,MoSe2,0.151065423,5.969894206,0.11984500000000001,15,22,80.05,0.21,36.3
mp-8601,Te4Mo3,0.227831592,7.173536852000001,0.0,14,33,9.66,0.31,36.68
mp-865803,Ti2MoPt,0.149288797,10.29814766,0.0,89,193,0.19,0.3,231.4
mp-952,MoPt2,0.136157573,17.39009856,0.0,137,272,0.45,0.28,350.72
mp-972048,Zn6Mo,0.164142831,6.97797686,0.0,50,69,0.69,0.21,121.0
mp-972071,V3Mo,0.140188767,7.37133493,0.0,40,189,1.72,0.4,112.0
mp-975834,MoRu3,0.096870644,11.50847031,0.0,154,286,0.04,0.27,391.16
mp-999502,MoPt,0.133808071,15.63834778,0.0,135,275,0.18,0.29,348.3
mp-1025557,CoMoP2,0.099147315,6.807757036,0.0,111,198,0.13,0.26,279.72
mp-13263,Ce2Mo2C3,0.138123918,7.878984335,0.0,81,137,0.36,0.25,202.5
mp-2932,Y2Si4Mo3,0.117458929,6.293802756,0.0,98,156,0.08,0.24,243.04
mp-510456,Zr(MoO4)2,0.36353141,3.371913948,0.0,14,22,5.32,0.24,34.72
mp-7574,AlBMo,0.100073655,6.301295829,0.0,138,211,0.38,0.23,339.48
mp-864782,Ta2MoRu,0.11847154300000001,14.13498413,0.0,111,204,0.53,0.27,281.94
mp-865807,Ti2MoIr,0.147256201,10.42970791,0.0,89,210,0.1,0.32,234.96
mp-8804,Li6MoN4,0.22100921899999998,2.9048014610000004,0.0,67,83,0.03,0.18,158.12
mp-989635,CaMoN3,0.157107475,4.111138053,0.0,45,105,0.68,0.31,117.9
mp-10208,NiMoP2,0.092858161,6.624752976,0.0,104,189,0.31,0.27,264.16
mp-1029719,Ca3MoN3,0.190589323,3.44642778,0.0,23,56,2.77,0.32,60.72
mp-10300,ZrMoP,0.109632466,7.477221537,0.0,114,198,0.08,0.26,287.28
mp-11755,Lu6Sb2Mo,0.134361363,9.70199271,0.0,37,63,0.38,0.26,93.24
mp-18852,Na2MoO4,0.491528032,3.462290738,0.0,27,50,0.03,0.27,68.58
mp-19019,NiMoO4,0.5587630029999999,5.458432398999999,0.0,57,147,1.5,0.33,151.62
mp-19330,CaMoO4,0.509635821,4.061863068,0.0,33,75,0.3,0.31,86.46
mp-21347,CoBMo,0.134117756,8.916195083,0.0,178,305,0.2,0.26,448.56
mp-22262,CoMoP,0.12406403099999999,8.420895717,0.0,122,258,0.14,0.3,317.2
mp-553896,K3MoF6,0.28179441899999996,2.7897050269999997,0.0,13,32,4.52,0.32,34.32
mp-7632,NiMoP,0.116975732,8.299220613,0.0,95,241,0.1,0.33,252.7
mp-862723,ScTc2Mo,0.13023333,8.808556961,0.0,75,210,0.32,0.34,201.0
mp-864770,Ta2MoOs,0.11895099099999999,16.31549299,0.0,129,215,0.21,0.25,322.5
mp-864954,MgMoN2,0.16966634600000002,6.226042988,0.0,183,246,0.08,0.2,439.2
mp-972205,V2MoOs,0.126971193,11.42039643,0.0,124,241,0.25,0.28,317.44
mp-973756,Lu2Mo2C3,0.127075298,9.645354703999999,0.0,90,166,0.24,0.27,228.6
mp-977353,Ta2ReMo,0.121210161,16.03517401,0.0,129,290,0.09,0.31,337.98
mp-979267,Ta2FeMo,0.146328342,13.62004584,0.0,98,218,0.6,0.3,254.8
mp-22258,HfSiMo,0.103660642,10.04908562,0.0,104,189,0.48,0.27,264.16
mp-4091,Ni2Mo3N,0.139346567,9.425318334,0.0,141,273,0.11,0.28,360.96
mp-7032,HfMoP,0.11021265,10.709118199999999,0.0,121,208,0.06,0.26,304.92
mp-861627,Ti2AlMo,0.130984483,5.6528122629999995,0.0,42,150,1.1,0.37,115.08
mp-864684,Hf2MoIr,0.126710339,15.13283504,0.0,81,191,0.07,0.32,213.84
mp-865130,Hf2MoRh,0.12524376199999998,13.09614645,0.0,78,174,0.38,0.31,204.36
mp-865591,Ti2NiMo,0.150924168,7.112101517,0.0,79,171,0.06,0.3,205.4
mp-866213,TiTc2Mo,0.131443255,9.323271654,0.0,116,248,0.22,0.3,301.6
mp-977363,Ta2TcMo,0.12491375800000001,13.92800334,0.0,113,195,0.27,0.26,284.76
mp-978568,Si3MoPt2,0.09229007800000001,10.53271661,0.0,91,184,0.63,0.29,234.78
mp-9999,Ni(BMo)2,0.11868519400000001,8.688205499999999,0.0,179,296,0.18,0.25,447.5
mp-556487,K2NaMoF6,0.283437602,3.134531105,0.0,29,81,0.06,0.34,77.72
mp-560959,KTl2MoF6,0.227641222,5.490521339,0.0,14,14,1.03,0.13,31.64
mp-560963,Rb2NaMoF6,0.323584557,3.9017723739999997,0.0,34,37,0.11,0.14,77.52
mp-19127,Sr2FeMoO6,0.576454618,5.465475724,0.738133417,-15,161,0.43,0.55,-46.5
mp-557133,Cs2KMoF6,0.360187056,4.097865627,0.0,21,74,0.06,0.37,57.54
mp-555970,NaTl2MoF6,0.216042557,6.202362322000001,0.0,40,108,0.33,0.33,106.4
