mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus,PC 1,PC 2,PC 3
mp-1021323,LiC12,0.035508103,2.019463862,0.0,98.0,125.0,141.62,0.19,233.24,-1.7020786732189197,1.6857090499016656,2.1520281117788507
mp-1021328,H4C,0.001838606,0.433068254,0.0,0.0,1.0,13.33,0.3,0.0,-0.529131546835239,2.1374349334846467,2.0674896720832336
mp-10721,Ti2C,0.131229555,4.439769168,0.0,78.0,139.0,1.07,0.26,196.56,0.039798644908805365,-0.12026349827587643,-0.24378326374749595
mp-1086,TaC,0.107625506,14.23428075,0.0,215.0,324.0,0.3,0.23,528.9,-0.31313597982934377,0.08209291248219104,0.14785634899049405
mp-1164,ThC,0.140426114,10.55853376,0.0,73.0,139.0,0.04,0.28,186.88,-0.7711301968711186,0.05060340257857515,0.41994885069969784
mp-11714,SiC,0.036810478,3.171929506,0.23119925,187.0,214.0,0.13,0.16,433.84,-0.5889354795778677,-0.08272605820212438,0.18804066550822296
mp-12574,Dy2C,0.17782504699999999,8.134774451,0.0,30.0,63.0,2.49,0.29,77.4,-1.0267831858756111,-0.005057358738718508,0.316526773933315
mp-1334,Y2C,0.137233081,4.535817843999999,0.0,32.0,61.0,2.39,0.28,81.92,-0.3643325267589062,0.39786761771251006,0.05268299997352189
mp-15178,Lu4C7,0.118920598,8.797273082,0.0,75.0,126.0,0.29,0.25,187.5,-1.832123234613727,0.347485222572535,1.8304908869211798
mp-1552,Mo2C,0.106004604,8.943989554,0.0,150.0,294.0,0.14,0.28,384.0,-0.3142336393175806,-0.4563219072645997,0.5394529154241514
mp-1569,Be2C,0.090490465,2.461261575,0.0,231.0,201.0,0.12,0.08,498.96,-0.2718808387777947,-0.1479857397995619,0.029326490608518194
mp-1591,Al4C3,0.067337119,2.93080406,0.0,113.0,160.0,0.2,0.21,273.46,-0.8153450319172404,0.16237002516380125,0.49867664626884606
mp-1894,WC,0.09443314900000001,15.35036905,0.0,279.0,385.0,0.13,0.21,675.18,0.3023776921013601,-0.1022752297697242,0.2683400053797973
mp-20066,CO2,0.345399093,1.49611641,0.0,3.0,5.0,0.01,0.27,7.62,0.24973850641862627,0.43420636936002677,-0.22301700787848863
mp-20181,Ce2C3,0.146738436,7.074733697999999,0.0,70.0,116.0,0.0,0.25,175.0,-1.8320705629026703,0.6581634941022032,1.9685904073237035
mp-20648,V2C,0.122961031,5.741137694,0.0,117.0,244.0,0.18,0.29,301.86,-0.20403574806218475,-0.24020142406053097,0.00962970973715235
mp-20937,Cr3C2,0.24241566,6.795180037000001,0.0,169.0,320.0,0.38,0.28,432.64,-0.4338811491144421,0.18562663148979686,0.7512740060283684
mp-21075,HfC,0.106749266,12.57416751,0.0,180.0,236.0,0.02,0.2,432.0,-0.252178818713154,-0.12092910429070347,-0.08428568428684305
mp-22749,Mn5C2,0.092084833,7.697623675,0.569235979,112.0,220.0,1.86,0.28,286.72,-0.2954160133863145,-0.3610947749155864,-0.42842653599096847
mp-2367,LaC2,0.136398184,5.294806649,0.0,34.0,92.0,6.05,0.33,90.44,-0.4905648937460953,0.6757568981205886,0.7847840025863105
mp-2486,UC2,0.116557552,11.77880757,0.0,71.0,155.0,5.0,0.3,184.6,-0.6832478413888522,0.11517201910339199,0.8454146349969397
mp-2489,UC,0.139361399,13.80024565,0.0,36.0,188.0,1.84,0.41,101.52,-0.5416174698412813,-0.012778970646126528,0.6674107546400394
mp-2760,Nb6C5,0.105546429,7.503639259,0.0,161.0,239.0,0.14,0.22,392.84,1.283354111763154,2.2046629362224146,-1.9601264001415841
mp-2795,ZrC,0.105359906,6.502963945,0.0,159.0,221.0,0.03,0.21,384.78,-0.26333040604084207,-0.18552736340153353,0.014903905945449741
mp-28731,V6C5,0.11450917099999999,5.617822508,0.0,175.0,238.0,0.08,0.21,423.5,-0.7273313768127653,-0.11202872826519955,0.48774551546209277
mp-29941,Sc2C,0.10907462,3.1182969289999996,0.0,15.0,74.0,-26.53,0.41,42.3,-0.4268651366197576,-0.13330747007641414,0.21551546425520798
mp-567505,SiC,0.036784218,3.169666699,0.41015175,187.0,214.0,0.11,0.16,433.84,-0.5889354795778718,-0.08272605820212386,0.18804066550821824
mp-567551,SiC,0.036832542999999995,3.1738308460000004,0.192918938,187.0,214.0,0.12,0.16,433.84,-0.5889354795778718,-0.08272605820212386,0.18804066550821824
mp-567580,PaC,0.147710764,12.35551731,0.0,79.0,172.0,0.09,0.3,205.4,-0.22607134142855215,-0.5970009815071868,-0.5214651442471614
mp-568656,SiC,0.03681023,3.1719081910000004,0.0,187.0,213.0,0.12,0.16,433.84,-0.5889354795778718,-0.08272605820212386,0.18804066550821824
mp-568696,SiC,0.036815939,3.172400112,0.853608357,187.0,213.0,0.12,0.16,433.84,-0.5889354795778718,-0.08272605820212386,0.18804066550821824
mp-568735,SiC,0.036826313,3.173293994,0.767991333,187.0,213.0,0.13,0.16,433.84,-0.5889354795778718,-0.08272605820212386,0.18804066550821824
