mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-1014229,Ti2Zn,0.163918593,5.462441843,0.0,47,96,6.32,0.29,121.26
mp-1014230,TiZn,0.174651145,6.036542541,0.0,56,115,2.85,0.29,144.48
mp-1017985,TiAg,0.22601428,7.340358574,0.0,35,111,0.8,0.36,95.2
mp-1018028,TiS,0.18213033,4.44203401,0.0,101,141,0.44,0.21,244.42
mp-1018123,TiAu2,0.248079172,14.16267401,0.0,-17,130,-8.12,0.57,-53.38
mp-1018124,Ti2Rh,0.148441114,7.088660453999999,0.0,82,157,0.12,0.28,209.92
mp-1025170,Ti3B4,0.130993011,4.557547484,0.0,213,225,0.12,0.14,485.64
mp-1048,TiNi,0.155298135,6.412985624,0.0,38,152,10.41,0.38,104.88
mp-10721,Ti2C,0.131229555,4.439769168,0.0,78,139,1.07,0.26,196.56
mp-1089,TiIr3,0.14077963300000002,17.77477071,0.0,162,294,0.98,0.27,411.48
mp-1145,TiB2,0.12308493699999999,4.487425091,0.0,253,253,0.14,0.13,571.78
mp-1147,Ti3O5,0.560023154,4.187247707,0.0,76,171,0.5,0.31,199.12
mp-11765,Ti5Se4,0.183564352,5.571714611,0.0,46,84,0.49,0.27,116.84
mp-1215,Ti2O,0.366216825,5.012926887,0.0,106,184,0.54,0.26,267.12
mp-1235,TiIr,0.147451259,13.17172,0.0,81,228,0.18,0.34,217.08
mp-12546,TiCu3,0.18377057800000002,7.648117752,0.0,51,140,0.59,0.34,136.68
mp-12635,TiAu4,0.264261144,15.86669066,0.0,39,144,1.78,0.38,107.64
mp-12648,Ti2Be17,0.11873385800000001,2.47886162,0.146208947,143,127,0.01,0.09,311.74
mp-13164,Ti2Pd,0.158675711,6.905202131,0.0,62,142,0.74,0.31,162.44
mp-1412,Ti3Sb,0.143039566,6.204950157000001,0.0,25,120,3.78,0.4,70.0
mp-1425,TiCr2,0.236118711,6.237410464,0.076832917,75,199,0.03,0.33,199.5
mp-15669,Ti3Te4,0.25880676199999997,6.386267556,0.0,38,60,0.85,0.24,94.24
mp-1709,U2Ti,0.19312379,15.63359699,0.0,119,130,0.13,0.15,273.7
mp-17413,Ti3Rh5,0.13918081,9.261614827999999,0.0,71,205,0.53,0.34,190.28
mp-1786,Ti3Au,0.19289837199999998,8.460278693,0.0,71,139,0.16,0.28,181.76
mp-1808,Ti2Ni,0.153434978,5.725013961,0.0,36,141,0.01,0.38,99.36
mp-1822,TiAs,0.10853808699999999,5.836287445,0.0,72,119,0.77,0.25,180.0
mp-1823,Ti3Al,0.135765343,4.248868557,0.0,61,115,0.13,0.27,154.94
mp-1907,TiTe2,0.24560134,5.967718131,0.0,12,18,5.07,0.21,29.04
mp-1949,TiMn2,0.128328299,6.901373875,0.0,61,210,0.23,0.37,167.14
mp-1953,TiAl,0.11955719199999999,3.833901552,0.0,70,115,0.98,0.25,175.0
mp-20327,TiP2,0.093057545,4.262085969,0.0,91,131,0.19,0.22,222.04
mp-20382,Ti6Sn5,0.128118129,6.81339155,0.0,55,105,0.1,0.28,140.8
mp-2078,TiCu,0.170493956,6.44093626,0.0,62,130,0.87,0.3,161.2
mp-20847,Ti5Sn3,0.130761988,6.425214777000001,0.0,49,107,0.52,0.3,127.4
mp-2108,Ti5Si3,0.12067629699999999,4.347039336,0.0,94,139,0.1,0.22,229.36
mp-21289,TiZn3,0.184263698,6.697660335,0.0,24,96,72.59,0.38,66.24
mp-2179,TiRe,0.135248868,12.8134233,0.0,71,232,0.2,0.36,193.12
mp-2187,TiSb,0.112223765,6.344016708,0.0,45,89,2.04,0.28,115.2
mp-2194,TiSe2,0.155241019,4.692579365,0.0,12,16,21.84,0.2,28.8
mp-22033,Ti5Sb3,0.13095972,6.533810702,0.0,46,111,0.29,0.32,121.44
mp-23264,TiI3,0.174781203,4.359640174,0.0,2,4,16.16,0.28,5.12
mp-2327,TiZn16,0.18627145899999997,7.014325082999999,0.0,28,79,0.41,0.34,75.04
mp-2339,Ti3Pt,0.155068597,8.766698916000001,0.0,58,166,0.11,0.34,155.44
mp-2354,Ti3Hg,0.225646202,8.138604974,0.0,68,119,0.17,0.26,171.36
mp-246,TiF3,0.113391974,2.82434557,0.0,45,104,4.55,0.31,117.9
mp-24726,TiH2,0.119730667,3.8327319980000003,0.0,20,138,4.41,0.43,57.2
mp-2583,TiRh,0.14356653800000002,8.321025416,0.0,49,190,0.05,0.38,135.24
mp-2643,Ti3Cu4,0.173689309,6.748300336000001,0.0,61,132,1.5,0.3,158.6
mp-2749,TiBe2,0.12967227,3.29329553,0.0,106,124,0.06,0.17,248.04
mp-291,TiOs,0.130327423,13.33376693,0.0,134,248,0.1,0.27,340.36
mp-305,TiFe,0.199888659,6.642034496,0.0,97,194,0.55,0.29,250.26
mp-30500,TiCd,0.207649175,6.897648171,0.0,19,81,-413.66,0.39,52.82
mp-30501,Ti2Cd,0.190629312,6.215938143,0.0,33,91,9.32,0.34,88.44
mp-30671,Ti2Ga,0.14422885900000001,5.6496516979999996,0.0,63,121,0.2,0.28,161.28
mp-30672,Ti3Ga,0.146817221,5.416551057,0.0,56,118,0.22,0.3,145.6
mp-30673,Ti2Ga3,0.13478876,6.382990496000001,0.0,67,91,0.32,0.2,160.8
mp-30851,Ti3Pt5,0.148870687,14.80211128,0.0,73,202,0.52,0.34,195.64
mp-30852,TiPt8,0.143376119,19.08272559,0.0,86,242,0.42,0.34,230.48
mp-30875,Ti2Sn,0.137157098,6.451610572000001,0.0,60,115,0.44,0.28,153.6
mp-492,TiN,0.188935823,5.340297397,0.0,180,259,0.19,0.22,439.2
mp-505527,Ti5Si4,0.11348673699999999,4.2547353569999995,0.0,95,142,0.06,0.23,233.7
mp-541013,TiI4,0.17601629600000002,4.366869005,0.0,1,2,51.13,0.24,2.48
mp-544,Ti3Ir,0.152674402,8.833383915,0.0,13,169,0.42,0.46,37.96
mp-554278,TiO2,0.5274733420000001,3.615940003,0.0,61,181,0.35,0.35,164.7
mp-567705,TiAl2,0.108001502,3.536390535,0.0,82,109,0.09,0.2,196.8
mp-568,TiSb2,0.11247418599999999,7.37641929,0.0,54,89,0.25,0.25,135.0
mp-568636,TiCr2,0.23601101100000002,6.234565438,0.0,75,198,0.06,0.33,199.5
mp-569708,TiPt3,0.148082306,17.02746448,0.0,107,234,0.15,0.3,278.2
mp-570199,Ti3Pd5,0.162338671,8.904611629,0.0,44,162,3.95,0.38,121.44
mp-571143,TiCl3,0.076042162,2.277426127,0.0,3,5,36.29,0.28,7.68
mp-571342,TiGa2,0.13243924099999999,6.5750881539999995,0.0,69,107,0.03,0.23,169.74
mp-592,TiRu,0.129274075,8.41943722,0.0,107,212,0.35,0.28,273.92
mp-608,TiCo3,0.176570334,7.948540329,0.0,83,194,1.05,0.31,217.46
mp-637255,Ti2Sn3,0.116306255,7.060315921,0.0,48,87,0.12,0.27,121.92
mp-7092,TiSi,0.108760618,4.224308673,0.0,99,146,0.37,0.22,241.56
mp-739,TiP,0.105862821,4.219611373999999,0.0,91,139,0.55,0.23,223.86
mp-7498,Ti5Te4,0.252288564,6.385807171000001,0.0,36,66,1.07,0.27,91.44
mp-7857,TiB,0.135077862,4.575880541,0.0,190,207,0.09,0.15,437.0
mp-823,TiCo,0.169902532,6.714495213999999,0.0,61,163,0.0,0.33,162.26
mp-8282,Ti2N,0.166691073,4.881545214,0.0,117,204,0.9,0.26,294.84
mp-866046,Ti3In,0.154256856,5.8881162389999995,0.0,45,108,0.32,0.32,118.8
mp-866184,Ti3Pb,0.183213231,7.797411885,0.0,18,107,-4.9,0.42,51.12
mp-979115,Ti2Ag,0.20186430600000002,6.468902592,0.0,41,105,1.74,0.33,109.06
mp-1014227,Ti2ZnN,0.176336744,5.650048112,0.0,100,149,0.15,0.23,246.0
mp-1016108,TiZnN2,0.153114433,4.766285537,0.0,55,154,0.02,0.34,147.4
mp-10402,TiTl2F6,0.199565028,6.057885868,0.0,7,25,1.39,0.37,19.18
mp-11113,TiTeAs,0.20928136100000003,6.76960573,0.0,67,83,0.33,0.18,158.12
mp-1152,TiRh3,0.13516520699999998,10.28225175,0.0,129,230,0.48,0.26,325.08
mp-11573,TiTc,0.143267901,8.076824962,0.0,72,207,0.46,0.34,192.96
mp-1409,TiNi3,0.164348617,7.958129734,0.0,97,192,0.1,0.28,248.32
mp-19963,TiFe2Sn,0.18421766,8.367357755,0.0,106,181,0.0,0.26,267.12
mp-20459,TiPbO3,0.48778180299999996,7.295112049,0.0,39,63,3.29,0.24,96.72
mp-20952,TiNiSb,0.127543404,7.238841547000001,0.0,57,128,0.0,0.31,149.34
mp-2156,TiS2,0.127825619,2.865289943,0.0,14,18,41.79,0.19,33.32
mp-22662,TiGaPt,0.141950142,11.14747011,0.0,57,163,0.99,0.34,152.76
mp-2731,TiGa3,0.12691368,6.684291685,0.0,74,100,0.3,0.2,177.6
mp-2767,TiGa,0.140494277,6.197682662,0.0,72,115,0.62,0.24,178.56
mp-27828,Cs2TiCl6,0.21762016399999998,2.963362009,0.0,5,9,0.06,0.27,12.7
mp-27849,TiBrN,0.10900276199999999,3.9395889680000002,0.0,18,33,82.32,0.27,45.72
mp-27919,Ti8C5,0.131293409,4.541437897,0.0,115,170,0.16,0.22,280.6
mp-28232,MgTi2O5,0.531763455,3.551494204,0.0,71,162,0.24,0.31,186.02
mp-29356,NaTi2O4,0.601065362,4.032112659,0.0,77,144,0.19,0.27,195.58
mp-30840,Ti2Pd3,0.16219828,8.738526616,0.0,44,157,1.78,0.37,120.56
mp-3747,Ti3AlC2,0.120803696,4.207863175,0.0,126,159,0.05,0.19,299.88
mp-4019,CaTiO3,0.592293245,3.94046428,0.0,101,172,0.04,0.25,252.5
mp-458,Ti2O3,0.574517356,4.5235782680000005,0.0,87,216,0.04,0.32,229.68
mp-5229,SrTiO3,0.608433412,4.962107562,0.8822180000000001,110,173,0.0,0.24,272.8
mp-542915,TiAl3,0.10152896,3.365705446,0.0,89,107,0.4,0.18,210.04
mp-5659,Ti3SiC2,0.11908903300000001,4.474908098,0.0,139,184,0.02,0.2,333.6
mp-567889,TiGe2,0.131030623,6.55389977,0.0,83,112,0.34,0.2,199.2
mp-568069,Ti2Bi,0.155212018,7.998026445,0.0,22,72,2.38,0.36,59.84
mp-569484,Cs3Ti2Cl9,0.21960112399999998,3.0401275589999996,0.0,5,8,0.13,0.26,12.6
mp-569807,RbTiBr3,0.19304601,3.9356028010000004,0.0,7,16,0.93,0.32,18.48
mp-616559,Ti2S,0.18172294100000003,4.802688027,0.0,85,147,0.28,0.26,214.2
mp-631,TiC,0.132548146,4.879906981,0.0,176,253,0.02,0.22,429.44
mp-672645,TiSiRh,0.113744607,6.784636672,0.0,88,187,0.22,0.3,228.8
mp-742,Ti2Cu,0.16193087,5.722180271,0.0,55,126,1.04,0.31,144.1
mp-753802,Sc2Ti2O7,0.47032732299999996,3.33816352,0.0,48,137,0.52,0.34,128.64
mp-7603,Li2TiF6,0.17311316100000002,2.8865205460000003,0.0,30,49,0.26,0.25,75.0
mp-861641,Ti2CoRe,0.15044112099999998,9.912983599,0.0,97,196,0.08,0.29,250.26
mp-8648,TiFeSi,0.15015767,5.624878004,0.0,109,183,0.4,0.25,272.5
mp-865048,TiZnIr2,0.15921168,14.31377724,0.0,103,225,0.38,0.3,267.8
mp-865093,TiZnNi2,0.17505037699999998,7.587307353,0.0,50,169,3.21,0.37,137.0
mp-865529,Ti2NiIr,0.152133415,10.01044669,0.0,12,195,-16.34,0.47,35.28
mp-865538,Ti2RePd,0.149252766,10.42939816,0.0,73,192,0.11,0.33,194.18
mp-865803,Ti2MoPt,0.149288797,10.29814766,0.0,89,193,0.19,0.3,231.4
mp-865809,TiTc2Sb,0.131670974,9.516408279,0.0,93,212,0.25,0.31,243.66
mp-865810,TiTc2W,0.129954827,11.69356062,0.0,128,263,0.23,0.29,330.24
mp-865842,Ti2OsRu,0.129655915,10.87579173,0.0,122,231,0.21,0.28,312.32
mp-865898,TiZnCo2,0.187724223,7.796196173999999,0.0,89,190,0.25,0.3,231.4
mp-865916,TiVRe2,0.129954165,13.40356358,0.0,115,255,0.08,0.3,299.0
mp-866140,TiGaPd2,0.154910083,8.943883097,0.0,5,164,-12.33,0.48,14.8
mp-866168,TiInPd2,0.16489336,9.226915697999999,0.0,13,141,-23.53,0.46,37.96
mp-866218,Ti2MnRh,0.14296272599999998,7.4791723889999995,0.0,81,190,0.52,0.31,212.22
mp-867123,TaTiOs2,0.119628545,16.24397965,0.0,101,268,0.39,0.33,268.66
mp-9517,SrTiN2,0.242360805,4.596150108,0.0,50,121,3.15,0.32,132.0
mp-9615,LiTiS2,0.177678425,3.091693455,0.0,48,68,0.18,0.21,116.16
mp-9920,TiS3,0.13708989900000002,2.9409058839999997,0.0,11,19,38.45,0.25,27.5
mp-998949,TiPt,0.15095965,12.76033399,0.0,15,192,-14.5,0.46,43.8
mp-1025200,Eu2TiO4,0.52950325,7.235616987,0.0,70,122,0.19,0.26,176.4
mp-11580,TiCrP,0.175980312,5.65277728,0.0,123,204,0.13,0.25,307.5
mp-11750,Ti6Si2B,0.129516503,4.4458787310000005,0.0,104,149,0.13,0.22,253.76
mp-16356,TiNiGe,0.147560955,7.085254895,0.0,83,157,0.18,0.27,210.82
mp-20661,Ti2PbC,0.17689840699999998,8.250785347,0.0,72,118,0.11,0.25,180.0
mp-21467,TiCo2Sn,0.155734288,8.375449487000001,0.0,74,168,0.51,0.31,193.88
mp-27850,TiNCl,0.103011892,2.960848267,0.0,20,29,61.99,0.22,48.8
mp-28017,Na8Ti5O14,0.55791267,3.2847060439999995,0.0,42,74,0.67,0.26,105.84
mp-2931,Li2TiO3,0.619367497,3.3362540110000003,0.0,73,110,1.17,0.23,179.58
mp-30147,ZrTiAs,0.120219992,6.6174443929999995,0.0,71,138,0.79,0.28,181.76
mp-31187,TiAlFe2,0.18302227699999998,6.253070136,0.0,105,185,0.07,0.26,264.6
mp-3657,TiCo2Si,0.148072872,6.762597802,0.0,86,201,0.61,0.31,225.32
mp-3732,Ti2CS,0.162565401,4.634878109,0.0,134,180,0.09,0.2,321.6
mp-3771,MgTiO3,0.575663148,3.780006541,0.0,84,163,0.3,0.28,215.04
mp-3970,K2TiF6,0.291585532,2.847791097,0.0,11,27,1.7,0.32,29.04
mp-4612,TiCo2Ge,0.16620614,7.926603772999999,0.0,78,179,0.97,0.31,204.36
mp-4651,SrTiO3,0.60965399,4.9720620460000005,0.0,102,168,0.02,0.25,255.0
mp-5020,BaTiO3,0.611757731,5.696967617,0.0,42,97,10.92,0.31,110.04
mp-5042,YTiGe,0.144879108,5.46910649,0.0,49,87,0.57,0.26,123.48
mp-505540,TiAsRh,0.120324406,8.163513939,0.0,76,178,0.14,0.31,199.12
mp-5244,Ti2SbP,0.11389151199999999,5.683966259,0.0,71,114,0.71,0.24,176.08
mp-5274,ThTi2O6,0.512207046,5.935302052000001,0.0,63,157,0.9,0.32,166.32
mp-5407,TiAlCo2,0.154716999,6.4503577629999995,0.0,90,178,0.45,0.28,230.4
mp-551830,SrTiO3,0.60892553,4.96612106,0.5724520000000001,102,168,0.02,0.25,255.0
mp-5532,Sr2TiO4,0.5660085220000001,4.873252735,0.0,75,127,0.05,0.25,187.5
mp-555678,Na4Ti5O12,0.5788083820000001,3.601728568,0.0,60,131,0.96,0.3,156.0
mp-5670,LiTi2O4,0.5504742779999999,3.649565279,0.0,65,132,0.44,0.29,167.7
mp-684031,Mg3(TiAl9)2,0.09036410199999999,2.700534115,0.0,51,79,0.03,0.23,125.46
mp-7187,TiAlNi2,0.142427799,6.253223227,0.0,59,162,1.72,0.34,158.12
mp-754246,TiSnO3,0.386506726,4.572232792,0.0,19,26,17.17,0.21,45.98
mp-757031,Mg2TiO4,0.533170835,3.42907618,0.0,72,147,0.76,0.29,185.76
mp-8291,BaTiF6,0.209469397,4.121344466,0.0,22,49,0.41,0.31,57.64
mp-861637,Ti2AlTc,0.131414403,5.893565944,0.0,60,158,0.52,0.33,159.6
mp-863727,LiTiRh2,0.165833105,7.881916365,0.0,62,154,0.01,0.32,163.68
mp-865531,TiMn2Al,0.11634114699999999,5.7943484110000005,0.0,85,157,0.17,0.27,215.9
mp-865649,Ti2TcRh,0.144283297,8.248625336,0.0,94,204,0.28,0.3,244.4
mp-865728,Ti2ReNi,0.14519036,9.791110986,0.0,79,192,0.11,0.32,208.56
mp-865730,TiZnAu2,0.234440233,12.57271883,0.0,26,135,12.77,0.41,73.32
mp-865768,Ti2MnOs,0.13426412699999998,10.00906264,0.0,89,206,0.19,0.31,233.18
mp-865807,Ti2MoIr,0.147256201,10.42970791,0.0,89,210,0.1,0.32,234.96
mp-865840,Ti2TcIr,0.146731848,10.735713800000001,0.0,116,226,0.26,0.28,296.96
mp-865878,Ti2TcNi,0.151356152,7.393032894,0.0,72,177,0.05,0.32,190.08
mp-865914,TiVTc2,0.1384413,8.499065353999999,0.0,94,233,0.3,0.32,248.16
mp-865948,Ti2ReRh,0.13975932800000002,10.60435279,0.0,101,215,0.09,0.3,262.6
mp-866139,TiBe2Ir,0.134889334,9.349643525,0.0,70,191,4.27,0.34,187.6
mp-866141,TiFe2Si,0.183005814,6.758127654,0.0,146,229,0.01,0.24,362.08
mp-866143,TiBeRh2,0.13256587,8.366097693,0.0,94,204,0.02,0.3,244.4
mp-866152,TiBeCo2,0.165848457,6.6399278729999995,0.0,102,193,0.01,0.28,261.12
mp-866153,TiAlRh2,0.127563935,8.099626827,0.0,-2,193,-9.61,0.51,-6.04
mp-867568,CsTi6O12,0.581834445,4.196789423999999,0.0,53,119,1.56,0.3,137.8
mp-978976,Ti6Al16Pt7,0.112048131,7.540646708,0.0,57,137,1.05,0.32,150.48
mp-1025045,TiGaPd,0.150204168,8.021988989,0.0,45,121,1.45,0.33,119.7
mp-1025304,Zr(TiGa2)2,0.12847752,6.540822886,0.0,69,110,0.47,0.24,171.12
mp-1025335,Lu(TiGa2)2,0.136425831,7.441271392999999,0.0,61,99,0.48,0.25,152.5
mp-1025517,Ti2InN,0.165768522,6.371348247,0.0,84,137,0.09,0.24,208.32
mp-11560,TiSiRu,0.103536401,6.828651219,0.0,103,202,0.15,0.28,263.68
mp-12990,Ti2AlC,0.117383554,3.9931009989999997,0.0,112,137,0.02,0.18,264.32
mp-13993,Ti3NiS6,0.15685253400000002,3.8664612000000003,0.0,46,72,0.48,0.23,113.16
mp-16481,TiAlAu,0.18125511100000002,9.082770024,0.0,58,128,0.22,0.3,150.8
mp-19082,TiMnO3,0.514769015,4.46556799,0.0,64,159,0.57,0.32,168.96
mp-20145,TiGaCo2,0.165474031,7.864805433,0.0,74,185,1.42,0.32,195.36
mp-20255,TiCuSi,0.133800779,5.577715167999999,0.0,77,148,0.4,0.28,197.12
mp-21662,TiFeSi2,0.125959336,5.143235612,0.0,116,180,0.03,0.24,287.68
mp-22179,YTiSi,0.128587827,4.4228386330000005,0.0,49,89,0.42,0.27,124.46
mp-27827,Rb2TiCl6,0.196391911,2.66345205,0.0,5,11,0.21,0.29,12.9
mp-29091,Ti(CuS)4,0.147909915,4.546919934,0.0,37,76,0.14,0.29,95.46
mp-30657,TiGaNi2,0.153381692,7.652008774,0.0,40,166,7.98,0.39,111.2
mp-3871,Ti2SnC,0.127594033,6.244640757000001,0.0,92,135,0.01,0.22,224.48
mp-4771,TiAlCu2,0.155640819,6.1437518529999995,0.0,62,134,1.84,0.3,161.2
mp-571126,Ti2BRh6,0.127912492,9.698180284,0.0,113,228,0.02,0.29,291.54
mp-5967,TiCoSb,0.13448727300000002,7.416116643,0.0,75,142,0.08,0.27,190.5
mp-623024,TiCdF6,0.139881738,3.7878369430000003,0.0,15,10,4.92,0.0,30.0
mp-636320,TiGaFe2,0.196991017,7.7988660020000005,0.0,100,190,0.32,0.28,256.0
mp-685194,Li4Ti5O12,0.557952728,3.383782954,0.0,60,108,0.78,0.27,152.4
mp-861639,Ti2CoIr,0.155866153,10.0309212,0.0,64,193,0.55,0.35,172.8
mp-861640,Ti2AlRe,0.128277929,8.247570872,0.0,72,172,0.85,0.32,190.08
mp-861908,TaTiRu2,0.11893240699999999,11.63238221,0.0,79,231,0.06,0.35,213.3
