mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-1014265,Zr2N,0.129869305,6.644608572,0.0,88,173,1.32,0.28,225.28
mp-1018103,ZrAu2,0.22386169600000003,13.95104668,0.0,36,157,14.28,0.39,100.08
mp-1018104,Zr2Cd,0.15891116,7.235683213,0.0,28,78,4.53,0.34,75.04
mp-1018107,ZrTe2,0.21616225600000002,5.981655019,0.0,13,14,3.76,0.15,29.9
mp-11239,ZrAg,0.196614404,8.085384987000001,0.0,47,106,1.06,0.31,123.14
mp-11263,Zr3Au,0.15453942,9.202326342000001,0.0,52,118,0.62,0.31,136.24
mp-11283,ZrBe5,0.111528715,3.6233934760000004,0.0,111,126,0.48,0.16,257.52
mp-11313,ZrCd3,0.21752775,8.172108957,0.0,28,77,3.35,0.34,75.04
mp-11345,ZrP,0.089397749,5.396878206,0.0,82,134,0.55,0.25,205.0
mp-11541,ZrOs,0.11062702099999999,13.11886224,0.0,99,209,0.05,0.3,257.4
mp-1186,ZrS2,0.107355841,3.30746918,0.0,13,18,62.45,0.21,31.46
mp-12109,ZrRe2,0.10725567,14.50077998,0.0,66,251,0.18,0.38,182.16
mp-12752,Zr4Al3,0.103995635,5.301738955,0.0,77,108,0.06,0.21,186.34
mp-1278,Zr2Si,0.102294421,5.972090645,0.0,87,126,0.12,0.22,212.28
mp-13495,ZrPd,0.13431611,8.472656817999999,0.0,33,134,4.57,0.39,91.74
mp-1352,ZrN,0.150791585,7.0989781789999995,0.0,142,247,0.39,0.26,357.84
mp-1401,ZrZn2,0.164192354,7.229957535,0.0,59,102,0.01,0.26,148.68
mp-14024,Zr3O,0.224376644,6.592175224,0.41953875,56,132,0.58,0.32,147.84
mp-1438,ZrIr3,0.130751108,17.49133316,0.0,152,266,0.53,0.26,383.04
mp-1471,Zr3Al,0.109935484,5.913584664,0.0,55,101,0.62,0.27,139.7
mp-1472,ZrB2,0.104370549,6.033105132999999,0.0,226,238,0.15,0.14,515.28
mp-1482,Zr2Al3,0.097756566,4.650765426,0.0,69,108,0.16,0.24,171.12
mp-1515,ZrSi2,0.078878589,4.846510483,0.0,95,125,0.29,0.2,228.0
mp-1523,ZrP2,0.08008186,5.019215526,0.0,80,127,0.31,0.24,198.4
mp-1539,ZrTe,0.24059475800000002,7.455420285,0.0,56,93,1.34,0.25,140.0
mp-1630,Zr3Hg,0.182118022,8.921389892999999,0.0,58,104,0.36,0.27,147.32
mp-1682,ZrAs,0.093249555,6.6502005120000005,0.0,65,118,0.92,0.27,165.1
mp-1683,ZrSe3,0.150400728,5.205999281,0.0,9,16,31.05,0.26,22.68
mp-1793,Zr3Te,0.184418268,7.205173782999999,0.0,39,106,0.26,0.33,103.74
mp-193,Zr2Cu,0.130303607,6.968518037000001,0.0,47,109,0.55,0.31,123.14
mp-2049,ZrMo2,0.11826467,8.470043758,0.0,59,192,0.1,0.36,160.48
mp-20695,Zr3In,0.12772096800000002,7.18207305,0.0,51,97,0.78,0.28,130.56
mp-2076,ZrSe2,0.13577053,4.93521894,0.0,12,18,24.97,0.23,29.52
mp-20800,ZrIn2,0.141419248,7.830351151,0.0,44,83,0.17,0.27,111.76
mp-2089,ZrTe3,0.24384522600000003,6.430112617000001,0.0,10,21,10.95,0.29,25.8
mp-2116,ZrMn2,0.11364645,7.670875936,0.0,49,180,0.08,0.38,135.24
