mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-1005,FeP,0.14550248040628322,6.371739342364887,0.0,133.0,212.0,0.28,0.24,329.84
mp-1009077,FeH,0.19513738021337607,7.098567499542508,0.0,91.0,177.0,0.03,0.28,232.96
mp-11385,YFe5,0.2056455695249951,7.107153233920273,0.0,68.0,105.0,0.13,0.23,167.28
mp-1418,FeNi3,0.17367146631257085,8.700535614964549,0.0,96.0,203.0,0.73,0.3,249.6
mp-1570,YFe2,0.2043185026424397,6.8729897874333465,0.0,36.0,92.0,0.25,0.33,95.76
mp-1714,FeSi2,0.10435576052265744,4.958877478506669,0.0,127.0,181.0,0.03,0.21,307.34
mp-1722,Zn13Fe,0.19313314469317516,7.3193844320864025,0.0,42.0,86.0,0.28,0.29,108.36
mp-1804,Fe3N,0.2174494712907349,7.421215789217515,0.0,96.0,207.0,0.04,0.3,249.6
mp-18695,Fe15Co,0.2214510835631901,8.075535767806645,0.5593906250016545,77.0,184.0,0.67,0.32,203.28
mp-1915,Fe2B,0.201753559860406,7.490316374323061,0.0,145.0,227.0,0.02,0.24,359.6
mp-19306,Fe3O4,0.5317615508776439,4.949992970445885,0.0,64.0,176.0,0.18,0.34,171.52
mp-19870,GaFe3,0.1962233976191226,8.032436452051366,0.0,54.0,174.0,7.62,0.36,146.88
mp-19880,FeTe2,0.3230787550130327,8.053991107072365,0.0,74.0,94.0,0.28,0.19,176.12
mp-20027,FeP2,0.10457399221341222,5.127712739268919,0.0,154.0,180.0,0.52,0.17,360.36
mp-2008,FeAs2,0.10876292493400244,7.424133717867275,0.0,110.0,134.0,0.53,0.18,259.6
mp-20311,FeSe,0.17457803488601534,5.619828139849753,0.0,13.0,19.0,36.92,0.22,31.72
mp-20711,Fe3Ge,0.20425035234937108,8.399632972357558,0.0,46.0,177.0,27.17,0.38,126.96
mp-2090,FeCo,0.19552750482387027,8.290362608471677,0.0,91.0,189.0,1.08,0.29,234.78
mp-2199,Fe3Si,0.19209208810439832,7.388613812179111,0.0,93.0,212.0,1.55,0.31,243.66
mp-2213,FeNi,0.1907674586716471,8.452470763420122,0.0,92.0,187.0,1.35,0.29,237.36
mp-2225,Be2Fe,0.16780534254844753,4.7693529463857045,0.0,146.0,158.0,0.02,0.15,335.7999999999999
mp-2463,LuFe2,0.20587900032993334,10.434599016620464,0.0,50.0,83.0,0.1,0.25,125.0
mp-2658,AlFe,0.1635337825325206,5.791723402212628,0.0,95.0,175.0,1.07,0.27,241.3
