mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-1033,BeNi,0.144666457,6.359073839,0.0,-20,185,-8.18,0.56,-62.4
mp-1048,TiNi,0.155298135,6.412985624,0.0,38,152,10.41,0.38,104.88
mp-1050,Ni3S4,0.15823648,4.843488501,0.0,43,115,0.0,0.33,114.38
mp-1057,Al3Ni2,0.105096124,4.767798831,0.0,86,130,0.05,0.23,211.56
mp-1099,NiGe,0.132183248,7.985962531,0.0,62,136,1.47,0.3,161.2
mp-1118,SiNi2,0.123318762,7.347406529,0.0,64,193,0.25,0.35,172.8
mp-11397,Ga3Ni2,0.12624866,7.682461746,0.0,63,123,0.14,0.28,161.28
mp-11501,MnNi3,0.13809517400000001,8.498199184,0.0,93,174,1.05,0.27,236.22
mp-11506,Ni3Mo,0.148304628,9.512797012,0.0,89,230,0.53,0.33,236.74
mp-11507,Ni4Mo,0.150197545,9.438041482000001,0.0,91,223,1.03,0.32,240.24
mp-11521,ScNi,0.14488184199999998,5.419871475,0.0,46,110,0.01,0.32,121.44
mp-11526,TmNi5,0.17530152300000001,9.623696128999999,0.0,71,141,0.08,0.28,181.76
mp-11531,VNi2,0.15669562,8.166036293,0.0,86,210,1.65,0.32,227.04
mp-12798,Ni3Pt,0.14983997599999999,12.69028586,0.4506,92,206,0.69,0.31,241.04
mp-1364,YNi,0.158437363,6.058788992999999,0.0,24,78,0.7,0.36,65.28
mp-1409,TiNi3,0.164348617,7.958129734,0.0,97,192,0.1,0.28,248.32
mp-1418,FeNi3,0.17367146600000002,8.700535615,0.0,96,203,0.73,0.3,249.6
mp-1451,NbNi3,0.148317158,8.950269432999999,0.0,77,211,0.4,0.34,206.36
mp-1487,AlNi,0.123962749,5.906844497000001,0.0,72,162,1.99,0.31,188.64
mp-1553,HoNi5,0.164078021,9.452775397,0.0,71,135,0.16,0.28,181.76
mp-1567,ThNi5,0.163910804,10.39201126,0.0,64,184,0.17,0.34,171.52
mp-16514,Al3Ni5,0.133452069,6.717313046,0.0,75,167,1.36,0.31,196.5
mp-1654,CeNi2,0.187876247,9.26425288,0.0,40,121,0.16,0.35,108.0
mp-17383,Ni2Ge,0.148784704,8.846337829,0.671632917,44,168,0.27,0.38,121.44
mp-1808,Ti2Ni,0.153434978,5.725013961,0.0,36,141,0.01,0.38,99.36
mp-1867,Ta2Ni,0.13372998,14.78623193,0.0,81,215,0.21,0.33,215.46
mp-19009,NiO,0.537624956,6.61751945,0.0,69,204,0.27,0.35,186.3
