mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-1013525,VS2,0.12149499400000001,3.023685295,0.0,14,22,309.33,0.24,34.72
mp-1017531,VPt,0.144718674,14.233140900000002,0.26666,99,238,1.0,0.32,261.36
mp-10711,VSi2,0.085788171,4.640836074,0.0,147,174,0.05,0.17,343.98
mp-1114,VP,0.09944633800000001,5.074561577,0.0,112,171,1.83,0.23,275.52
mp-11190,VSi2,0.085773491,4.640041908,0.003162222,147,175,0.05,0.17,343.98
mp-11281,Be2V,0.12680760300000002,3.936240073,0.0,138,160,0.01,0.17,322.92
mp-11531,VNi2,0.15669562,8.166036293,0.0,86,210,1.65,0.32,227.04
mp-11549,VPd2,0.161445915,10.03663375,0.0,76,190,1.23,0.32,200.64
mp-11578,VZn3,0.187199905,7.294935773,0.0,65,113,0.67,0.26,163.8
mp-11687,VTe2,0.262701271,6.646573407000001,0.0,17,26,4.26,0.23,41.82
mp-12108,VPt2,0.143121948,16.53793395,0.0,114,246,0.72,0.3,296.4
mp-1221,V3Ge,0.14443557699999998,6.916313017,0.0,54,184,0.03,0.37,147.96
mp-1387,AlV3,0.12934411699999998,5.367846607,0.0,10,159,16.75,0.47,29.4
mp-1395,VRu,0.11600882400000001,9.212888715,0.0,76,252,0.43,0.36,206.72
mp-1491,VB2,0.107947846,5.108570608,0.0,241,286,0.12,0.17,563.94
mp-1555,V3Sb,0.138139055,7.5874114089999996,0.0,79,178,0.22,0.31,206.98
mp-1585,V3Co,0.155066426,6.985026878999999,0.0,110,211,0.31,0.28,281.6
mp-1664,V3Pd,0.151151496,7.705176343,0.0,74,197,0.48,0.33,196.84
mp-19094,VO2,0.604667275,4.446943564,0.0,119,233,0.98,0.28,304.64
mp-19940,VAs,0.103207232,6.798085487000001,0.0,86,140,0.72,0.25,215.0
mp-2006,V3Ir,0.141879409,10.44657064,0.0,122,237,0.23,0.28,312.32
mp-20541,V2P,0.121004534,5.760240303,0.0,102,207,0.29,0.29,263.16
mp-20648,V2C,0.122961031,5.741137694,0.0,117,244,0.18,0.29,301.86
