,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
0,mp-1021323,LiC12,"{'Li': 1.0, 'C': 12.0}",0.035508103,2.019463862,"{'G_Reuss': 7.0, 'G_VRH': 98.0, 'G_Voigt': 189.0, 'G_Voigt_Reuss_Hill': 98.0, 'K_Reuss': 15.0, 'K_VRH': 125.0, 'K_Voigt': 236.0, 'K_Voigt_Reuss_Hill': 125.0, 'elastic_anisotropy': 141.62, 'elastic_tensor': [[906.0, 151.0, -2.0, 0.0, 0.0, 0.0], [151.0, 906.0, -2.0, 0.0, 0.0, 0.0], [-2.0, -2.0, 15.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 3.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 3.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 377.0]], 'homogeneous_poisson': 0.19, 'poisson_ratio': 0.19, 'universal_anisotropy': 141.62, 'elastic_tensor_original': [[906.2043894425367, 150.45324815318077, -2.2195332828670966, 0.0, 0.0, 0.0], [151.15280251329048, 905.3596489578152, -2.1848930081540168, 0.0, 0.0, 0.0], [-1.5079117255806676, -1.5079118660293591, 15.149739726071598, 0.0, 0.0, 0.0], [-0.06108940446023077, 0.058141998937815076, 0.003097069136160338, 3.840230665252448, 0.0, 0.0], [0.0055076355220329675, -0.008553860938697722, -0.283562336014445, 0.0, 2.7935046561427828, 0.0], [6.125005949672269e-05, -1.854005474428241e-05, 2.9533359387786678e-05, 0.0, 0.0, 377.2898802247497]], 'compliance_tensor': [[1.1, -0.2, 0.1, 0.0, -0.0, -0.0], [-0.2, 1.1, 0.1, 0.0, -0.0, -0.0], [0.1, 0.1, 66.0, 0.0, -0.0, -0.0], [0.0, 0.0, 0.0, 301.5, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 301.5, 0.0], [-0.0, -0.0, -0.0, -0.0, 0.0, 2.6]], 'warnings': [], 'nsites': 13}",0,98,125,141.62,0.19,233.24
1,mp-1021328,H4C,"{'H': 4.0, 'C': 1.0}",0.001838606,0.433068254,"{'G_Reuss': 0.0, 'G_VRH': 0.0, 'G_Voigt': 1.0, 'G_Voigt_Reuss_Hill': 0.0, 'K_Reuss': 1.0, 'K_VRH': 1.0, 'K_Voigt': 1.0, 'K_Voigt_Reuss_Hill': 1.0, 'elastic_anisotropy': 13.33, 'elastic_tensor': [[1.0, 1.0, 1.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]], 'homogeneous_poisson': 0.3, 'poisson_ratio': 0.3, 'universal_anisotropy': 13.33, 'elastic_tensor_original': [[1.110522506493501, 0.9417457470015508, 0.9417457470015508, 0.0, 0.0, 0.0], [0.9410731192213304, 1.1098763947653787, 0.9410731192213304, 0.0, 0.0, 0.0], [0.9161706067711028, 0.9161706067711028, 1.0949645279663087, 0.0, 0.0, 0.0], [0.00968295866268667, 0.009234791112999876, 0.009865982227354174, 1.115701878522274, 0.0, 0.0], [0.0038101133769302266, 0.00805666977976763, 0.005878105956112785, 0.0, 1.1225244001251533, 0.0], [0.010675291270717395, 0.012697181512841382, 0.01523417849897209, 0.0, 0.0, 1.1273993067369101]], 'compliance_tensor': [[3985.4, -1824.4, -1824.4, 0.0, -0.0, -0.0], [-1824.4, 3985.4, -1824.4, -0.0, 0.0, -0.0], [-1824.4, -1824.4, 3985.4, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 891.4, -0.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 891.4, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 891.4]], 'warnings': ['One or more K, G below 2 GPa'], 'nsites': 5}",0,0,1,13.33,0.3,0
2,mp-10721,Ti2C,"{'Ti': 2.0, 'C': 1.0}",0.131229555,4.439769168,"{'G_Reuss': 71.0, 'G_VRH': 78.0, 'G_Voigt': 86.0, 'G_Voigt_Reuss_Hill': 78.0, 'K_Reuss': 139.0, 'K_VRH': 139.0, 'K_Voigt': 139.0, 'K_Voigt_Reuss_Hill': 139.0, 'elastic_anisotropy': 1.07, 'elastic_tensor': [[199.0, 109.0, 109.0, 0.0, 0.0, 0.0], [109.0, 199.0, 109.0, 0.0, 0.0, 0.0], [109.0, 109.0, 199.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 113.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 113.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 113.0]], 'homogeneous_poisson': 0.26, 'poisson_ratio': 0.26, 'universal_anisotropy': 1.07, 'elastic_tensor_original': [[199.35815227561136, 108.73497943429275, 108.73497943429275, 0.0, 0.0, 0.0], [108.73613720412799, 199.36112132689996, 108.73613720412799, 0.0, 0.0, 0.0], [108.73839539439162, 108.73839539439162, 199.29777150434126, 0.0, 0.0, 0.0], [-0.04636705151719054, 0.03661198037724627, 0.06389427844681558, 112.67838219293024, 0.0, 0.0], [0.038294844903360166, -0.04492766443577376, 0.06438290903250082, 0.0, 112.6790585080306, 0.0], [4.184399313072179e-05, -0.0005137994674738634, 0.0006684310809085784, 0.0, 0.0, 112.68567735520683]], 'compliance_tensor': [[8.2, -2.9, -2.9, -0.0, 0.0, -0.0], [-2.9, 8.2, -2.9, -0.0, -0.0, 0.0], [-2.9, -2.9, 8.2, 0.0, -0.0, -0.0], [-0.0, -0.0, 0.0, 8.9, -0.0, -0.0], [0.0, -0.0, -0.0, -0.0, 8.9, -0.0], [-0.0, 0.0, -0.0, -0.0, -0.0, 8.9]], 'warnings': [], 'nsites': 12}",0,78,139,1.07,0.26,196.56
3,mp-1086,TaC,"{'Ta': 1.0, 'C': 1.0}",0.107625506,14.23428075,"{'G_Reuss': 208.0, 'G_VRH': 215.0, 'G_Voigt': 221.0, 'G_Voigt_Reuss_Hill': 215.0, 'K_Reuss': 324.0, 'K_VRH': 324.0, 'K_Voigt': 324.0, 'K_Voigt_Reuss_Hill': 324.0, 'elastic_anisotropy': 0.3, 'elastic_tensor': [[708.0, 132.0, 132.0, 0.0, 0.0, 0.0], [132.0, 708.0, 132.0, 0.0, 0.0, 0.0], [132.0, 132.0, 708.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 176.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 176.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 176.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 0.3, 'elastic_tensor_original': [[708.1885762704916, 131.79724356612698, 131.79724356612698, 0.0, 0.0, 0.0], [131.79605904000513, 708.187801110999, 131.79605904000513, 0.0, 0.0, 0.0], [131.7978284041852, 131.7978284041852, 708.1874454459663, 0.0, 0.0, 0.0], [7.959856352077724e-06, -0.00011001343711292911, 0.00013174667377708813, 175.88181363552565, 0.0, 0.0], [8.935979249891794e-05, 7.936956182243389e-05, 0.00017378252222670685, 0.0, 175.88189644160016, 0.0], [-0.00042969389725942635, -0.00014422682192471176, -4.699329227963438e-05, 0.0, 0.0, 175.8819563054426]], 'compliance_tensor': [[1.5, -0.2, -0.2, 0.0, -0.0, -0.0], [-0.2, 1.5, -0.2, 0.0, 0.0, 0.0], [-0.2, -0.2, 1.5, -0.0, -0.0, 0.0], [0.0, 0.0, -0.0, 5.7, 0.0, -0.0], [-0.0, 0.0, -0.0, 0.0, 5.7, -0.0], [-0.0, 0.0, 0.0, -0.0, -0.0, 5.7]], 'warnings': [], 'nsites': 2}",0,215,324,0.3,0.23,528.9
4,mp-1164,ThC,"{'Th': 1.0, 'C': 1.0}",0.140426114,10.55853376,"{'G_Reuss': 73.0, 'G_VRH': 73.0, 'G_Voigt': 74.0, 'G_Voigt_Reuss_Hill': 73.0, 'K_Reuss': 139.0, 'K_VRH': 139.0, 'K_Voigt': 139.0, 'K_Voigt_Reuss_Hill': 139.0, 'elastic_anisotropy': 0.04, 'elastic_tensor': [[226.0, 95.0, 95.0, 0.0, 0.0, 0.0], [95.0, 226.0, 95.0, 0.0, 0.0, 0.0], [95.0, 95.0, 226.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 79.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 79.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 79.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.04, 'elastic_tensor_original': [[226.35677703528782, 95.34884492908306, 95.34884492908306, 0.0, 0.0, 0.0], [95.33430370654109, 226.3421549617794, 95.33430370654109, 0.0, 0.0, 0.0], [95.3450571103927, 95.3450571103927, 226.35288077956352, 0.0, 0.0, 0.0], [0.0007777928998361662, 0.000820752866224581, 0.0007327026959483372, 79.19245983702193, 0.0, 0.0], [1.5057897997634382, 0.0005068900393525517, -1.5047707183734946, 0.0, 79.19234111295472, 0.0], [-0.0009728258175152205, -0.001004072637645296, -0.0009991924370249382, 0.0, 0.0, 79.19244048362073]], 'compliance_tensor': [[5.9, -1.7, -1.7, 0.0, -0.0, -0.0], [-1.7, 5.9, -1.7, -0.0, 0.0, -0.0], [-1.7, -1.7, 5.9, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 12.6, 0.0, 0.0], [-0.0, 0.0, -0.0, 0.0, 12.6, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 12.6]], 'warnings': ['Contains a rare earth element'], 'nsites': 2}",0,73,139,0.04,0.28,186.88
5,mp-11714,SiC,"{'Si': 1.0, 'C': 1.0}",0.036810478,3.171929506,"{'G_Reuss': 184.0, 'G_VRH': 187.0, 'G_Voigt': 189.0, 'G_Voigt_Reuss_Hill': 187.0, 'K_Reuss': 214.0, 'K_VRH': 214.0, 'K_Voigt': 214.0, 'K_Voigt_Reuss_Hill': 214.0, 'elastic_anisotropy': 0.13, 'elastic_tensor': [[490.0, 104.0, 50.0, 0.0, 0.0, 0.0], [104.0, 490.0, 50.0, 0.0, 0.0, 0.0], [50.0, 50.0, 533.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 158.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 158.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 193.0]], 'homogeneous_poisson': 0.16, 'poisson_ratio': 0.16, 'universal_anisotropy': 0.13, 'elastic_tensor_original': [[490.6813652258907, 103.1161803940425, 50.11242467494352, 0.0, 0.0, 0.0], [104.32335205360035, 491.4139131176979, 50.39546402494291, 0.0, 0.0, 0.0], [50.497300449625605, 50.4973267864673, 533.3453392330275, 0.0, 0.0, 0.0], [-1.9733282270282552e-05, -2.165002084129257e-05, -1.1356684917684748e-05, 157.9015269054615, 0.0, 0.0], [-7.873267652978823e-06, 1.7163358327509176e-05, 1.563998793617016e-05, 0.0, 157.8857684680607, 0.0], [-0.0040822479215821515, -0.0019344420272499115, -6.297017578987566e-05, 0.0, 0.0, 192.43705914868903]], 'compliance_tensor': [[2.1, -0.4, -0.2, -0.0, -0.0, 0.0], [-0.4, 2.1, -0.2, 0.0, 0.0, 0.0], [-0.2, -0.2, 1.9, 0.0, -0.0, -0.0], [-0.0, 0.0, 0.0, 6.3, 0.0, -0.0], [-0.0, 0.0, -0.0, 0.0, 6.3, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 5.2]], 'warnings': [], 'nsites': 8}",0.23119925,187,214,0.13,0.16,433.84
6,mp-12574,Dy2C,"{'Dy': 2.0, 'C': 1.0}",0.177825047,8.134774451,"{'G_Reuss': 24.0, 'G_VRH': 30.0, 'G_Voigt': 36.0, 'G_Voigt_Reuss_Hill': 30.0, 'K_Reuss': 62.0, 'K_VRH': 63.0, 'K_Voigt': 64.0, 'K_Voigt_Reuss_Hill': 63.0, 'elastic_anisotropy': 2.49, 'elastic_tensor': [[145.0, 42.0, 24.0, -1.0, 0.0, 0.0], [42.0, 145.0, 24.0, 1.0, 0.0, 0.0], [24.0, 24.0, 108.0, 0.0, 0.0, 0.0], [-1.0, 1.0, 0.0, 14.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 14.0, -1.0], [0.0, 0.0, 0.0, 0.0, -1.0, 51.0]], 'homogeneous_poisson': 0.29, 'poisson_ratio': 0.29, 'universal_anisotropy': 2.49, 'elastic_tensor_original': [[143.93821283104828, 42.45785941985072, 26.89677747707897, 1.3731195921590333, 0.0, 0.0], [42.40327607813717, 144.93268852731515, 27.396660371981778, -1.003116119927985, 0.0, 0.0], [21.00032918380401, 21.00030778363854, 107.767366504791, 0.0, 0.0, 0.0], [-2.530068281435516, 3.189852012357644, 1.3268434313073922, 13.660297368445137, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 13.682672436692231, -2.572072263428893], [0.0, 0.0, 0.0, 0.0, -1.4970235404395047, 51.219715877361104]], 'compliance_tensor': [[7.7, -2.1, -1.3, 1.0, 0.0, 0.0], [-2.1, 7.7, -1.3, -1.0, -0.0, 0.0], [-1.3, -1.3, 9.8, 0.0, 0.0, -0.0], [1.0, -1.0, 0.0, 73.4, 0.0, 0.0], [0.0, -0.0, 0.0, 0.0, 73.4, 2.1], [0.0, -0.0, -0.0, 0.0, 2.1, 19.6]], 'warnings': ['Contains a rare earth element'], 'nsites': 3}",0,30,63,2.49,0.29,77.4
7,mp-1334,Y2C,"{'Y': 2.0, 'C': 1.0}",0.137233081,4.535817844,"{'G_Reuss': 26.0, 'G_VRH': 32.0, 'G_Voigt': 38.0, 'G_Voigt_Reuss_Hill': 32.0, 'K_Reuss': 60.0, 'K_VRH': 61.0, 'K_Voigt': 63.0, 'K_Voigt_Reuss_Hill': 61.0, 'elastic_anisotropy': 2.39, 'elastic_tensor': [[150.0, 43.0, 19.0, -4.0, 0.0, 0.0], [43.0, 150.0, 19.0, 4.0, 0.0, 0.0], [19.0, 19.0, 104.0, 0.0, 0.0, 0.0], [-4.0, 4.0, 0.0, 15.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 15.0, -4.0], [0.0, 0.0, 0.0, 0.0, -4.0, 53.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 2.39, 'elastic_tensor_original': [[150.41247032800496, 42.84586661776287, 19.037831743031234, 3.12948866035796, 0.0, 0.0], [42.9201628034069, 150.32831536554767, 19.101531065099987, -3.2394902697750054, 0.0, 0.0], [19.308203337198286, 19.308213874751903, 103.92242507610567, 0.0, 0.0, 0.0], [4.321137672489106, -4.1382251815338, -0.11845855864854694, 15.136240176092905, 0.0, 0.0], [1.2530082508742523e-05, 3.2368522199336267e-06, 1.16801739587723e-05, -8.34325484460308e-06, 15.336093272460893, 4.208442300632044], [-0.0021058365017644506, 0.009237696642355693, 0.01180680547159623, 0.011733786983183317, 3.929485096818553, 53.1881547311918]], 'compliance_tensor': [[7.5, -2.1, -1.0, 2.4, -0.0, -0.0], [-2.1, 7.5, -1.0, -2.4, -0.0, -0.0], [-1.0, -1.0, 10.0, -0.0, -0.0, 0.0], [2.4, -2.4, -0.0, 66.9, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 66.9, 4.9], [-0.0, -0.0, 0.0, -0.0, 4.9, 19.1]], 'warnings': [], 'nsites': 3}",0,32,61,2.39,0.28,81.92
8,mp-15178,Lu4C7,"{'Lu': 4.0, 'C': 7.0}",0.118920598,8.797273082,"{'G_Reuss': 74.0, 'G_VRH': 75.0, 'G_Voigt': 77.0, 'G_Voigt_Reuss_Hill': 75.0, 'K_Reuss': 124.0, 'K_VRH': 126.0, 'K_Voigt': 128.0, 'K_Voigt_Reuss_Hill': 126.0, 'elastic_anisotropy': 0.29, 'elastic_tensor': [[221.0, 70.0, 56.0, 0.0, 2.0, 0.0], [70.0, 307.0, 76.0, 0.0, -11.0, 0.0], [56.0, 76.0, 223.0, 0.0, -4.0, 0.0], [0.0, 0.0, 0.0, 71.0, 0.0, -12.0], [2.0, -11.0, -4.0, 0.0, 72.0, 0.0], [0.0, 0.0, 0.0, -12.0, 0.0, 60.0]], 'homogeneous_poisson': 0.25, 'poisson_ratio': 0.25, 'universal_anisotropy': 0.29, 'elastic_tensor_original': [[307.41461207861073, 76.06025865469998, 70.23765039695827, -11.156873409067979, 0.0, 0.0], [74.98201575590056, 223.349974457962, 56.35445913839877, -3.6906407212497663, 0.0, 0.0], [69.7757690088441, 56.327274251595874, 220.84718136626174, 1.4498266537896758, 0.0, 0.0], [-10.005345948673074, -3.3952218228855284, 2.7725668533190695, 71.51384550388873, 0.0, 0.0], [-0.012046641945830982, -0.03663348187898831, -0.00777203299332596, -0.0003726228446477967, 60.40188064550579, -11.30192539666442], [0.14487018561835133, -0.014603252543143876, -0.01623595831552049, -0.021007842740707255, -11.760436197919182, 71.35938874273127]], 'compliance_tensor': [[5.1, -0.9, -1.0, 0.0, -0.3, 0.0], [-0.9, 3.7, -1.0, 0.0, 0.5, 0.0], [-1.0, -1.0, 5.1, 0.0, 0.1, 0.0], [0.0, 0.0, 0.0, 14.5, 0.0, 2.8], [-0.3, 0.5, 0.1, 0.0, 14.1, 0.0], [0.0, 0.0, 0.0, 2.8, 0.0, 17.1]], 'warnings': ['Contains a rare earth element'], 'nsites': 22}",0,75,126,0.29,0.25,187.5
9,mp-1552,Mo2C,"{'Mo': 2.0, 'C': 1.0}",0.106004604,8.943989554,"{'G_Reuss': 148.0, 'G_VRH': 150.0, 'G_Voigt': 152.0, 'G_Voigt_Reuss_Hill': 150.0, 'K_Reuss': 294.0, 'K_VRH': 294.0, 'K_Voigt': 294.0, 'K_Voigt_Reuss_Hill': 294.0, 'elastic_anisotropy': 0.14, 'elastic_tensor': [[488.0, 169.0, 226.0, 0.0, 0.0, 0.0], [169.0, 489.0, 216.0, 0.0, 0.0, 0.0], [226.0, 216.0, 453.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 179.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 167.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 139.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.14, 'elastic_tensor_original': [[452.8680274693039, 225.80039894070575, 216.35082863264083, 0.0, 0.0, 0.0], [225.72608748324097, 487.5065989320278, 168.32502722289271, 0.0, 0.0, 0.0], [215.37666941220527, 168.7220241166351, 488.7870455348267, 0.0, 0.0, 0.0], [0.00034340005098466516, -0.0004941509837085082, 0.00015953312814641335, 138.50875094010092, 0.0, 0.0], [-0.00011289369316853324, -0.00041082784732164845, -0.0004738075794695109, 0.0, 179.22511525212516, 0.0], [-8.070640105933225e-05, 0.00040065080772373984, 0.0002481000758191338, 0.0, 0.0, 167.4128198607708]], 'compliance_tensor': [[2.7, -0.4, -1.2, -0.0, 0.0, 0.0], [-0.4, 2.7, -1.1, 0.0, 0.0, 0.0], [-1.2, -1.1, 3.3, -0.0, 0.0, 0.0], [-0.0, 0.0, -0.0, 5.6, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 6.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 7.2]], 'warnings': [], 'nsites': 12}",0,150,294,0.14,0.28,384
