,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
0,mp-1007923,CrNi3,"{'Cr': 1.0, 'Ni': 3.0}",0.19506228,8.618942228,"{'G_Reuss': 97.0, 'G_VRH': 105.0, 'G_Voigt': 113.0, 'G_Voigt_Reuss_Hill': 105.0, 'K_Reuss': 221.0, 'K_VRH': 222.0, 'K_Voigt': 222.0, 'K_Voigt_Reuss_Hill': 222.0, 'elastic_anisotropy': 0.82, 'elastic_tensor': [[298.0, 178.0, 178.0, 0.0, 0.0, 0.0], [178.0, 298.0, 178.0, 0.0, 0.0, 0.0], [178.0, 178.0, 334.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 146.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 146.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 142.0]], 'homogeneous_poisson': 0.29, 'poisson_ratio': 0.29, 'universal_anisotropy': 0.82, 'elastic_tensor_original': [[297.86502694188397, 178.3279280882583, 166.5943849771275, -2.3200127949972132e-05, 0.0, 0.0], [178.3279280882583, 297.86502694188397, 166.5943849771275, 0.0, 2.3200127945972483e-05, 0.0], [188.97471892224416, 188.97471892224416, 334.26948844175604, -4.640076400171495e-05, -4.640076400171495e-05, 0.0], [0.0, 0.0, 0.0, 145.83458310200336, 9.999918366095758e-08, 0.0], [0.0, 0.0, 0.0, -9.999918367217644e-08, 145.83458310200336, 0.0], [1.4249069007386055, -1.4249069007386055, 0.0, -9.999906314868474e-07, 0.0, 142.4822153532561]], 'compliance_tensor': [[5.9, -2.4, -1.9, -0.0, 0.0, 0.0], [-2.4, 5.9, -1.9, 0.0, -0.0, 0.0], [-1.9, -1.9, 5.0, -0.0, 0.0, -0.0], [-0.0, 0.0, -0.0, 6.9, -0.0, 0.0], [0.0, -0.0, 0.0, -0.0, 6.9, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 7.0]], 'warnings': [], 'nsites': 4}",0.26945,105,222,0.82,0.29,270.9
1,mp-12083,CrIr3,"{'Cr': 1.0, 'Ir': 3.0}",0.162655878,18.64843864,"{'G_Reuss': 208.0, 'G_VRH': 214.0, 'G_Voigt': 220.0, 'G_Voigt_Reuss_Hill': 214.0, 'K_Reuss': 307.0, 'K_VRH': 307.0, 'K_Voigt': 307.0, 'K_Voigt_Reuss_Hill': 307.0, 'elastic_anisotropy': 0.28, 'elastic_tensor': [[521.0, 200.0, 200.0, 0.0, 0.0, 0.0], [200.0, 521.0, 200.0, 0.0, 0.0, 0.0], [200.0, 200.0, 521.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 259.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 259.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 259.0]], 'homogeneous_poisson': 0.22, 'poisson_ratio': 0.22, 'universal_anisotropy': 0.28, 'elastic_tensor_original': [[521.4113399788176, 200.05618706661448, 200.05618706661448, 0.0, 0.0, 0.0], [200.05555102359367, 521.410950454543, 200.05555102359367, 0.0, 0.0, 0.0], [200.05492580724297, 200.05492580724297, 521.4097421431536, 0.0, 0.0, 0.0], [1.78467867081266e-05, 0.00011581984635795054, 0.00018460343977764763, 259.1933761471575, 0.0, 0.0], [-8.618016015423828e-05, -0.00016582988466624, 5.667033213304565e-05, 0.0, 259.19340936399925, 0.0], [0.00019694286892170753, 4.999279623111817e-05, -6.368388365404923e-05, 0.0, 0.0, 259.19311085009235]], 'compliance_tensor': [[2.4, -0.7, -0.7, -0.0, -0.0, 0.0], [-0.7, 2.4, -0.7, 0.0, 0.0, -0.0], [-0.7, -0.7, 2.4, -0.0, -0.0, 0.0], [-0.0, 0.0, -0.0, 3.9, 0.0, -0.0], [-0.0, 0.0, -0.0, 0.0, 3.9, -0.0], [0.0, -0.0, 0.0, -0.0, -0.0, 3.9]], 'warnings': [], 'nsites': 4}",0,214,307,0.28,0.22,522.16
2,mp-12585,CrRh3,"{'Cr': 1.0, 'Rh': 3.0}",0.157079673,10.84546253,"{'G_Reuss': 146.0, 'G_VRH': 151.0, 'G_Voigt': 157.0, 'G_Voigt_Reuss_Hill': 151.0, 'K_Reuss': 230.0, 'K_VRH': 230.0, 'K_Voigt': 230.0, 'K_Voigt_Reuss_Hill': 230.0, 'elastic_anisotropy': 0.38, 'elastic_tensor': [[374.0, 158.0, 158.0, 0.0, 0.0, 0.0], [158.0, 374.0, 158.0, 0.0, 0.0, 0.0], [158.0, 158.0, 374.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 189.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 189.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 189.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 0.38, 'elastic_tensor_original': [[374.24696644375587, 157.54016267207197, 157.54016267207197, 0.0, 0.0, 0.0], [157.54696934901708, 374.2509244976101, 157.54696934901708, 0.0, 0.0, 0.0], [157.5296529967347, 157.5296529967347, 374.23673825810306, 0.0, 0.0, 0.0], [-0.0005435612161904812, -0.00035730413278360526, -0.000584227973844756, 189.19427986249812, 0.0, 0.0], [-0.0003980175572048184, -0.0002895606478771278, -0.00013036362501439163, 0.0, 189.19482658372135, 0.0], [-0.00047798773613750206, -0.0003956675519519147, -0.00011340358706815388, 0.0, 0.0, 189.19464490331484]], 'compliance_tensor': [[3.6, -1.1, -1.1, 0.0, -0.0, -0.0], [-1.1, 3.6, -1.1, 0.0, 0.0, -0.0], [-1.1, -1.1, 3.6, -0.0, -0.0, 0.0], [0.0, 0.0, -0.0, 5.3, 0.0, -0.0], [-0.0, 0.0, -0.0, 0.0, 5.3, 0.0], [-0.0, -0.0, 0.0, -0.0, 0.0, 5.3]], 'warnings': [], 'nsites': 4}",0,151,230,0.38,0.23,371.46
3,mp-1425,TiCr2,"{'Ti': 1.0, 'Cr': 2.0}",0.236118711,6.237410464,"{'G_Reuss': 75.0, 'G_VRH': 75.0, 'G_Voigt': 75.0, 'G_Voigt_Reuss_Hill': 75.0, 'K_Reuss': 199.0, 'K_VRH': 199.0, 'K_Voigt': 199.0, 'K_Voigt_Reuss_Hill': 199.0, 'elastic_anisotropy': 0.03, 'elastic_tensor': [[289.0, 154.0, 154.0, 0.0, 0.0, 0.0], [154.0, 289.0, 154.0, 0.0, 0.0, 0.0], [154.0, 154.0, 289.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 80.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 80.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 80.0]], 'homogeneous_poisson': 0.33, 'poisson_ratio': 0.33, 'universal_anisotropy': 0.03, 'elastic_tensor_original': [[290.36619654103987, 154.24238360101938, 154.24238360101938, 0.0, 0.0, 0.0], [154.2364268168836, 290.3592774632195, 154.2364268168836, 0.0, 0.0, 0.0], [152.6092393546537, 152.6092393546537, 287.2232236206008, 0.0, 0.0, 0.0], [0.003532559088417468, 0.0038573153648390106, 0.003593099015668446, 80.01867474850803, 0.0, 0.0], [0.002917779827169963, 0.0028756765444299267, 0.003152462878494306, 0.0, 80.01905279138707, 0.0], [0.0007877790533623921, 0.0012239485292362701, 0.00043968280498657734, 0.0, 0.0, 80.01820523240555]], 'compliance_tensor': [[5.5, -1.9, -1.9, 0.0, -0.0, -0.0], [-1.9, 5.5, -1.9, -0.0, 0.0, -0.0], [-1.9, -1.9, 5.5, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 12.5, -0.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 12.5, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 12.5]], 'warnings': [], 'nsites': 6}",0.076832917,75,199,0.03,0.33,199.5
4,mp-15617,Cr5B3,"{'Cr': 5.0, 'B': 3.0}",0.247747225,6.587365888,"{'G_Reuss': 195.0, 'G_VRH': 196.0, 'G_Voigt': 196.0, 'G_Voigt_Reuss_Hill': 196.0, 'K_Reuss': 291.0, 'K_VRH': 291.0, 'K_Voigt': 291.0, 'K_Voigt_Reuss_Hill': 291.0, 'elastic_anisotropy': 0.03, 'elastic_tensor': [[565.0, 139.0, 176.0, 0.0, 0.0, 0.0], [139.0, 565.0, 176.0, 0.0, 0.0, 0.0], [176.0, 176.0, 506.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 204.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 204.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 191.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 0.03, 'elastic_tensor_original': [[566.4065926877246, 140.35270489611838, 172.70652906821155, 0.0011025080328531359, -0.0020061804622690752, -0.0002692912160698783], [138.1208322627632, 563.0433489567072, 178.5991400349742, 0.0010611184828914337, 0.00081466567524837, 0.00020895958031695496], [177.03718510304316, 177.03718510304316, 506.4877875702293, 0.0, 0.0, 0.0], [0.0006673906382454561, 0.0007362203476012568, 0.00041965027199577707, 204.1107784852015, 0.0, 0.0], [0.0006764567446521548, 0.000796346717694135, 0.000618096566330363, 0.0, 204.11060002447792, 0.0], [2.782298817381244e-05, 3.889634476010822e-05, 0.0001237998694070494, 0.0, 0.0, 191.30257136388576]], 'compliance_tensor': [[2.0, -0.3, -0.6, 0.0, -0.0, 0.0], [-0.3, 2.0, -0.6, -0.0, 0.0, -0.0], [-0.6, -0.6, 2.4, -0.0, 0.0, -0.0], [0.0, -0.0, -0.0, 4.9, -0.0, 0.0], [-0.0, 0.0, 0.0, -0.0, 4.9, -0.0], [0.0, -0.0, -0.0, 0.0, -0.0, 5.2]], 'warnings': [], 'nsites': 16}",0,196,291,0.03,0.23,482.16
5,mp-15809,Cr2B,"{'Cr': 2.0, 'B': 1.0}",0.256302139,6.742147673,"{'G_Reuss': 183.0, 'G_VRH': 185.0, 'G_Voigt': 186.0, 'G_Voigt_Reuss_Hill': 185.0, 'K_Reuss': 289.0, 'K_VRH': 289.0, 'K_Voigt': 289.0, 'K_Voigt_Reuss_Hill': 289.0, 'elastic_anisotropy': 0.1, 'elastic_tensor': [[489.0, 184.0, 184.0, 0.0, 0.0, 0.0], [184.0, 501.0, 186.0, 0.0, 0.0, 0.0], [184.0, 186.0, 501.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 204.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 208.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 208.0]], 'homogeneous_poisson': 0.24, 'poisson_ratio': 0.24, 'universal_anisotropy': 0.1, 'elastic_tensor_original': [[489.06851817003593, 184.92376413137754, 184.92376413137754, 0.0, 0.0, 0.0], [184.06761283024053, 501.40231614861045, 186.31474295636548, 0.0, 0.0, 0.0], [184.06761283024053, 186.31474295636548, 501.40231614861045, 0.0, 0.0, 0.0], [0.0, 2.039682628448957, -2.039682628448962, 203.9579459477869, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 207.71005292444383, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 207.71005292444383]], 'compliance_tensor': [[2.6, -0.7, -0.7, 0.0, 0.0, -0.0], [-0.7, 2.5, -0.7, -0.0, -0.0, -0.0], [-0.7, -0.7, 2.5, -0.0, 0.0, 0.0], [0.0, -0.0, -0.0, 4.9, -0.0, 0.0], [0.0, -0.0, 0.0, -0.0, 4.8, -0.0], [-0.0, -0.0, 0.0, 0.0, -0.0, 4.8]], 'warnings': [], 'nsites': 6}",0.897243333,185,289,0.1,0.24,458.8
6,mp-1590,Be12Cr,"{'Be': 12.0, 'Cr': 1.0}",0.129386252,2.492767733,"{'G_Reuss': 143.0, 'G_VRH': 144.0, 'G_Voigt': 145.0, 'G_Voigt_Reuss_Hill': 144.0, 'K_Reuss': 126.0, 'K_VRH': 126.0, 'K_Voigt': 126.0, 'K_Voigt_Reuss_Hill': 126.0, 'elastic_anisotropy': 0.08, 'elastic_tensor': [[330.0, 38.0, 38.0, 0.0, 0.0, 0.0], [38.0, 343.0, -15.0, 0.0, 0.0, 0.0], [38.0, -15.0, 343.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 123.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 142.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 142.0]], 'homogeneous_poisson': 0.09, 'poisson_ratio': 0.09, 'universal_anisotropy': 0.08, 'elastic_tensor_original': [[365.2169584772592, 5.708661138194591, 35.58652586231536, 0.0, 0.0, 0.0], [-35.86912081410972, 321.3604810194666, 49.01953850443253, 0.0, 0.0, 0.0], [33.0174132399637, 33.0174132399637, 329.61272984068296, 0.0, 0.0, 0.0], [0.07363749256429504, 0.07846458453617598, 0.16692947625181934, 142.53925066427732, 0.0, 0.0], [10.49807869796519, 10.404898739801618, -2.1060054093464204, 0.0, 142.15691486655737, 0.0], [0.05845751046454313, 0.10171582020839941, -0.04656084178522774, 0.0, 0.0, 122.67553015221705]], 'compliance_tensor': [[3.1, -0.4, -0.4, -0.0, 0.0, 0.0], [-0.4, 3.0, 0.2, 0.0, -0.0, -0.0], [-0.4, 0.2, 3.0, 0.0, -0.0, 0.0], [-0.0, 0.0, 0.0, 8.2, 0.0, 0.0], [0.0, -0.0, -0.0, 0.0, 7.0, -0.0], [0.0, -0.0, 0.0, 0.0, -0.0, 7.0]], 'warnings': [], 'nsites': 13}",0.612988269,144,126,0.08,0.09,313.92
7,mp-1699,AlCr2,"{'Al': 1.0, 'Cr': 2.0}",0.217976375,5.748722009,"{'G_Reuss': 102.0, 'G_VRH': 103.0, 'G_Voigt': 103.0, 'G_Voigt_Reuss_Hill': 103.0, 'K_Reuss': 186.0, 'K_VRH': 186.0, 'K_Voigt': 187.0, 'K_Voigt_Reuss_Hill': 186.0, 'elastic_anisotropy': 0.08, 'elastic_tensor': [[339.0, 120.0, 120.0, 0.0, 0.0, 0.0], [120.0, 339.0, 120.0, 0.0, 0.0, 0.0], [120.0, 120.0, 284.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 96.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 96.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 124.0]], 'homogeneous_poisson': 0.27, 'poisson_ratio': 0.27, 'universal_anisotropy': 0.08, 'elastic_tensor_original': [[339.0282676390372, 119.74474892599133, 119.56393629809801, 0.0, 0.0, 0.0], [119.74432521404216, 339.02834226486516, 119.5649091577507, 0.0, 0.0, 0.0], [120.44712539949793, 120.44712539949793, 284.2098227573407, 0.0, 0.0, 0.0], [-5.878675450344764e-05, 0.00011688684131792352, -9.536680916314763e-05, 96.19625560245841, 0.0, 0.0], [0.00017954693494381856, -0.00033547050125540555, -0.0003040904543699875, 0.0, 96.19590298193154, 0.0], [0.00010710681605997303, 0.00023680366363468803, -2.1333363095987145e-06, 0.0, 0.0, 123.67807027696277]], 'compliance_tensor': [[3.7, -0.9, -1.2, 0.0, 0.0, -0.0], [-0.9, 3.7, -1.2, -0.0, 0.0, -0.0], [-1.2, -1.2, 4.5, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 10.4, 0.0, -0.0], [0.0, 0.0, -0.0, 0.0, 10.4, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 8.1]], 'warnings': [], 'nsites': 3}",0,103,186,0.08,0.27,261.62
8,mp-19177,CrO2,"{'Cr': 1.0, 'O': 2.0}",0.671783311,4.629940044,"{'G_Reuss': 98.0, 'G_VRH': 107.0, 'G_Voigt': 116.0, 'G_Voigt_Reuss_Hill': 107.0, 'K_Reuss': 178.0, 'K_VRH': 179.0, 'K_Voigt': 180.0, 'K_Voigt_Reuss_Hill': 179.0, 'elastic_anisotropy': 0.9, 'elastic_tensor': [[359.0, 114.0, 114.0, 0.0, 0.0, 0.0], [114.0, 256.0, 146.0, 0.0, 0.0, 0.0], [114.0, 146.0, 256.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 198.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 108.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 108.0]], 'homogeneous_poisson': 0.25, 'poisson_ratio': 0.25, 'universal_anisotropy': 0.9, 'elastic_tensor_original': [[358.6744095540306, 119.21609887207575, 119.21609887207575, 0.0, 0.0, 0.0], [109.04682543418134, 256.0009513682941, 145.64908643353417, 0.0, 0.0, 0.0], [109.04682543418134, 145.64908643353417, 256.0009513682941, 0.0, 0.0, 0.0], [0.0, 1.981645098800023, -1.9816450988000238, 198.1523609090619, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 107.85476627772407, -0.17922418749194036], [0.0, 0.0, 0.0, 0.0, 0.17922418749194036, 107.85476627772407]], 'compliance_tensor': [[3.403536726522421, -0.967137026093188, -0.9671370260931876, 4.064061321589282e-19, 0.0, 0.0], [-0.9671370260931879, 6.050644104500817, -3.0112779626178563, -1.907915184983706e-18, 0.0, 0.0], [-0.9671370260931876, -3.0112779626178563, 6.050644104500816, 6.30725909202179e-19, 0.0, 0.0], [4.0640613215892827e-19, -1.907915184983706e-18, 6.30725909202179e-19, 5.046621677442089, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 9.271727476790577, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.271727476790577]], 'warnings': [], 'nsites': 6}",0,107,179,0.9,0.25,267.5
9,mp-19399,Cr2O3,"{'Cr': 2.0, 'O': 3.0}",0.623680265,4.904330346,"{'G_Reuss': 111.0, 'G_VRH': 113.0, 'G_Voigt': 114.0, 'G_Voigt_Reuss_Hill': 113.0, 'K_Reuss': 203.0, 'K_VRH': 203.0, 'K_Voigt': 204.0, 'K_Voigt_Reuss_Hill': 203.0, 'elastic_anisotropy': 0.15, 'elastic_tensor': [[348.0, 142.0, 137.0, -8.0, 0.0, 0.0], [142.0, 348.0, 137.0, 8.0, 0.0, 0.0], [137.0, 137.0, 308.0, 0.0, 0.0, 0.0], [-8.0, 8.0, 0.0, 136.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 136.0, -8.0], [0.0, 0.0, 0.0, 0.0, -8.0, 103.0]], 'homogeneous_poisson': 0.27, 'poisson_ratio': 0.27, 'universal_anisotropy': 0.15, 'elastic_tensor_original': [[348.49141925182454, 141.53451932431275, 136.88398885179794, 8.497234362781027, 0.0, 0.0], [141.44656273671103, 347.6907092494148, 136.80225948365566, -8.125324010731292, 0.0, 0.0], [136.272864984991, 136.27295921811407, 307.9454729627834, 0.0, 0.0, 0.0], [7.629048210592506, -7.930201763545069, -0.0021467604079513113, 136.22937494409692, 0.0, 0.0], [-0.002683952981575916, 0.001325613340741348, -0.0013199534071566621, 0.0018550444720085385, 136.23271815044066, 7.724422792556191], [-0.0017201728156215148, -0.0014327065187335374, -0.0015440730869973626, 1.8803377931771486e-05, 7.722661917017942, 103.18877789198214]], 'compliance_tensor': [[3.789152456486838, -1.0752183342371444, -1.2034908097102737, 0.2815299731274136, 1.591015390706434e-16, 1.6105774970971304e-06], [-1.0752183342371437, 3.7891543162226813, -1.2034911050500303, -0.2815300422155459, 1.196641844314978e-07, 1.610577889510577e-06], [-1.203490809710274, -1.20349110505003, 4.314701129372407, 5.160397044080192e-17, -5.705429886640414e-17, -5.115432121097481e-07], [0.28152997312741357, -0.2815300422155459, 7.985916852018418e-17, 7.373059178095244, 1.566957308926614e-06, 2.39328369206818e-07], [5.3364980106932915e-17, 1.1966418454883588e-07, -7.519082302452871e-17, 1.5669573089118677e-06, 7.373057368727906, 0.5630599462548275], [1.6105774957575825e-06, 1.61057789120344e-06, -5.115432124909028e-07, 2.393283689996004e-07, 0.5630599462548274, 9.728743441184264]], 'warnings': [], 'nsites': 10}",0,113,203,0.15,0.27,287.02
