,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
0,mp-10033,NbS2,"{'Nb': 1.0, 'S': 2.0}",0.123602586,4.019532925,"{'G_Reuss': 2.0, 'G_VRH': 15.0, 'G_Voigt': 27.0, 'G_Voigt_Reuss_Hill': 15.0, 'K_Reuss': 2.0, 'K_VRH': 23.0, 'K_Voigt': 45.0, 'K_Voigt_Reuss_Hill': 23.0, 'elastic_anisotropy': 72.82, 'elastic_tensor': [[148.0, 51.0, 1.0, 0.0, 0.0, 0.0], [51.0, 148.0, 1.0, 0.0, 0.0, 0.0], [1.0, 1.0, 2.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 2.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 2.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 48.0]], 'homogeneous_poisson': 0.24, 'poisson_ratio': 0.24, 'universal_anisotropy': 72.82, 'elastic_tensor_original': [[147.20379727117538, 52.263837616406136, 0.45070240857664745, 0.0, 0.0, 0.0], [51.92393972103811, 146.96103438959034, 0.23713887735954695, 0.0, 0.0, 0.0], [0.6942338282878388, 0.6942344288823588, 1.8670727139129961, 0.0, 0.0, 0.0], [-0.012330287897562589, 0.006585047969058846, 0.07864208651179673, 1.6154079142535875, 0.0, 0.0], [0.00012969641457864688, 0.00016189035092253716, 0.00027180703374231357, 0.0, 1.4800902788244943, 0.0], [0.05922415619949445, -0.13846424615438502, -0.16391825848781907, 0.0, 0.0, 48.835126133333226]], 'compliance_tensor': [[7.7, -2.7, -1.4, 0.0, 0.0, 0.0], [-2.7, 7.7, -1.4, 0.0, 0.0, 0.0], [-1.4, -1.4, 536.4, -0.0, -0.0, -0.0], [0.0, 0.0, -0.0, 646.1, 0.0, 0.0], [0.0, 0.0, -0.0, 0.0, 646.1, -0.0], [0.0, 0.0, -0.0, 0.0, -0.0, 20.8]], 'warnings': ['One or more K, G below 2 GPa'], 'nsites': 6}",0,15,23,72.82,0.24,37.2
1,mp-1018151,NbPd2,"{'Nb': 1.0, 'Pd': 2.0}",0.153628833,10.5593086,"{'G_Reuss': 65.0, 'G_VRH': 74.0, 'G_Voigt': 83.0, 'G_Voigt_Reuss_Hill': 74.0, 'K_Reuss': 189.0, 'K_VRH': 190.0, 'K_Voigt': 192.0, 'K_Voigt_Reuss_Hill': 190.0, 'elastic_anisotropy': 1.39, 'elastic_tensor': [[258.0, 159.0, 181.0, 0.0, 0.0, 0.0], [159.0, 330.0, 100.0, 0.0, 0.0, 0.0], [181.0, 100.0, 256.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 52.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 112.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 117.0]], 'homogeneous_poisson': 0.33, 'poisson_ratio': 0.33, 'universal_anisotropy': 1.39, 'elastic_tensor_original': [[257.5223133428591, 167.9773672364823, 185.30935096280385, -3.960014103238704e-05, 0.0, 0.0], [150.84021384890067, 330.13335888128336, 97.6014460175164, -7.739843256025092e-05, 0.0, -3.859921830524142e-05], [175.82383862245962, 102.93650543308583, 255.88170214810623, 0.0, 0.0, -1.2199965182943507e-05], [0.0, 0.0, -1.2082610318443454e-05, 52.38228374753052, 0.0, -5.000046171199961e-07], [0.0, 0.0, 0.0, 3.898569249179427e-08, 112.3606124212429, 0.0], [0.0, 0.0, 0.0, 9.197417421916037e-07, -1.347913734283295e-05, 116.87350689260235]], 'compliance_tensor': [[9.7, -3.0, -5.7, -0.0, 0.0, 0.0], [-3.0, 4.3, 0.4, 0.0, 0.0, 0.0], [-5.7, 0.4, 7.8, 0.0, -0.0, -0.0], [-0.0, 0.0, 0.0, 19.1, 0.0, 0.0], [0.0, 0.0, -0.0, 0.0, 8.9, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 8.6]], 'warnings': [], 'nsites': 3}",0,74,190,1.39,0.33,196.84
2,mp-10255,Nb3B4,"{'Nb': 3.0, 'B': 4.0}",0.108717917,7.190484535,"{'G_Reuss': 196.0, 'G_VRH': 198.0, 'G_Voigt': 200.0, 'G_Voigt_Reuss_Hill': 198.0, 'K_Reuss': 274.0, 'K_VRH': 274.0, 'K_Voigt': 274.0, 'K_Voigt_Reuss_Hill': 274.0, 'elastic_anisotropy': 0.11, 'elastic_tensor': [[464.0, 162.0, 170.0, 0.0, 0.0, 0.0], [162.0, 529.0, 137.0, 0.0, 0.0, 0.0], [170.0, 137.0, 536.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 192.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 235.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 222.0]], 'homogeneous_poisson': 0.21, 'poisson_ratio': 0.21, 'universal_anisotropy': 0.11, 'elastic_tensor_original': [[536.2640161653463, 169.9446019967696, 136.46754916427403, 0.0, 0.0, 0.0], [170.4724024698173, 463.6333679651449, 161.24738277508885, 0.0, 0.0, 0.0], [138.25856647910055, 162.47590444727237, 528.5635033724915, 0.0, 0.0, 0.0], [0.00013427689759570673, 5.3993426194515236e-05, -6.538344577949514e-05, 221.68747957390906, 0.0, 0.0], [0.0005517694432178764, -0.00040073292895624575, -0.001100708889281113, 0.0, 191.8752128266363, 0.0], [-4.974327785003056e-05, 1.6103315374620087e-05, 2.6639970288278574e-05, 0.0, 0.0, 234.76880857347513]], 'compliance_tensor': [[2.6, -0.6, -0.7, 0.0, 0.0, 0.0], [-0.6, 2.2, -0.4, 0.0, -0.0, 0.0], [-0.7, -0.4, 2.2, 0.0, -0.0, 0.0], [0.0, 0.0, 0.0, 5.2, 0.0, 0.0], [0.0, -0.0, -0.0, 0.0, 4.3, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 4.5]], 'warnings': [], 'nsites': 7}",0,198,274,0.11,0.21,479.16
3,mp-1046,NbSn2,"{'Nb': 1.0, 'Sn': 2.0}",0.103324472,7.982741992,"{'G_Reuss': 48.0, 'G_VRH': 49.0, 'G_Voigt': 50.0, 'G_Voigt_Reuss_Hill': 49.0, 'K_Reuss': 96.0, 'K_VRH': 96.0, 'K_Voigt': 96.0, 'K_Voigt_Reuss_Hill': 96.0, 'elastic_anisotropy': 0.18, 'elastic_tensor': [[171.0, 60.0, 70.0, 0.0, 0.0, 0.0], [60.0, 176.0, 49.0, 0.0, 0.0, 0.0], [70.0, 49.0, 161.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 50.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 53.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 35.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.18, 'elastic_tensor_original': [[160.99994384501446, 69.59712099963221, 48.92050847358622, 0.0, 0.0, 0.0], [69.98408970127647, 171.10155869027187, 59.455314016382694, 0.0, 0.0, 0.0], [49.686238702317624, 59.72168675814002, 175.84338930123866, 0.0, 0.0, 0.0], [-0.004050117178092469, -0.003861377321582205, -0.002203220475953924, 35.38926356904643, 0.0, 0.0], [-6.674341898083122e-05, -0.00045888723467686377, 0.00035844362158224125, 0.0, 50.24712694100601, 0.0], [0.00025132013283062744, -4.3333674688432e-05, 3.885688612654118e-05, 0.0, 0.0, 53.46283721093264]], 'compliance_tensor': [[7.6, -1.8, -2.7, 0.0, 0.0, 0.0], [-1.8, 6.7, -1.3, 0.0, 0.0, 0.0], [-2.7, -1.3, 7.8, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 19.9, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 18.7, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 28.3]], 'warnings': [], 'nsites': 12}",0,49,96,0.18,0.28,125.44
4,mp-11272,Be2Nb3,"{'Be': 2.0, 'Nb': 3.0}",0.120293559,6.853194296,"{'G_Reuss': 78.0, 'G_VRH': 78.0, 'G_Voigt': 79.0, 'G_Voigt_Reuss_Hill': 78.0, 'K_Reuss': 165.0, 'K_VRH': 165.0, 'K_Voigt': 165.0, 'K_Voigt_Reuss_Hill': 165.0, 'elastic_anisotropy': 0.03, 'elastic_tensor': [[262.0, 115.0, 115.0, 0.0, 0.0, 0.0], [115.0, 263.0, 119.0, 0.0, 0.0, 0.0], [115.0, 119.0, 263.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 89.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 79.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 79.0]], 'homogeneous_poisson': 0.3, 'poisson_ratio': 0.3, 'universal_anisotropy': 0.03, 'elastic_tensor_original': [[262.48275008725483, 119.12670012103865, 115.6619753887705, 0.0, 0.0, 0.0], [118.90936882365236, 262.63356569845024, 115.6785239284075, 0.0, 0.0, 0.0], [114.63857764009666, 114.63857764009666, 262.2277181439481, 0.0, 0.0, 0.0], [-0.0007872668174625587, -0.0008340634930939544, 5.762667770417729e-05, 78.99378900086874, 0.0, 0.0], [0.0002602033831740212, 0.00014158336045486792, 0.0007400501417526718, 0.0, 78.99429294763195, 0.0], [-0.000552240098098869, 0.00018147669890383245, -0.0002951100524201849, 0.0, 0.0, 89.10917841592365]], 'compliance_tensor': [[5.2, -1.6, -1.6, 0.0, 0.0, 0.0], [-1.6, 5.3, -1.7, 0.0, 0.0, 0.0], [-1.6, -1.7, 5.3, -0.0, -0.0, -0.0], [0.0, 0.0, -0.0, 11.2, 0.0, 0.0], [0.0, 0.0, -0.0, 0.0, 12.7, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 12.7]], 'warnings': [], 'nsites': 10}",0,78,165,0.03,0.3,202.8
5,mp-11273,Be3Nb,"{'Be': 3.0, 'Nb': 1.0}",0.115652644,4.710119604,"{'G_Reuss': 125.0, 'G_VRH': 126.0, 'G_Voigt': 126.0, 'G_Voigt_Reuss_Hill': 126.0, 'K_Reuss': 155.0, 'K_VRH': 155.0, 'K_Voigt': 155.0, 'K_Voigt_Reuss_Hill': 155.0, 'elastic_anisotropy': 0.05, 'elastic_tensor': [[309.0, 72.0, 80.0, -4.0, 0.0, 0.0], [72.0, 309.0, 80.0, 4.0, 0.0, 0.0], [80.0, 80.0, 308.0, 0.0, 0.0, 0.0], [-4.0, 4.0, 0.0, 141.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 141.0, -4.0], [0.0, 0.0, 0.0, 0.0, -4.0, 118.0]], 'homogeneous_poisson': 0.18, 'poisson_ratio': 0.18, 'universal_anisotropy': 0.05, 'elastic_tensor_original': [[311.5752387544698, 70.12355481696825, 79.37382880817967, 5.210787091301093, 0.0043630833602365795, -0.0059740293998627484], [69.53758938253178, 310.68165331600926, 80.768406099344, -3.6928030562116456, 0.01892838657855418, -0.0177037748776403], [80.00162719645708, 80.5874662715399, 308.02651430586405, 0.06143652168664428, -0.0048935886850153855, 0.0031863761297709213], [3.840589178681007, -4.368168270791015, 0.4261365256890461, 141.26306396746782, -0.011610446836210557, 0.010356890416389717], [0.009272563880618099, -0.002017196344239985, -0.006106265735187996, 0.0004164955044627392, 141.2951603679812, 3.876900178279979], [0.004606392515673097, -0.0029285638078270807, 0.002533641178161649, -0.000823515050844499, 3.6491203985894622, 116.28044305708677]], 'compliance_tensor': [[3.6, -0.6, -0.8, 0.1, 0.0, -0.0], [-0.6, 3.6, -0.8, -0.1, -0.0, -0.0], [-0.8, -0.8, 3.6, -0.0, 0.0, 0.0], [0.1, -0.1, -0.0, 7.1, -0.0, 0.0], [0.0, -0.0, 0.0, -0.0, 7.1, 0.2], [-0.0, -0.0, 0.0, 0.0, 0.2, 8.4]], 'warnings': [], 'nsites': 12}",0,126,155,0.05,0.18,297.36
6,mp-11393,Nb3Ga2,"{'Nb': 3.0, 'Ga': 2.0}",0.124283722,8.136717747,"{'G_Reuss': 95.0, 'G_VRH': 97.0, 'G_Voigt': 99.0, 'G_Voigt_Reuss_Hill': 97.0, 'K_Reuss': 167.0, 'K_VRH': 167.0, 'K_Voigt': 167.0, 'K_Voigt_Reuss_Hill': 167.0, 'elastic_anisotropy': 0.2, 'elastic_tensor': [[257.0, 113.0, 113.0, 0.0, 0.0, 0.0], [113.0, 279.0, 119.0, 0.0, 0.0, 0.0], [113.0, 119.0, 279.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 95.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 121.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 121.0]], 'homogeneous_poisson': 0.26, 'poisson_ratio': 0.26, 'universal_anisotropy': 0.2, 'elastic_tensor_original': [[279.37896527627225, 119.41127882725976, 113.15424553696533, 0.0, 0.0, 0.0], [119.40990424871627, 279.3792662634316, 113.15364268884856, 0.0, 0.0, 0.0], [112.85215405354138, 112.85215405354138, 256.68581395612983, 0.0, 0.0, 0.0], [1.8343327491329133e-05, -1.5546658973680514e-05, 4.509995940152949e-06, 121.04012310866976, 0.0, 0.0], [-7.896663438970556e-06, 1.6119984733244426e-05, 1.1219986253936579e-05, 0.0, 121.04012737534082, 0.0], [-8.200387118201267e-07, -2.56833339427036e-05, -4.493340516626383e-06, 0.0, 0.0, 94.70184755672086]], 'compliance_tensor': [[5.2, -1.5, -1.5, -0.0, -0.0, -0.0], [-1.5, 4.8, -1.5, 0.0, 0.0, 0.0], [-1.5, -1.5, 4.8, 0.0, 0.0, 0.0], [-0.0, 0.0, 0.0, 10.6, 0.0, 0.0], [-0.0, 0.0, 0.0, 0.0, 8.3, 0.0], [-0.0, 0.0, 0.0, 0.0, 0.0, 8.3]], 'warnings': [], 'nsites': 10}",0,97,167,0.2,0.26,244.44
7,mp-11514,NbPt2,"{'Nb': 1.0, 'Pt': 2.0}",0.137379764,16.49762617,"{'G_Reuss': 101.0, 'G_VRH': 108.0, 'G_Voigt': 115.0, 'G_Voigt_Reuss_Hill': 108.0, 'K_Reuss': 244.0, 'K_VRH': 244.0, 'K_Voigt': 245.0, 'K_Voigt_Reuss_Hill': 244.0, 'elastic_anisotropy': 0.69, 'elastic_tensor': [[357.0, 204.0, 208.0, 0.0, 0.0, 0.0], [204.0, 410.0, 114.0, 0.0, 0.0, 0.0], [208.0, 114.0, 387.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 73.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 142.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 151.0]], 'homogeneous_poisson': 0.31, 'poisson_ratio': 0.31, 'universal_anisotropy': 0.69, 'elastic_tensor_original': [[386.84797179757857, 206.17705460844675, 114.24993314294348, 0.0, 0.0, 0.0], [209.05734480095234, 357.2619518207872, 205.1489760268834, 0.0, 0.0, 0.0], [114.31063215561451, 203.39590067587363, 409.58846796409387, 0.0, 0.0, 0.0], [0.01073094246309332, 0.009330007165099033, 0.007362425619551457, 151.26247343253763, 0.0, 0.0], [0.013406442117545223, 0.01236674900831685, 0.018202853684693574, 0.0, 72.9032654593206, 0.0], [0.00012096624805038071, -4.146361784917479e-05, -4.59199476802631e-05, 0.0, 0.0, 141.9443642525461]], 'compliance_tensor': [[5.2, -2.0, -2.2, 0.0, 0.0, 0.0], [-2.0, 3.4, 0.1, 0.0, -0.0, 0.0], [-2.2, 0.1, 3.8, 0.0, -0.0, 0.0], [0.0, 0.0, 0.0, 13.7, 0.0, 0.0], [0.0, -0.0, -0.0, 0.0, 7.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 6.6]], 'warnings': [], 'nsites': 3}",0,108,244,0.69,0.31,282.96
8,mp-11517,NbRu3,"{'Nb': 1.0, 'Ru': 3.0}",0.099405979,11.00997227,"{'G_Reuss': 122.0, 'G_VRH': 128.0, 'G_Voigt': 135.0, 'G_Voigt_Reuss_Hill': 128.0, 'K_Reuss': 271.0, 'K_VRH': 271.0, 'K_Voigt': 271.0, 'K_Voigt_Reuss_Hill': 271.0, 'elastic_anisotropy': 0.56, 'elastic_tensor': [[385.0, 213.0, 213.0, 0.0, 0.0, 0.0], [213.0, 385.0, 213.0, 0.0, 0.0, 0.0], [213.0, 213.0, 385.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 168.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 168.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 168.0]], 'homogeneous_poisson': 0.3, 'poisson_ratio': 0.3, 'universal_anisotropy': 0.56, 'elastic_tensor_original': [[385.3997447536558, 213.13951012668056, 213.13951012668056, 0.0, 0.0, 0.0], [213.15830476209774, 385.4176333882679, 213.15830476209774, 0.0, 0.0, 0.0], [213.1411241080994, 213.1411241080994, 385.40092053193973, 0.0, 0.0, 0.0], [0.00041551067021857466, 0.0007295906855957361, 0.00028643429997558177, 167.98257742544405, 0.0, 0.0], [-9.303265681328436e-05, -0.00022100655606862468, 3.5683684777591616e-05, 0.0, 167.98268439255486, 0.0], [-0.0017801022111860112, -0.0021990627038917577, -0.002109405651069196, 0.0, 0.0, 167.9825340656484]], 'compliance_tensor': [[4.3, -1.5, -1.5, -0.0, 0.0, 0.0], [-1.5, 4.3, -1.5, 0.0, -0.0, 0.0], [-1.5, -1.5, 4.3, 0.0, 0.0, -0.0], [-0.0, 0.0, 0.0, 6.0, -0.0, -0.0], [0.0, -0.0, 0.0, -0.0, 6.0, -0.0], [0.0, 0.0, -0.0, -0.0, -0.0, 6.0]], 'warnings': [], 'nsites': 4}",0,128,271,0.56,0.3,332.8
9,mp-11675,NbTe2,"{'Nb': 1.0, 'Te': 2.0}",0.250781163,7.094395967,"{'G_Reuss': 15.0, 'G_VRH': 19.0, 'G_Voigt': 24.0, 'G_Voigt_Reuss_Hill': 19.0, 'K_Reuss': 21.0, 'K_VRH': 28.0, 'K_Voigt': 35.0, 'K_Voigt_Reuss_Hill': 28.0, 'elastic_anisotropy': 3.63, 'elastic_tensor': [[45.0, 24.0, 26.0, 0.0, 18.0, 0.0], [24.0, 93.0, 15.0, 0.0, 6.0, 0.0], [26.0, 15.0, 47.0, 0.0, 22.0, 0.0], [0.0, 0.0, 0.0, 18.0, 0.0, 13.0], [18.0, 6.0, 22.0, 0.0, 29.0, 0.0], [0.0, 0.0, 0.0, 13.0, 0.0, 33.0]], 'homogeneous_poisson': 0.22, 'poisson_ratio': 0.22, 'universal_anisotropy': 3.63, 'elastic_tensor_original': [[93.4897759344299, 19.69636603786863, 18.76447049142804, -8.10826573381208, 0.0, 0.0], [18.52569976078414, 28.337338572284796, 14.556021327391877, -5.63311279447755, 0.0, 0.0], [21.060535578671296, 15.865121913769672, 85.68542638067368, -24.556372402512867, 0.0, 0.0], [-6.543417394926555, -4.205978163486246, -23.103561270054513, 17.587912466332444, 0.0, 0.0], [-0.013328840158974925, -0.0012989335887640858, 0.01736016129692724, 0.008201319325715908, 29.269423973057677, -14.24446883998385], [0.005177627783085252, 0.006812499012359137, -0.01551602330220317, -0.0104139490633064, -14.683016347261376, 21.46408910899187]], 'compliance_tensor': [[39.2, -7.3, -13.4, 0.0, -12.9, 0.0], [-7.3, 12.6, -1.5, 0.0, 3.3, 0.0], [-13.4, -1.5, 40.0, 0.0, -22.6, 0.0], [0.0, 0.0, 0.0, 77.6, 0.0, -31.4], [-12.9, 3.3, -22.6, 0.0, 60.2, 0.0], [0.0, 0.0, 0.0, -31.4, 0.0, 43.5]], 'warnings': [], 'nsites': 9}",0,19,28,3.63,0.22,46.36
