,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
0,mp-10014,TaS2,"{'Ta': 1.0, 'S': 2.0}",0.121404365,6.161496079,"{'G_Reuss': 12.0, 'G_VRH': 23.0, 'G_Voigt': 33.0, 'G_Voigt_Reuss_Hill': 23.0, 'K_Reuss': -8.0, 'K_VRH': 18.0, 'K_Voigt': 44.0, 'K_Voigt_Reuss_Hill': 18.0, 'elastic_anisotropy': 1.87, 'elastic_tensor': [[169.0, 55.0, -11.0, -0.0, 0.0, 0.0], [55.0, 169.0, -11.0, 0.0, 0.0, 0.0], [-11.0, -11.0, -8.0, 0.0, 0.0, 0.0], [-0.0, 0.0, 0.0, 4.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 4.0, -0.0], [0.0, 0.0, 0.0, 0.0, -0.0, 57.0]], 'homogeneous_poisson': 0.06, 'poisson_ratio': 0.06, 'universal_anisotropy': 1.87, 'elastic_tensor_original': [[166.65525948056302, 56.30802713365864, -17.361008831324185, 0.3939617423373758, 0.0, 0.0], [54.733012000524134, 169.35914933472787, -18.92537247587594, -0.07086967013641757, 0.0, 0.0], [-4.3216208056599745, -4.321620405659178, -7.758554049638237, 0.0, 0.0, 0.0], [-1.3070549409517338, -1.947163424659975, -11.445199468421658, 2.945228721619464, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 4.950859909127182, -1.2158885443060512], [0.0, 0.0, 0.0, 0.0, -0.11862071545449923, 57.98079887100264]], 'compliance_tensor': [[6.3, -2.4, -5.7, 0.4, -0.0, -0.0], [-2.4, 6.3, -5.7, -0.4, 0.0, 0.0], [-5.7, -5.7, -112.5, -0.0, 0.0, 0.0], [0.4, -0.4, -0.0, 253.3, 0.0, -0.0], [-0.0, 0.0, 0.0, 0.0, 253.3, 0.9], [-0.0, 0.0, 0.0, -0.0, 0.9, 17.5]], 'warnings': ['Elastic tensor has a negative eigenvalue', 'One or more K, G below 2 GPa'], 'nsites': 3}",0.330106667,23,18,1.87,0.06,48.76
1,mp-10142,Ta3B4,"{'Ta': 3.0, 'B': 4.0}",0.110338466,13.28435227,"{'G_Reuss': 205.0, 'G_VRH': 208.0, 'G_Voigt': 211.0, 'G_Voigt_Reuss_Hill': 208.0, 'K_Reuss': 296.0, 'K_VRH': 296.0, 'K_Voigt': 296.0, 'K_Voigt_Reuss_Hill': 296.0, 'elastic_anisotropy': 0.15, 'elastic_tensor': [[491.0, 189.0, 182.0, 0.0, 0.0, 0.0], [189.0, 566.0, 153.0, 0.0, 0.0, 0.0], [182.0, 153.0, 561.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 193.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 253.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 244.0]], 'homogeneous_poisson': 0.22, 'poisson_ratio': 0.22, 'universal_anisotropy': 0.15, 'elastic_tensor_original': [[490.58029947934625, 193.43665462493823, 184.1945643227681, 0.0, 0.0, 0.0], [184.5592843214091, 565.6013198329017, 151.64745071346317, 0.0, 0.0, 0.0], [179.5070383884436, 154.5391961630431, 560.5969197199696, 2.1999693216005402e-05, 0.0, 0.0], [0.0, 0.0, 2.7401475429486118e-05, 192.90388106253778, 0.0, 0.0], [0.0, 0.0, 0.0, -2.698115018145089e-08, 253.0452389861817, 0.0], [0.0, 0.0, 0.0, -1.1141451686688129e-07, 1.732120233387043e-05, 243.8793653184741]], 'compliance_tensor': [[2.5, -0.7, -0.6, 0.0, -0.0, 0.0], [-0.7, 2.1, -0.4, -0.0, -0.0, 0.0], [-0.6, -0.4, 2.1, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 5.2, 0.0, -0.0], [-0.0, -0.0, -0.0, 0.0, 4.0, -0.0], [0.0, 0.0, -0.0, -0.0, -0.0, 4.1]], 'warnings': [], 'nsites': 7}",0,208,296,0.15,0.22,507.52
2,mp-1020,TaRh3,"{'Ta': 1.0, 'Rh': 3.0}",0.126100865,13.66078579,"{'G_Reuss': 148.0, 'G_VRH': 153.0, 'G_Voigt': 157.0, 'G_Voigt_Reuss_Hill': 153.0, 'K_Reuss': 260.0, 'K_VRH': 260.0, 'K_Voigt': 260.0, 'K_Voigt_Reuss_Hill': 260.0, 'elastic_anisotropy': 0.3, 'elastic_tensor': [[412.0, 184.0, 184.0, 0.0, 0.0, 0.0], [184.0, 412.0, 184.0, 0.0, 0.0, 0.0], [184.0, 184.0, 412.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 186.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 186.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 186.0]], 'homogeneous_poisson': 0.25, 'poisson_ratio': 0.25, 'universal_anisotropy': 0.3, 'elastic_tensor_original': [[411.9563224083787, 184.44537967152036, 184.44537967152036, 0.0, 0.0, 0.0], [184.45270568383052, 411.96289999765924, 184.45270568383052, 0.0, 0.0, 0.0], [184.45594144626932, 184.45594144626932, 411.96779660429, 0.0, 0.0, 0.0], [0.00028918707301243377, 0.0005668407964815183, 0.0010335781189774944, 185.86922594714216, 0.0, 0.0], [-0.00048696068424370254, -0.0006243608773078745, -0.00046841065817916606, 0.0, 185.86915980038262, 0.0], [-3.2413378880230706e-05, -0.00014187353268682072, 3.5063382602105874e-05, 0.0, 0.0, 185.86891884671064]], 'compliance_tensor': [[3.4, -1.0, -1.0, -0.0, -0.0, 0.0], [-1.0, 3.4, -1.0, 0.0, -0.0, -0.0], [-1.0, -1.0, 3.4, -0.0, 0.0, -0.0], [-0.0, 0.0, -0.0, 5.4, -0.0, -0.0], [-0.0, -0.0, 0.0, -0.0, 5.4, -0.0], [0.0, -0.0, -0.0, -0.0, -0.0, 5.4]], 'warnings': [], 'nsites': 4}",0,153,260,0.3,0.25,382.5
3,mp-1086,TaC,"{'Ta': 1.0, 'C': 1.0}",0.107625506,14.23428075,"{'G_Reuss': 208.0, 'G_VRH': 215.0, 'G_Voigt': 221.0, 'G_Voigt_Reuss_Hill': 215.0, 'K_Reuss': 324.0, 'K_VRH': 324.0, 'K_Voigt': 324.0, 'K_Voigt_Reuss_Hill': 324.0, 'elastic_anisotropy': 0.3, 'elastic_tensor': [[708.0, 132.0, 132.0, 0.0, 0.0, 0.0], [132.0, 708.0, 132.0, 0.0, 0.0, 0.0], [132.0, 132.0, 708.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 176.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 176.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 176.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 0.3, 'elastic_tensor_original': [[708.1885762704916, 131.79724356612698, 131.79724356612698, 0.0, 0.0, 0.0], [131.79605904000513, 708.187801110999, 131.79605904000513, 0.0, 0.0, 0.0], [131.7978284041852, 131.7978284041852, 708.1874454459663, 0.0, 0.0, 0.0], [7.959856352077724e-06, -0.00011001343711292911, 0.00013174667377708813, 175.88181363552565, 0.0, 0.0], [8.935979249891794e-05, 7.936956182243389e-05, 0.00017378252222670685, 0.0, 175.88189644160016, 0.0], [-0.00042969389725942635, -0.00014422682192471176, -4.699329227963438e-05, 0.0, 0.0, 175.8819563054426]], 'compliance_tensor': [[1.5, -0.2, -0.2, 0.0, -0.0, -0.0], [-0.2, 1.5, -0.2, 0.0, 0.0, 0.0], [-0.2, -0.2, 1.5, -0.0, -0.0, 0.0], [0.0, 0.0, -0.0, 5.7, 0.0, -0.0], [-0.0, 0.0, -0.0, 0.0, 5.7, -0.0], [-0.0, 0.0, 0.0, -0.0, -0.0, 5.7]], 'warnings': [], 'nsites': 2}",0,215,324,0.3,0.23,528.9
4,mp-1097,TaB,"{'Ta': 1.0, 'B': 1.0}",0.114081159,13.98092197,"{'G_Reuss': 210.0, 'G_VRH': 213.0, 'G_Voigt': 215.0, 'G_Voigt_Reuss_Hill': 213.0, 'K_Reuss': 266.0, 'K_VRH': 266.0, 'K_Voigt': 267.0, 'K_Voigt_Reuss_Hill': 266.0, 'elastic_anisotropy': 0.13, 'elastic_tensor': [[490.0, 136.0, 172.0, 0.0, 0.0, 0.0], [136.0, 511.0, 126.0, 0.0, 0.0, 0.0], [172.0, 126.0, 532.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 206.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 265.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 238.0]], 'homogeneous_poisson': 0.18, 'poisson_ratio': 0.18, 'universal_anisotropy': 0.13, 'elastic_tensor_original': [[490.40931534726434, 129.3511007674612, 176.40936001598465, 0.0, 0.0, 0.0], [141.86972297417176, 511.4526472476596, 138.83802730384784, 0.0, 0.0, 0.0], [167.96478708600742, 112.23684781452431, 531.536944863512, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 206.25851487934446, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 264.6145835970822, 0.0], [-5.465245812337632e-07, 0.0, 0.0, 0.0, 0.0, 238.33596996492122]], 'compliance_tensor': [[2.4, -0.5, -0.7, 0.0, 0.0, 0.0], [-0.5, 2.2, -0.4, 0.0, 0.0, 0.0], [-0.7, -0.4, 2.2, 0.0, 0.0, -0.0], [0.0, 0.0, 0.0, 4.8, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 3.8, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 4.2]], 'warnings': [], 'nsites': 4}",0,213,266,0.13,0.18,502.68
5,mp-1108,TaB2,"{'Ta': 1.0, 'B': 2.0}",0.103999466,12.11755194,"{'G_Reuss': 197.0, 'G_VRH': 200.0, 'G_Voigt': 202.0, 'G_Voigt_Reuss_Hill': 200.0, 'K_Reuss': 301.0, 'K_VRH': 302.0, 'K_Voigt': 303.0, 'K_Voigt_Reuss_Hill': 302.0, 'elastic_anisotropy': 0.14, 'elastic_tensor': [[593.0, 148.0, 196.0, 0.0, 0.0, 0.0], [148.0, 593.0, 196.0, 0.0, 0.0, 0.0], [196.0, 196.0, 461.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 209.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 209.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 223.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 0.14, 'elastic_tensor_original': [[592.5971364228362, 149.21704316139932, 196.2076756573894, 0.0, 0.0, 0.0], [148.49922461921653, 591.4179453617575, 196.7040528357211, 0.0, 0.0, 0.0], [196.2723421369083, 196.27227602024905, 461.30983670610703, 0.0, 0.0, 0.0], [-8.182340427393267e-05, -1.0913184579261425e-05, -2.1816708180054125e-05, 210.0632497617347, 0.0, 0.0], [-5.074003462291365e-05, -4.756669912678532e-05, 1.0940007468313213e-05, 0.0, 208.76749115007496, 0.0], [-0.00015249343692704114, -1.7873345478748958e-05, -3.249002207062763e-05, 0.0, 0.0, 224.21288940572973]], 'compliance_tensor': [[2.0, -0.3, -0.7, 0.0, -0.0, 0.0], [-0.3, 2.0, -0.7, 0.0, -0.0, 0.0], [-0.7, -0.7, 2.8, 0.0, 0.0, -0.0], [0.0, 0.0, -0.0, 4.8, 0.0, 0.0], [0.0, -0.0, 0.0, 0.0, 4.8, -0.0], [0.0, 0.0, -0.0, 0.0, -0.0, 4.5]], 'warnings': [], 'nsites': 3}",0,200,302,0.14,0.23,492
6,mp-11192,TaSi2,"{'Ta': 1.0, 'Si': 2.0}",0.082399032,8.940924313,"{'G_Reuss': 141.0, 'G_VRH': 142.0, 'G_Voigt': 143.0, 'G_Voigt_Reuss_Hill': 142.0, 'K_Reuss': 183.0, 'K_VRH': 184.0, 'K_Voigt': 186.0, 'K_Voigt_Reuss_Hill': 184.0, 'elastic_anisotropy': 0.06, 'elastic_tensor': [[356.0, 79.0, 86.0, 0.0, 0.0, 0.0], [79.0, 356.0, 86.0, 0.0, 0.0, 0.0], [86.0, 86.0, 455.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 135.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 135.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 139.0]], 'homogeneous_poisson': 0.19, 'poisson_ratio': 0.19, 'universal_anisotropy': 0.06, 'elastic_tensor_original': [[353.2262627702365, 76.85983339178813, 84.08516280843165, 0.0, 0.0, 1.216401135707596e-05], [79.98038478882282, 360.7125179800396, 86.13816895916251, 0.0, 0.0, 0.0], [87.26417042724209, 87.26414294856697, 454.6508721055168, 0.0, 0.0, 0.0], [0.00010206674898071078, 1.3703472930083876e-05, 7.69900348842634e-05, 134.6870656152913, 0.0, 0.0], [2.7620014696089682e-05, 9.628671789370112e-05, 6.436670091200971e-05, 0.0, 134.3807433674126, 0.0], [-0.005015791565855833, -0.1042336365296987, -0.15579882771678438, 0.0, 0.0, 137.83966087150682]], 'compliance_tensor': [[3.0458894437233126, -0.5627285054009447, -0.47073157325586085, -1.3375222123033456e-23, -1.437441097128925e-23, -7.389304140488511e-07], [-0.5627285054009445, 3.04589200393397, -0.47073177109162617, 5.5581673436750074e-24, -1.4374425674830845e-23, -7.389307247315185e-07], [-0.4707315732558608, -0.4707317710916262, 2.377962576658206, 1.4818732589757034e-24, 2.3914044719009584e-23, 1.1419911411344566e-07], [-5.904950162924439e-25, 3.196188700861174e-24, -4.9396193815369025e-25, 7.433072084527958, -9.016283795960061e-07, -1.9281532925338922e-24], [7.7229053631312915e-25, -2.952113919285826e-23, 2.3914045789067337e-23, -9.016283795960058e-07, 7.433068960609851, -2.1810833147979603e-24], [-7.389304141945903e-07, -7.389307250314711e-07, 1.1419911419793511e-07, -1.9281501909685762e-24, -2.1810833147996383e-24, 7.21723845845881]], 'warnings': [], 'nsites': 9}",0,142,184,0.06,0.19,337.96
7,mp-11278,Ta2Be,"{'Ta': 2.0, 'Be': 1.0}",0.122424037,13.76091735,"{'G_Reuss': 115.0, 'G_VRH': 117.0, 'G_Voigt': 118.0, 'G_Voigt_Reuss_Hill': 117.0, 'K_Reuss': 187.0, 'K_VRH': 187.0, 'K_Voigt': 187.0, 'K_Voigt_Reuss_Hill': 187.0, 'elastic_anisotropy': 0.12, 'elastic_tensor': [[322.0, 124.0, 124.0, 0.0, 0.0, 0.0], [124.0, 314.0, 118.0, 0.0, 0.0, 0.0], [124.0, 118.0, 314.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 128.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 134.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 134.0]], 'homogeneous_poisson': 0.24, 'poisson_ratio': 0.24, 'universal_anisotropy': 0.12, 'elastic_tensor_original': [[313.83124517552307, 117.8003727597583, 122.54898946436913, 0.0, 0.0, 0.0], [117.79901163585271, 313.8331211788842, 122.54774228003234, 0.0, 0.0, 0.0], [125.8996195978265, 125.8996195978265, 321.53667569370464, 0.0, 0.0, 0.0], [-0.00019192655016724567, -0.00014843958606999407, 8.110685926773298e-05, 134.0798099469416, 0.0, 0.0], [-0.0003683333021320726, -0.0006293298755149759, -0.00013448973092825068, 0.0, 134.079557163223, 0.0], [-0.0004296969326016595, -0.00035693706887941345, -1.130995457410262e-05, 0.0, 0.0, 127.60299357963139]], 'compliance_tensor': [[4.0, -1.2, -1.2, -0.0, 0.0, -0.0], [-1.2, 4.0, -1.1, 0.0, -0.0, 0.0], [-1.2, -1.1, 4.0, -0.0, 0.0, 0.0], [-0.0, 0.0, -0.0, 7.8, 0.0, 0.0], [0.0, -0.0, 0.0, 0.0, 7.5, -0.0], [-0.0, 0.0, 0.0, 0.0, -0.0, 7.5]], 'warnings': [], 'nsites': 6}",0,117,187,0.12,0.24,290.16
8,mp-11416,TaGa3,"{'Ta': 1.0, 'Ga': 3.0}",0.121603153,10.06594092,"{'G_Reuss': 78.0, 'G_VRH': 80.0, 'G_Voigt': 82.0, 'G_Voigt_Reuss_Hill': 80.0, 'K_Reuss': 106.0, 'K_VRH': 106.0, 'K_Voigt': 106.0, 'K_Voigt_Reuss_Hill': 106.0, 'elastic_anisotropy': 0.22, 'elastic_tensor': [[196.0, 65.0, 46.0, 0.0, 0.0, 0.0], [65.0, 196.0, 46.0, 0.0, 0.0, 0.0], [46.0, 46.0, 251.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 69.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 69.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 108.0]], 'homogeneous_poisson': 0.2, 'poisson_ratio': 0.2, 'universal_anisotropy': 0.22, 'elastic_tensor_original': [[195.67701555853648, 65.19424797168966, 54.36632880733543, -6.2000160122588185e-06, 6.2000160122588185e-06, 0.0], [65.19424797169138, 195.6770155585416, 54.36632880733686, -6.091183565309292e-06, 6.200016012753769e-06, 0.0], [36.8188700634407, 36.8188700634407, 251.3568978385633, -2.8599819683121015e-05, 2.8599819683121015e-05, 0.0], [0.0, -1.55723644507417e-05, 0.0, 68.87959318946359, -4.58856117014264e-08, 7.786187836111787e-06], [1.557236444906652e-05, 0.0, 0.0, 4.5885611741237874e-08, 68.87959318946359, -7.786187193030197e-06], [1.078896680508856, -1.0788966804954152, 0.0, 7.256567518499278e-07, 0.0, 107.88475511796283]], 'compliance_tensor': [[5.9, -1.8, -0.7, 0.0, -0.0, 0.0], [-1.8, 5.9, -0.7, -0.0, 0.0, 0.0], [-0.7, -0.7, 4.2, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 14.5, 0.0, -0.0], [-0.0, 0.0, -0.0, 0.0, 14.5, -0.0], [0.0, 0.0, 0.0, -0.0, -0.0, 9.3]], 'warnings': [], 'nsites': 4}",0,80,106,0.22,0.2,192
9,mp-11572,TaTc,"{'Ta': 1.0, 'Tc': 1.0}",0.123694988,14.25820422,"{'G_Reuss': 126.0, 'G_VRH': 130.0, 'G_Voigt': 134.0, 'G_Voigt_Reuss_Hill': 130.0, 'K_Reuss': 255.0, 'K_VRH': 255.0, 'K_Voigt': 255.0, 'K_Voigt_Reuss_Hill': 255.0, 'elastic_anisotropy': 0.31, 'elastic_tensor': [[490.0, 137.0, 137.0, 0.0, 0.0, 0.0], [137.0, 490.0, 137.0, 0.0, 0.0, 0.0], [137.0, 137.0, 490.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 106.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 106.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 106.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.31, 'elastic_tensor_original': [[489.8366504098043, 137.0298527192954, 137.0298527192954, 0.0, 0.0, 0.0], [137.030495247874, 489.836651593207, 137.030495247874, 0.0, 0.0, 0.0], [137.0308642946793, 137.0308642946793, 489.83762253388386, 0.0, 0.0, 0.0], [-8.230337184443239e-05, 9.45133775594597e-05, -3.588335012392641e-05, 106.37555345286223, 0.0, 0.0], [-1.0056671371703159e-05, -4.768335564160554e-05, -8.457670624163508e-05, 0.0, 106.37538621611733, 0.0], [-7.459670157134608e-05, 8.39133725998756e-05, -0.00014908673642605294, 0.0, 0.0, 106.37559069954636]], 'compliance_tensor': [[2.3, -0.5, -0.5, 0.0, -0.0, -0.0], [-0.5, 2.3, -0.5, 0.0, 0.0, -0.0], [-0.5, -0.5, 2.3, -0.0, 0.0, 0.0], [0.0, 0.0, -0.0, 9.4, -0.0, -0.0], [-0.0, 0.0, 0.0, -0.0, 9.4, 0.0], [-0.0, -0.0, 0.0, -0.0, 0.0, 9.4]], 'warnings': [], 'nsites': 2}",0,130,255,0.31,0.28,332.8
