,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
0,mp-1013525,VS2,"{'V': 1.0, 'S': 2.0}",0.121494994,3.023685295,"{'G_Reuss': 1.0, 'G_VRH': 14.0, 'G_Voigt': 27.0, 'G_Voigt_Reuss_Hill': 14.0, 'K_Reuss': 0.0, 'K_VRH': 22.0, 'K_Voigt': 43.0, 'K_Voigt_Reuss_Hill': 22.0, 'elastic_anisotropy': 309.33, 'elastic_tensor': [[146.0, 45.0, 2.0, 0.0, 0.0, 0.0], [45.0, 146.0, 2.0, 0.0, 0.0, 0.0], [2.0, 2.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 51.0]], 'homogeneous_poisson': 0.24, 'poisson_ratio': 0.24, 'universal_anisotropy': 309.33, 'elastic_tensor_original': [[146.0369688306487, 45.934086555441674, 5.3089728089781705, 0.0, 0.0, 0.0], [45.535608277929256, 146.23752738745299, 3.706170256466319, 0.0, 0.0, 0.0], [-1.2552831047399369, -1.2552829249916024, 0.4193198324996374, 0.0, 0.0, 0.0], [-9.849970117216495e-06, -7.146644985871353e-06, -2.3413262301763793e-05, 0.7740555116582714, 0.0, 0.0], [1.1166705753928363e-05, 8.946706515172821e-06, 9.346732077707447e-06, 0.0, 0.1549145325367272, 0.0], [-5.529987267178471e-06, -3.066659239790023e-06, 4.636657500108258e-06, 0.0, 0.0, 50.861376474684256]], 'compliance_tensor': [[7.7, -2.2, -21.6, 0.0, 0.0, -0.0], [-2.2, 7.7, -21.6, 0.0, -0.0, -0.0], [-21.6, -21.6, 2552.6, -0.0, -0.0, 0.0], [0.0, 0.0, -0.0, 2152.9, -0.0, 0.0], [0.0, -0.0, -0.0, -0.0, 2152.9, -0.0], [-0.0, -0.0, 0.0, -0.0, -0.0, 19.8]], 'warnings': ['One or more K, G below 2 GPa'], 'nsites': 6}",0,14,22,309.33,0.24,34.72
1,mp-1017531,VPt,"{'V': 1.0, 'Pt': 1.0}",0.144718674,14.2331409,"{'G_Reuss': 90.0, 'G_VRH': 99.0, 'G_Voigt': 108.0, 'G_Voigt_Reuss_Hill': 99.0, 'K_Reuss': 236.0, 'K_VRH': 238.0, 'K_Voigt': 239.0, 'K_Voigt_Reuss_Hill': 238.0, 'elastic_anisotropy': 1.0, 'elastic_tensor': [[445.0, 189.0, 124.0, 0.0, 0.0, 0.0], [189.0, 353.0, 124.0, 0.0, 0.0, 0.0], [124.0, 124.0, 478.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 98.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 116.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 48.0]], 'homogeneous_poisson': 0.32, 'poisson_ratio': 0.32, 'universal_anisotropy': 1.0, 'elastic_tensor_original': [[445.38807375886194, 196.9914206695023, 113.84617304127961, 0.0, 0.0, 0.0], [180.59708974636678, 352.55990204432794, 108.68133169507745, 0.0, 0.0, 0.0], [133.2569053226565, 140.06078501017865, 477.9663498163884, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 98.45962816335151, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 116.27676176346013, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 47.59020125790249]], 'compliance_tensor': [[3.0, -1.5, -0.4, 0.0, 0.0, 0.0], [-1.5, 3.8, -0.6, 0.0, 0.0, 0.0], [-0.4, -0.6, 2.4, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 10.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 8.6, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 21.0]], 'warnings': [], 'nsites': 4}",0.26666,99,238,1,0.32,261.36
2,mp-10711,VSi2,"{'V': 1.0, 'Si': 2.0}",0.085788171,4.640836074,"{'G_Reuss': 146.0, 'G_VRH': 147.0, 'G_Voigt': 148.0, 'G_Voigt_Reuss_Hill': 147.0, 'K_Reuss': 174.0, 'K_VRH': 174.0, 'K_Voigt': 175.0, 'K_Voigt_Reuss_Hill': 174.0, 'elastic_anisotropy': 0.05, 'elastic_tensor': [[365.0, 58.0, 76.0, 0.0, 0.0, 0.0], [58.0, 365.0, 76.0, 0.0, 0.0, 0.0], [76.0, 76.0, 428.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 134.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 134.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 154.0]], 'homogeneous_poisson': 0.17, 'poisson_ratio': 0.17, 'universal_anisotropy': 0.05, 'elastic_tensor_original': [[365.4906314576791, 57.60790204069829, 73.3666595451338, 0.0, 0.0, 7.402908323623755e-06], [56.184879010749576, 366.51129358467756, 72.53718022291554, 0.0, 0.0, 4.635499644549644e-05], [78.64777024676589, 78.64775436486221, 428.1848516366081, 0.0, 0.0, 9.941127105232813e-06], [0.002206001803579124, 0.0010121872684440713, 0.0003351393472090837, 134.146390007085, 1.6960014512711474e-05, 0.0], [-7.334375375368701e-05, 7.834961315119222e-05, 0.00015288628218407344, 1.4666676915974052e-07, 133.5851449081738, 0.0], [-0.04258613410525077, -0.06776335488735058, -0.1502070195573589, 0.0, 0.0, 152.54044411853667]], 'compliance_tensor': [[2.8906067930459294, -0.36573858198563947, -0.44696726113109936, 4.1487695753522883e-22, 6.09907599865475e-23, -7.234695497075274e-07], [-0.3657385819856396, 2.8906068487267778, -0.44696726543599424, -2.4446575690550364e-22, 1.9781923786585175e-23, -7.234695569276048e-07], [-0.44696726113109947, -0.4469672654359943, 2.4936895618548007, -3.016721610070559e-23, 2.5107667159855047e-23, 1.118682776480254e-07], [3.6550730372681824e-22, 1.4572643486567466e-22, -9.050165315057964e-23, 7.470169736427201, -9.348279915105435e-07, -1.4933962126866772e-22], [8.567560349395082e-23, -1.7531419463457834e-22, 5.527488916941125e-23, -9.348279915105434e-07, 7.470169664479439, 2.0177613299746716e-23], [-7.234695496714015e-07, -7.234695568663643e-07, 1.1186827763078901e-07, 7.044138354868272e-23, 2.01775369668133e-23, 6.512690805744168]], 'warnings': [], 'nsites': 9}",0,147,174,0.05,0.17,343.98
3,mp-1114,VP,"{'V': 1.0, 'P': 1.0}",0.099446338,5.074561577,"{'G_Reuss': 95.0, 'G_VRH': 112.0, 'G_Voigt': 128.0, 'G_Voigt_Reuss_Hill': 112.0, 'K_Reuss': 163.0, 'K_VRH': 171.0, 'K_Voigt': 179.0, 'K_Voigt_Reuss_Hill': 171.0, 'elastic_anisotropy': 1.83, 'elastic_tensor': [[236.0, 90.0, 152.0, 0.0, 0.0, 0.0], [90.0, 236.0, 152.0, 0.0, 0.0, 0.0], [152.0, 152.0, 352.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 213.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 213.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 73.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 1.83, 'elastic_tensor_original': [[239.17391881527385, 87.02709938148362, 151.95145161734044, 0.0, 0.0, 0.0], [88.08524895169118, 239.09648763910562, 150.83437162236322, 0.0, 0.0, 0.0], [152.56853153578956, 152.5686528650552, 352.3749734659692, 0.0, 0.0, 0.0], [1.1168456166705008, 2.26200162743123, 0.98069056175281, 212.57016039504165, 0.0, 0.0], [2.9331483352652477, 1.4129341302496143, 1.2124347344982755, 0.0, 212.65294111409042, 0.0], [-5.346631557033709e-05, -3.871299349422678e-05, -3.4446407275439e-05, 0.0, 0.0, 70.04664123240417]], 'compliance_tensor': [[6.0, -0.9, -2.2, 0.0, 0.0, 0.0], [-0.9, 6.0, -2.2, -0.0, 0.0, 0.0], [-2.2, -2.2, 4.7, -0.0, -0.0, -0.0], [0.0, -0.0, -0.0, 4.7, 0.0, -0.0], [0.0, 0.0, -0.0, 0.0, 4.7, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 13.7]], 'warnings': [], 'nsites': 4}",0,112,171,1.83,0.23,275.52
4,mp-11190,VSi2,"{'V': 1.0, 'Si': 2.0}",0.085773491,4.640041908,"{'G_Reuss': 146.0, 'G_VRH': 147.0, 'G_Voigt': 147.0, 'G_Voigt_Reuss_Hill': 147.0, 'K_Reuss': 174.0, 'K_VRH': 175.0, 'K_Voigt': 175.0, 'K_Voigt_Reuss_Hill': 175.0, 'elastic_anisotropy': 0.05, 'elastic_tensor': [[365.0, 58.0, 76.0, 0.0, 0.0, 0.0], [58.0, 365.0, 76.0, 0.0, 0.0, 0.0], [76.0, 76.0, 428.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 134.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 134.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 153.0]], 'homogeneous_poisson': 0.17, 'poisson_ratio': 0.17, 'universal_anisotropy': 0.05, 'elastic_tensor_original': [[365.51269871090636, 57.91284437082518, 73.64884872639517, 0.0, 0.0, 0.0], [56.16624936372389, 366.46545856544645, 72.50017940405414, 0.0, 0.0, 0.0], [78.65692666138177, 78.65691698005459, 428.3359402481003, 0.0, 0.0, 0.0], [7.501709044439122e-05, 2.2280123128655038e-05, 4.692367634955888e-05, 134.17701897081207, 0.0, 0.0], [4.098324876813132e-05, 9.114659854475124e-05, -2.8334853117816617e-06, -1.7333325680093446e-07, 133.6006537579352, 0.0], [-0.011633873257867673, -0.056337768270016596, -0.14553467491489916, 0.0, 0.0, 152.50901294771822]], 'compliance_tensor': [[2.8908847314300705, -0.36661626534268377, -0.4470917012195642, -1.0090071853109487e-23, -2.724771131828518e-24, 7.23516489452884e-07], [-0.3666162653426839, 2.8908849558172247, -0.4470917185709364, -6.655367314306388e-24, 1.1014043636426904e-23, 7.235165176241945e-07], [-0.4470917012195643, -0.4470917185709364, 2.49299152082235, -1.9573222901785208e-24, 4.6858635913123154e-24, -1.1189592397042231e-07], [2.803389201717175e-23, -2.3486658555177475e-23, -5.728623796209285e-24, 7.468882742706658, 9.346376827077021e-07, 4.7464045440373115e-25], [-1.4917341600414526e-23, 1.2560279728684309e-23, 6.5715139537885664e-24, 9.346376827077021e-07, 7.468882452843623, 9.077308471198012e-25], [7.235164894918349e-07, 7.235165176631457e-07, -1.1189592398422013e-07, 4.746310758191976e-25, 9.077338986167171e-25, 6.515002217932838]], 'warnings': [], 'nsites': 9}",0.003162222,147,175,0.05,0.17,343.98
5,mp-11281,Be2V,"{'Be': 2.0, 'V': 1.0}",0.126807603,3.936240073,"{'G_Reuss': 137.0, 'G_VRH': 138.0, 'G_Voigt': 138.0, 'G_Voigt_Reuss_Hill': 138.0, 'K_Reuss': 160.0, 'K_VRH': 160.0, 'K_Voigt': 160.0, 'K_Voigt_Reuss_Hill': 160.0, 'elastic_anisotropy': 0.01, 'elastic_tensor': [[349.0, 59.0, 68.0, 0.0, 0.0, 0.0], [59.0, 349.0, 68.0, 0.0, 0.0, 0.0], [68.0, 68.0, 350.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 130.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 130.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 145.0]], 'homogeneous_poisson': 0.17, 'poisson_ratio': 0.17, 'universal_anisotropy': 0.01, 'elastic_tensor_original': [[349.639991104997, 58.442844531427, 68.85771989373038, 0.0, 0.0, 3.6490625462417917e-06], [58.51584293811678, 349.99500305784466, 68.99495658526406, 0.0, 0.0, 0.0], [68.01783226425854, 68.01782024550474, 350.0899281446669, 0.0, 0.0, 0.0], [-0.00012924010770708598, -0.0007245239371473937, -9.71867476624934e-05, 129.98381289446704, 0.0, 0.0], [0.00025531346689222737, 0.00026716347309141517, -0.00012461339852196904, 0.0, 129.90113202358285, 0.0], [0.01623331611466231, 0.011630104246308727, 0.015068091756652979, 0.0, 0.0, 143.8499439114088]], 'compliance_tensor': [[3.0, -0.4, -0.5, 0.0, -0.0, -0.0], [-0.4, 3.0, -0.5, 0.0, -0.0, -0.0], [-0.5, -0.5, 3.1, -0.0, 0.0, 0.0], [0.0, 0.0, -0.0, 7.7, -0.0, 0.0], [-0.0, -0.0, 0.0, -0.0, 7.7, -0.0], [-0.0, -0.0, 0.0, 0.0, -0.0, 6.9]], 'warnings': [], 'nsites': 12}",0,138,160,0.01,0.17,322.92
6,mp-11531,VNi2,"{'V': 1.0, 'Ni': 2.0}",0.15669562,8.166036293,"{'G_Reuss': 74.0, 'G_VRH': 86.0, 'G_Voigt': 98.0, 'G_Voigt_Reuss_Hill': 86.0, 'K_Reuss': 210.0, 'K_VRH': 210.0, 'K_Voigt': 210.0, 'K_Voigt_Reuss_Hill': 210.0, 'elastic_anisotropy': 1.65, 'elastic_tensor': [[274.0, 175.0, 196.0, 0.0, 0.0, 0.0], [175.0, 369.0, 95.0, 0.0, 0.0, 0.0], [196.0, 95.0, 319.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 51.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 133.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 139.0]], 'homogeneous_poisson': 0.32, 'poisson_ratio': 0.32, 'universal_anisotropy': 1.65, 'elastic_tensor_original': [[318.82794248234046, 196.72557196221618, 93.89678720685822, 0.0, 0.0, 0.0], [195.5095406487362, 274.37723393874137, 172.84420325079506, 0.0, 0.0, 0.0], [95.64292902074239, 177.92332731998525, 368.6769565098945, 0.0, 0.0, 0.0], [-0.0002964468571652247, 0.0004374769477972656, -0.00014966676284543755, 139.00715717476743, 0.0, 0.0], [0.0014811585808799617, 0.0012747672665543693, 0.0009356296291414588, 0.0, 51.399082092526704, 0.0], [0.0005978830366838981, 0.0006324036525425597, -0.00031121652199289624, 0.0, 0.0, 133.16626072402892]], 'compliance_tensor': [[8.8, -3.0, -4.5, 0.0, -0.0, 0.0], [-3.0, 4.0, 0.7, 0.0, 0.0, 0.0], [-4.5, 0.7, 5.7, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 19.5, 0.0, 0.0], [-0.0, 0.0, 0.0, 0.0, 7.5, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 7.2]], 'warnings': [], 'nsites': 3}",0,86,210,1.65,0.32,227.04
7,mp-11549,VPd2,"{'V': 1.0, 'Pd': 2.0}",0.161445915,10.03663375,"{'G_Reuss': 67.0, 'G_VRH': 76.0, 'G_Voigt': 84.0, 'G_Voigt_Reuss_Hill': 76.0, 'K_Reuss': 190.0, 'K_VRH': 190.0, 'K_Voigt': 191.0, 'K_Voigt_Reuss_Hill': 190.0, 'elastic_anisotropy': 1.23, 'elastic_tensor': [[254.0, 175.0, 166.0, 0.0, 0.0, 0.0], [175.0, 300.0, 93.0, 0.0, 0.0, 0.0], [166.0, 93.0, 296.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 52.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 117.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 111.0]], 'homogeneous_poisson': 0.32, 'poisson_ratio': 0.32, 'universal_anisotropy': 1.23, 'elastic_tensor_original': [[296.1688912580921, 163.60835974926485, 92.72035693660071, 0.0, 0.0, 0.0], [167.77190904245154, 253.74612080058813, 174.9625867320202, 0.0, 0.0, 0.0], [92.80097539816138, 174.97661438361783, 299.68984419067715, 0.0, 0.0, 0.0], [-0.0020523675478570343, -0.002679855503062974, 0.005813568604794171, 111.01009434188448, 0.0, 0.0], [-0.004203871716486294, 0.015206350297752457, -0.05031262214118594, 0.0, 52.4720854855881, 0.0], [-0.0002534871606232765, 7.5456827887209e-05, -0.00011803083950814337, 0.0, 0.0, 116.8324988800698]], 'compliance_tensor': [[9.5, -4.3, -4.0, 0.0, -0.0, 0.0], [-4.3, 5.7, 0.6, 0.0, 0.0, 0.0], [-4.0, 0.6, 5.4, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 19.1, 0.0, 0.0], [-0.0, 0.0, 0.0, 0.0, 8.6, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.0]], 'warnings': [], 'nsites': 3}",0,76,190,1.23,0.32,200.64
8,mp-11578,VZn3,"{'V': 1.0, 'Zn': 3.0}",0.187199905,7.294935773,"{'G_Reuss': 61.0, 'G_VRH': 65.0, 'G_Voigt': 69.0, 'G_Voigt_Reuss_Hill': 65.0, 'K_Reuss': 113.0, 'K_VRH': 113.0, 'K_Voigt': 113.0, 'K_Voigt_Reuss_Hill': 113.0, 'elastic_anisotropy': 0.67, 'elastic_tensor': [[169.0, 84.0, 84.0, 0.0, 0.0, 0.0], [84.0, 169.0, 84.0, 0.0, 0.0, 0.0], [84.0, 84.0, 169.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 88.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 88.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 88.0]], 'homogeneous_poisson': 0.26, 'poisson_ratio': 0.26, 'universal_anisotropy': 0.67, 'elastic_tensor_original': [[168.96232839064274, 84.44864140054027, 84.44864140054027, 0.0, 0.0, 0.0], [84.44947512899351, 168.96056036319766, 84.44947512899351, 0.0, 0.0, 0.0], [84.44857478967053, 84.44857478967053, 168.96001405621934, 0.0, 0.0, 0.0], [-0.00011337336351728051, -5.9100015732683934e-05, 3.901001038733023e-05, 87.53686913538284, 0.0, 0.0], [0.00012857003423031305, 0.00018383338227618762, -9.663335905644932e-06, 0.0, 87.53688264538644, 0.0], [-0.00011473003054133244, 5.478001458421032e-05, -0.0001412933709506426, 0.0, 0.0, 87.53658199530638]], 'compliance_tensor': [[8.9, -3.0, -3.0, 0.0, -0.0, -0.0], [-3.0, 8.9, -3.0, -0.0, 0.0, -0.0], [-3.0, -3.0, 8.9, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 11.4, 0.0, 0.0], [-0.0, 0.0, -0.0, 0.0, 11.4, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 11.4]], 'warnings': [], 'nsites': 4}",0,65,113,0.67,0.26,163.8
9,mp-11687,VTe2,"{'V': 1.0, 'Te': 2.0}",0.262701271,6.646573407,"{'G_Reuss': 13.0, 'G_VRH': 17.0, 'G_Voigt': 22.0, 'G_Voigt_Reuss_Hill': 17.0, 'K_Reuss': 20.0, 'K_VRH': 26.0, 'K_Voigt': 32.0, 'K_Voigt_Reuss_Hill': 26.0, 'elastic_anisotropy': 4.26, 'elastic_tensor': [[40.0, 19.0, 26.0, 0.0, 15.0, 0.0], [19.0, 94.0, 14.0, 0.0, 3.0, 0.0], [26.0, 14.0, 41.0, 0.0, 19.0, 0.0], [0.0, 0.0, 0.0, 17.0, 0.0, 13.0], [15.0, 3.0, 19.0, 0.0, 24.0, 0.0], [0.0, 0.0, 0.0, 13.0, 0.0, 30.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 4.26, 'elastic_tensor_original': [[93.97144212923305, 15.76585312859824, 16.142584026942075, -3.610622112791242, 0.0, 0.0], [16.496605994812906, 26.55014156382587, 14.757244172804526, -3.6443907776799573, 0.0, 0.0], [16.692337220609858, 16.546012738695744, 75.19715555013391, -20.44298845354624, 0.0, 0.0], [-3.6894472943378527, -3.4167262229032773, -20.879660835276933, 13.913718114231187, 0.0, 0.0], [3.1676614772539245e-05, 7.087655055240284e-05, 5.361991215673103e-05, 1.7799970838934838e-05, 28.155224544390688, -13.73952894439744], [0.005074945049805262, -0.005442687782893074, -0.007125895035495701, 0.0013316944930217033, -13.69758077559417, 18.84106142353268]], 'compliance_tensor': [[46.1, -5.5, -22.8, 0.0, -10.6, 0.0], [-5.5, 12.0, -2.4, 0.0, 4.1, 0.0], [-22.8, -2.4, 52.5, 0.0, -26.4, 0.0], [0.0, 0.0, 0.0, 87.4, 0.0, -38.0], [-10.6, 4.1, -26.4, 0.0, 67.9, 0.0], [0.0, 0.0, 0.0, -38.0, 0.0, 49.9]], 'warnings': [], 'nsites': 9}",0,17,26,4.26,0.23,41.82
