,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
0,mp-1014265,Zr2N,"{'Zr': 2.0, 'N': 1.0}",0.129869305,6.644608572,"{'G_Reuss': 78.0, 'G_VRH': 88.0, 'G_Voigt': 99.0, 'G_Voigt_Reuss_Hill': 88.0, 'K_Reuss': 173.0, 'K_VRH': 173.0, 'K_Voigt': 174.0, 'K_Voigt_Reuss_Hill': 173.0, 'elastic_anisotropy': 1.32, 'elastic_tensor': [[348.0, 107.0, 107.0, 0.0, 0.0, 0.0], [107.0, 232.0, 163.0, 0.0, 0.0, 0.0], [107.0, 163.0, 232.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 120.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 114.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 114.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 1.32, 'elastic_tensor_original': [[348.4272717695384, 111.59526958758859, 111.59526958758859, 0.0, 0.0, 0.0], [101.86663746698957, 232.25670829963033, 163.4024282743617, 0.0, 0.0, 0.0], [101.86663746698957, 163.4024282743617, 232.25670829963033, 0.0, 0.0, 0.0], [0.0, 1.196404945167131, -1.1964049451671315, 119.6349103989995, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 114.41011891363019, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 114.41011891363019]], 'compliance_tensor': [[3.4, -0.9, -0.9, 0.0, 0.0, 0.0], [-0.9, 8.8, -5.7, 0.0, 0.0, 0.0], [-0.9, -5.7, 8.8, -0.0, 0.0, 0.0], [-0.0, 0.0, -0.0, 8.4, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 8.7, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 8.7]], 'warnings': [], 'nsites': 6}",0,88,173,1.32,0.28,225.28
1,mp-1018103,ZrAu2,"{'Zr': 1.0, 'Au': 2.0}",0.223861696,13.95104668,"{'G_Reuss': 15.0, 'G_VRH': 36.0, 'G_Voigt': 57.0, 'G_Voigt_Reuss_Hill': 36.0, 'K_Reuss': 157.0, 'K_VRH': 157.0, 'K_Voigt': 157.0, 'K_Voigt_Reuss_Hill': 157.0, 'elastic_anisotropy': 14.28, 'elastic_tensor': [[177.0, 170.0, 117.0, 0.0, 0.0, 0.0], [170.0, 177.0, 117.0, 0.0, 0.0, 0.0], [117.0, 117.0, 254.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 58.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 58.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 102.0]], 'homogeneous_poisson': 0.39, 'poisson_ratio': 0.39, 'universal_anisotropy': 14.28, 'elastic_tensor_original': [[176.7267787983834, 169.52337574878027, 113.41279162262065, 0.0, -1.2799720404221272e-05, 0.0], [169.52337574878587, 176.7267787983834, 113.41279162262065, -1.279972040177608e-05, -2.5277772202827464e-05, 0.0], [121.1245775570899, 121.1245775570899, 253.9430791681704, 0.0, 0.0, 0.0], [0.0, -1.2957441979602017e-05, 0.0, 58.13565968826523, 2.5342770381400395e-07, -6.47872264295034e-06], [-1.2957441978992318e-05, 0.0, 0.0, -2.534277038141474e-07, 58.13565968826523, -6.478722263293141e-06], [1.015655285090397, -1.0156552850969987, 0.0, -1.4999814433822196e-07, 1.8331729666679414e-07, 101.55906748930099]], 'compliance_tensor': [[71.5, -67.3, -1.9, -0.0, 0.0, 0.0], [-67.3, 71.5, -1.9, 0.0, -0.0, -0.0], [-1.9, -1.9, 5.7, 0.0, 0.0, 0.0], [-0.0, 0.0, 0.0, 17.2, 0.0, 0.0], [0.0, -0.0, 0.0, 0.0, 17.2, 0.0], [0.0, -0.0, 0.0, 0.0, 0.0, 9.8]], 'warnings': ['c11 and c12 are within 5% or c12 is greater than c11'], 'nsites': 3}",0,36,157,14.28,0.39,100.08
2,mp-1018104,Zr2Cd,"{'Zr': 2.0, 'Cd': 1.0}",0.15891116,7.235683213,"{'G_Reuss': 19.0, 'G_VRH': 28.0, 'G_Voigt': 37.0, 'G_Voigt_Reuss_Hill': 28.0, 'K_Reuss': 78.0, 'K_VRH': 78.0, 'K_Voigt': 78.0, 'K_Voigt_Reuss_Hill': 78.0, 'elastic_anisotropy': 4.53, 'elastic_tensor': [[143.0, 27.0, 65.0, 0.0, 0.0, 0.0], [27.0, 143.0, 65.0, 0.0, 0.0, 0.0], [65.0, 65.0, 105.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 49.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 49.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 7.0]], 'homogeneous_poisson': 0.34, 'poisson_ratio': 0.34, 'universal_anisotropy': 4.53, 'elastic_tensor_original': [[142.88535824975494, 26.604998009677818, 79.99408297136324, 1.1399970866838938e-05, 5.599985688973512e-06, 0.0], [26.604998009676198, 142.88535824975494, 79.99408297136324, 5.599985688065927e-06, -9.150278117021105e-08, 0.0], [49.60151513937975, 49.60151513937975, 104.95678146659714, 1.4800199062379345e-05, 1.4800199062379345e-05, 0.0], [0.0, 6.965867000127567e-06, 0.0, 49.27530696487139, 2.912757418663517e-07, 3.482934175429534e-06], [6.96586699957759e-06, 0.0, 0.0, -2.912757418414293e-07, 49.27530696487139, 3.4829340632889167e-06], [0.06570457655761765, -0.06570457655852156, 0.0, -1.9999749350060285e-07, 1.9170459606987024e-07, 6.570080660531652]], 'compliance_tensor': [[9.9, 1.3, -6.9, 0.0, -0.0, 0.0], [1.3, 9.9, -6.9, -0.0, -0.0, 0.0], [-6.9, -6.9, 18.0, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 20.3, 0.0, -0.0], [-0.0, -0.0, -0.0, 0.0, 20.3, -0.0], [0.0, 0.0, 0.0, -0.0, -0.0, 152.2]], 'warnings': [], 'nsites': 3}",0,28,78,4.53,0.34,75.04
3,mp-1018107,ZrTe2,"{'Zr': 1.0, 'Te': 2.0}",0.216162256,5.981655019,"{'G_Reuss': 10.0, 'G_VRH': 13.0, 'G_Voigt': 16.0, 'G_Voigt_Reuss_Hill': 13.0, 'K_Reuss': 10.0, 'K_VRH': 14.0, 'K_Voigt': 18.0, 'K_Voigt_Reuss_Hill': 14.0, 'elastic_anisotropy': 3.76, 'elastic_tensor': [[61.0, 10.0, 3.0, -2.0, 0.0, 0.0], [10.0, 61.0, 3.0, 2.0, 0.0, 0.0], [3.0, 3.0, 12.0, 0.0, 0.0, 0.0], [-2.0, 2.0, 0.0, 7.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 7.0, -2.0], [0.0, 0.0, 0.0, 0.0, -2.0, 26.0]], 'homogeneous_poisson': 0.15, 'poisson_ratio': 0.15, 'universal_anisotropy': 3.76, 'elastic_tensor_original': [[61.55831149636625, 8.096029227208314, 1.87562857563906, 2.6418597834308652, 0.0, 0.0], [7.322702231611656, 63.1031774192975, 3.0971481686153095, -4.312348608843275, 0.0, 0.0], [2.830071522659297, 2.8300707410149677, 12.375524004336778, 0.0, 0.0, 0.0], [1.8053594781823012, -2.1639728482347556, -0.23333694671612915, 7.006410835205637, 0.0, 0.0], [-5.3706743117824204e-05, -4.836673551635032e-05, -0.00010078347679765098, -3.221337918872087e-05, 6.8998055651592365, 1.9239154886805032], [-0.0179949194754314, 0.007578731448227755, -0.0006573807856011146, 0.013328702293361723, 1.6988261795553703, 23.71035304068264]], 'compliance_tensor': [[17.4, -2.8, -3.1, 6.6, 0.0, 0.0], [-2.8, 17.4, -3.1, -6.6, 0.0, 0.0], [-3.1, -3.1, 82.1, -0.0, 0.0, -0.0], [6.6, -6.6, 0.0, 148.1, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 148.1, 13.2], [0.0, 0.0, -0.0, 0.0, 13.2, 40.4]], 'warnings': [], 'nsites': 3}",0,13,14,3.76,0.15,29.9
4,mp-11239,ZrAg,"{'Zr': 1.0, 'Ag': 1.0}",0.196614404,8.085384987,"{'G_Reuss': 42.0, 'G_VRH': 47.0, 'G_Voigt': 51.0, 'G_Voigt_Reuss_Hill': 47.0, 'K_Reuss': 106.0, 'K_VRH': 106.0, 'K_Voigt': 106.0, 'K_Voigt_Reuss_Hill': 106.0, 'elastic_anisotropy': 1.06, 'elastic_tensor': [[144.0, 86.0, 89.0, 0.0, 0.0, 0.0], [86.0, 144.0, 89.0, 0.0, 0.0, 0.0], [89.0, 89.0, 139.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 68.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 68.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 65.0]], 'homogeneous_poisson': 0.31, 'poisson_ratio': 0.31, 'universal_anisotropy': 1.06, 'elastic_tensor_original': [[143.92937061094798, 85.73011609753004, 88.75586757067494, 0.0, 0.0, 0.0], [85.7293666213399, 143.92796580761816, 88.7572204287879, 0.0, 0.0, 0.0], [88.51640129813063, 88.51640129813063, 138.8089776113109, 0.0, 0.0, 0.0], [0.00015431665145595238, 7.339665943231974e-05, 3.4019996646638517e-05, 68.21256249626015, 0.0, 0.0], [-4.506666222348656e-05, -7.95999921518316e-06, 4.8976661839035765e-05, 0.0, 68.2124620729367, 0.0], [0.00010105665916818888, 0.000255816647685882, -4.613332991883036e-06, 0.0, 0.0, 65.27569655675987]], 'compliance_tensor': [[12.9, -4.3, -5.5, -0.0, 0.0, 0.0], [-4.3, 12.9, -5.5, -0.0, 0.0, -0.0], [-5.5, -5.5, 14.2, 0.0, 0.0, 0.0], [-0.0, -0.0, 0.0, 14.7, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 14.7, 0.0], [0.0, -0.0, 0.0, 0.0, 0.0, 15.3]], 'warnings': [], 'nsites': 4}",0,47,106,1.06,0.31,123.14
5,mp-11263,Zr3Au,"{'Zr': 3.0, 'Au': 1.0}",0.15453942,9.202326342,"{'G_Reuss': 49.0, 'G_VRH': 52.0, 'G_Voigt': 55.0, 'G_Voigt_Reuss_Hill': 52.0, 'K_Reuss': 118.0, 'K_VRH': 118.0, 'K_Voigt': 118.0, 'K_Voigt_Reuss_Hill': 118.0, 'elastic_anisotropy': 0.62, 'elastic_tensor': [[223.0, 66.0, 66.0, 0.0, 0.0, 0.0], [66.0, 223.0, 66.0, 0.0, 0.0, 0.0], [66.0, 66.0, 223.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 39.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 39.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 39.0]], 'homogeneous_poisson': 0.31, 'poisson_ratio': 0.31, 'universal_anisotropy': 0.62, 'elastic_tensor_original': [[223.164503282506, 66.06810312590731, 66.06810312590731, 0.0, 0.0, 0.0], [66.06783400558002, 223.16275389186308, 66.06783400558002, 0.0, 0.0, 0.0], [66.06742944251096, 66.06742944251096, 223.16455478701218, 0.0, 0.0, 0.0], [0.00018178329958279312, -0.0002849800577711346, -0.0001298733726188341, 38.94223411448356, 0.0, 0.0], [-5.8309806073803084e-05, -0.00012520316050722652, -6.456679505883667e-05, 0.0, 38.942384857704944, 0.0], [6.87896542118531e-05, -0.00015655668821425305, -0.00013378023766867322, 0.0, 0.0, 38.94245885755626]], 'compliance_tensor': [[5.2, -1.2, -1.2, 0.0, 0.0, -0.0], [-1.2, 5.2, -1.2, -0.0, 0.0, 0.0], [-1.2, -1.2, 5.2, 0.0, -0.0, 0.0], [0.0, -0.0, 0.0, 25.7, -0.0, -0.0], [0.0, 0.0, -0.0, -0.0, 25.7, -0.0], [-0.0, 0.0, 0.0, -0.0, -0.0, 25.7]], 'warnings': [], 'nsites': 8}",0,52,118,0.62,0.31,136.24
6,mp-11283,ZrBe5,"{'Zr': 1.0, 'Be': 5.0}",0.111528715,3.623393476,"{'G_Reuss': 106.0, 'G_VRH': 111.0, 'G_Voigt': 116.0, 'G_Voigt_Reuss_Hill': 111.0, 'K_Reuss': 126.0, 'K_VRH': 126.0, 'K_Voigt': 127.0, 'K_Voigt_Reuss_Hill': 126.0, 'elastic_anisotropy': 0.48, 'elastic_tensor': [[244.0, 84.0, 55.0, 0.0, 0.0, 0.0], [84.0, 244.0, 55.0, 0.0, 0.0, 0.0], [55.0, 55.0, 260.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 158.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 158.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 80.0]], 'homogeneous_poisson': 0.16, 'poisson_ratio': 0.16, 'universal_anisotropy': 0.48, 'elastic_tensor_original': [[245.30537797875903, 81.94624311055102, 54.71794649435608, 0.0, 0.0, 0.0], [82.03523740404138, 248.01587842695773, 52.05278377869681, 0.0, 0.0, 0.0], [57.14505235069204, 57.14507706451246, 260.2032386409998, 0.0, 0.0, 0.0], [-0.00021482851900638328, 8.552671856018163e-05, -6.0431726969934125e-05, 157.58655050623761, 0.0, 0.0], [4.954606464887648e-05, 3.646348168670906e-05, 5.8413053189472254e-05, 0.0, 157.74981923072997, 0.0], [-3.0833247777395004e-07, 4.258494768744775e-05, 6.573992193462951e-05, 0.0, 0.0, 77.70792659424579]], 'compliance_tensor': [[4.8, -1.5, -0.7, 0.0, 0.0, 0.0], [-1.5, 4.8, -0.7, -0.0, 0.0, 0.0], [-0.7, -0.7, 4.1, -0.0, 0.0, -0.0], [-0.0, -0.0, -0.0, 6.3, 0.0, -0.0], [0.0, 0.0, 0.0, 0.0, 6.3, 0.0], [0.0, 0.0, -0.0, -0.0, -0.0, 12.5]], 'warnings': [], 'nsites': 6}",0,111,126,0.48,0.16,257.52
7,mp-11313,ZrCd3,"{'Zr': 1.0, 'Cd': 3.0}",0.21752775,8.172108957,"{'G_Reuss': 21.0, 'G_VRH': 28.0, 'G_Voigt': 35.0, 'G_Voigt_Reuss_Hill': 28.0, 'K_Reuss': 77.0, 'K_VRH': 77.0, 'K_Voigt': 77.0, 'K_Voigt_Reuss_Hill': 77.0, 'elastic_anisotropy': 3.35, 'elastic_tensor': [[92.0, 70.0, 70.0, 0.0, 0.0, 0.0], [70.0, 92.0, 70.0, 0.0, 0.0, 0.0], [70.0, 70.0, 92.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 51.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 51.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 51.0]], 'homogeneous_poisson': 0.34, 'poisson_ratio': 0.34, 'universal_anisotropy': 3.35, 'elastic_tensor_original': [[91.9006015299407, 69.69672483113938, 69.69672483113938, 0.0, 0.0, 0.0], [69.69809001875878, 91.90212151965794, 69.69809001875878, 0.0, 0.0, 0.0], [69.69756378621136, 69.69756378621136, 91.90182307350669, 0.0, 0.0, 0.0], [0.02675423280286211, -0.3665829147947912, -0.1686016599096631, 50.740164448575754, 0.0, 0.0], [-3.913339372204613e-05, -3.4890056311404e-05, -4.375339863258651e-05, 0.0, 50.73586165655329, 0.0], [-0.00016026686650700154, -0.00015352019148968905, -0.00014782185299080147, 0.0, 0.0, 50.735861214884736]], 'compliance_tensor': [[31.5, -13.6, -13.6, -0.0, 0.0, 0.0], [-13.6, 31.5, -13.6, 0.0, -0.0, 0.0], [-13.6, -13.6, 31.5, -0.0, 0.0, -0.0], [-0.0, 0.0, -0.0, 19.7, -0.0, 0.0], [0.0, -0.0, 0.0, -0.0, 19.7, -0.0], [0.0, 0.0, -0.0, 0.0, -0.0, 19.7]], 'warnings': [], 'nsites': 4}",0,28,77,3.35,0.34,75.04
8,mp-11345,ZrP,"{'Zr': 1.0, 'P': 1.0}",0.089397749,5.396878206,"{'G_Reuss': 77.0, 'G_VRH': 82.0, 'G_Voigt': 86.0, 'G_Voigt_Reuss_Hill': 82.0, 'K_Reuss': 134.0, 'K_VRH': 134.0, 'K_Voigt': 135.0, 'K_Voigt_Reuss_Hill': 134.0, 'elastic_anisotropy': 0.55, 'elastic_tensor': [[208.0, 86.0, 96.0, 0.0, 0.0, 0.0], [86.0, 208.0, 96.0, 0.0, 0.0, 0.0], [96.0, 96.0, 244.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 120.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 120.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 61.0]], 'homogeneous_poisson': 0.25, 'poisson_ratio': 0.25, 'universal_anisotropy': 0.55, 'elastic_tensor_original': [[207.79252943820612, 86.22271316850991, 96.19355111461724, 0.0, 0.0, 0.0], [84.34622269435393, 209.884240827476, 96.19311726597913, 0.0, 0.0, 0.0], [95.14806916237023, 95.14806850232615, 243.6824557708417, 0.0, 0.0, 0.0], [-9.529975235838853e-06, -3.407657812144496e-05, -0.00013995963633107653, 120.2360176843238, 0.0, 0.0], [-9.833968597261987e-05, -0.0001485333246204563, -1.9383028609636504e-05, 0.0, 120.40281780314695, 0.0], [-9.049978805267703e-05, 6.844048208560042e-05, -1.3360036713453804e-05, 0.0, 0.0, 60.1878241456473]], 'compliance_tensor': [[6.4, -1.8, -1.8, -0.0, -0.0, -0.0], [-1.8, 6.4, -1.8, -0.0, -0.0, -0.0], [-1.8, -1.8, 5.5, 0.0, -0.0, 0.0], [-0.0, -0.0, 0.0, 8.3, -0.0, 0.0], [-0.0, -0.0, -0.0, -0.0, 8.3, 0.0], [-0.0, -0.0, 0.0, 0.0, -0.0, 16.4]], 'warnings': [], 'nsites': 8}",0,82,134,0.55,0.25,205
9,mp-11541,ZrOs,"{'Zr': 1.0, 'Os': 1.0}",0.110627021,13.11886224,"{'G_Reuss': 98.0, 'G_VRH': 99.0, 'G_Voigt': 99.0, 'G_Voigt_Reuss_Hill': 99.0, 'K_Reuss': 209.0, 'K_VRH': 209.0, 'K_Voigt': 209.0, 'K_Voigt_Reuss_Hill': 209.0, 'elastic_anisotropy': 0.05, 'elastic_tensor': [[357.0, 135.0, 135.0, 0.0, 0.0, 0.0], [135.0, 357.0, 135.0, 0.0, 0.0, 0.0], [135.0, 135.0, 357.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 91.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 91.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 91.0]], 'homogeneous_poisson': 0.3, 'poisson_ratio': 0.3, 'universal_anisotropy': 0.05, 'elastic_tensor_original': [[357.05916701714665, 134.72022577590064, 134.72022577590064, 0.0, 0.0, 0.0], [134.71730108100567, 357.0565247073489, 134.71730108100567, 0.0, 0.0, 0.0], [134.72223599242048, 134.72223599242048, 357.06185836613827, 0.0, 0.0, 0.0], [-0.00016304966974518993, -0.00021330970329032999, -0.00020500301903703433, 91.35448501132042, 0.0, 0.0], [-0.0005885225753437613, -0.0006046357623446341, -0.0006308424877219188, 0.0, 91.35437866148435, 0.0], [0.00012578081501909383, 0.00016282076197613108, 0.0002264774249895269, 0.0, 0.0, 91.35458694453195]], 'compliance_tensor': [[3.5, -1.0, -1.0, -0.0, -0.0, 0.0], [-1.0, 3.5, -1.0, 0.0, -0.0, -0.0], [-1.0, -1.0, 3.5, -0.0, 0.0, -0.0], [-0.0, 0.0, -0.0, 10.9, -0.0, -0.0], [-0.0, -0.0, 0.0, -0.0, 10.9, -0.0], [0.0, -0.0, -0.0, -0.0, -0.0, 10.9]], 'warnings': [], 'nsites': 2}",0,99,209,0.05,0.3,257.4
