mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-1007923,CrNi3,0.19506228,8.618942228,0.26945,105,222,0.82,0.29,270.9
mp-12083,CrIr3,0.162655878,18.64843864,0.0,214,307,0.28,0.22,522.16
mp-12585,CrRh3,0.157079673,10.84546253,0.0,151,230,0.38,0.23,371.46
mp-1425,TiCr2,0.236118711,6.237410464,0.076832917,75,199,0.03,0.33,199.5
mp-15617,Cr5B3,0.247747225,6.587365888,0.0,196,291,0.03,0.23,482.16
mp-15809,Cr2B,0.256302139,6.742147673,0.8972433329999999,185,289,0.1,0.24,458.8
mp-1590,Be12Cr,0.12938625199999998,2.492767733,0.612988269,144,126,0.08,0.09,313.92
mp-1699,AlCr2,0.217976375,5.748722009,0.0,103,186,0.08,0.27,261.62
mp-19177,CrO2,0.671783311,4.629940044,0.0,107,179,0.9,0.25,267.5
mp-19399,Cr2O3,0.623680265,4.904330346,0.0,113,203,0.15,0.27,287.02
mp-20685,Cr3Ge,0.255695949,7.860403725,0.0,128,211,0.05,0.25,320.0
mp-20937,Cr3C2,0.24241566,6.795180037000001,0.0,169,320,0.38,0.28,432.64
mp-21048,CrP,0.171858032,5.6698736929999995,0.0,138,173,0.35,0.18,325.68
mp-2385,TaCr2,0.22206583100000002,11.33718977,0.0,83,242,0.07,0.35,224.1
mp-24287,CrH,0.257863435,6.52342475,0.0,137,238,0.13,0.26,345.24
mp-27734,CrBr3,0.098616236,3.942647917,0.0,5,8,64.24,0.26,12.6
mp-30438,Be2Cr,0.197115338,4.407724435,0.0,158,183,0.02,0.16,366.56
mp-548,NbCr2,0.220183023,7.767773427000001,0.0,64,228,0.1,0.37,175.36
mp-560338,CrF3,0.15535068800000001,3.566924723,0.0,39,37,3.26,0.11,86.58
mp-568636,TiCr2,0.23601101100000002,6.234565438,0.0,75,198,0.06,0.33,199.5
mp-639662,CrF5,0.125969916,2.842188526,0.0,4,8,2.79,0.26,10.08
mp-723,Cr23C6,0.274722113,7.167799815,0.0,138,291,0.0,0.3,358.8
mp-729,Cr3Si,0.24052343,6.625100603,0.0,154,249,0.06,0.24,381.92
mp-7302,CrP4,0.08360344,3.8964816589999995,0.0,100,124,0.72,0.18,236.0
mp-784631,CrNi2,0.210688084,8.620907165,0.0,112,228,1.06,0.29,288.96
mp-819,HfCr2,0.213503683,10.50798899,0.0,68,191,0.02,0.34,182.24
mp-867780,Al3Cr,0.12692535900000002,3.8153056210000003,0.0,83,107,0.85,0.19,197.54
mp-8780,Cr2N,0.274718258,6.723825262,0.0,140,285,0.29,0.29,361.2
mp-8937,CrSi2,0.13399157,5.015722493999999,0.0,172,195,0.18,0.16,399.04
mp-903,ZrCr2,0.21102895800000002,7.109106916,0.0,56,181,0.03,0.36,152.32
mvc-13555,CrS2,0.146887429,3.0827036039999998,0.0,13,15,-119.08,0.17,30.42
mp-10247,U2CrN3,0.198339209,12.70245477,0.0,101,226,0.51,0.3,262.6
mp-1025180,Mn(CrSe2)2,0.176853155,5.460394618,0.0,30,47,0.55,0.23,73.8
mp-1025323,Dy2Cr2C3,0.20567280899999998,8.179075697,0.0,69,149,0.77,0.3,179.4
mp-1025372,Y2Cr2C3,0.17595993199999999,5.553900998,0.0,74,161,0.63,0.3,192.4
mp-1029520,Mg2CrN3,0.16449182099999998,3.260071636,0.0,48,123,1.73,0.33,127.68
mp-19120,MgCrO4,0.519617153,3.05233891,0.0,41,64,0.36,0.23,100.86
mp-20197,Cr2GaC,0.198991366,6.887637715,0.0,116,180,0.08,0.24,287.68
mp-4182,CrAgS2,0.196922585,5.029493161,0.0,26,77,0.99,0.35,70.2
mp-505562,CrCuO2,0.48854888,5.30860526,0.36324,58,154,2.01,0.33,154.28
mp-862781,AlCrRu2,0.134358135,8.726919257,0.0,113,231,0.0,0.29,291.54
mp-864955,Mn2CrCo,0.161247309,7.716185765,0.0,97,154,0.23,0.24,240.56
mp-977425,Ta2CrRu,0.150671463,13.84197653,0.0,94,258,0.72,0.34,251.92
mp-1025181,Tm2Cr2C3,0.200402595,8.691772497,0.0,77,167,0.64,0.3,200.2
mp-1025266,Tb2Cr2C3,0.159526965,7.969868448,0.0,68,149,0.81,0.3,176.8
mp-1029458,Zn2CrN3,0.175896462,5.325875173,0.0,60,152,0.14,0.33,159.6
mp-1029498,Li6CrN4,0.252524623,2.414737644,0.0,72,85,0.03,0.17,168.48
mp-11580,TiCrP,0.175980312,5.65277728,0.0,123,204,0.13,0.25,307.5
mp-12743,CrTe4Au,0.261242081,7.343432517999999,0.0,23,27,1.02,0.17,53.82
mp-12906,Sr3CrN3,0.254913226,4.252480902,0.0,31,50,0.23,0.24,76.88
mp-18793,LiCrO2,0.632551827,4.101010951,0.0,83,148,0.97,0.26,209.16
mp-19821,Cr2GeC,0.19946788199999999,6.955160667,0.14202906199999998,82,202,0.08,0.32,216.48
mp-20144,NbCrP,0.157230954,7.08015918,0.0,114,212,0.28,0.27,289.56
mp-4697,Zn(CrSe2)2,0.182786452,5.405418836,0.0,31,69,0.26,0.3,80.6
mp-4989,CrNiAs,0.157697695,7.617337309,0.0,61,129,0.08,0.3,158.6
mp-4992,ScCrC2,0.15922282699999998,4.839726525,0.0,133,209,0.16,0.24,329.84
mp-560562,Rb2CrF6,0.30419650000000004,3.3629472999999996,0.0,13,24,1.22,0.27,33.02
mp-5693,NaCrS2,0.216776857,3.184247032,0.0,37,60,0.57,0.25,92.5
mp-637575,AlCr3B4,0.18429915100000002,5.374774947000001,0.0,182,250,0.04,0.21,440.44
mp-8499,Ho2Cr2C3,0.17932542399999998,8.354270274,0.0,72,167,0.74,0.31,188.64
mp-865490,V2CrFe,0.21125710600000003,7.348434424,0.0,107,232,0.68,0.3,278.2
mp-865494,V2CrRu,0.165817662,8.137760168,0.0,106,243,0.48,0.31,277.72
mp-8670,Ca3CrN3,0.229974075,3.241737275,0.0,51,86,0.07,0.25,127.5
mp-867837,BeCrRu2,0.140285469,9.069538942000001,0.0,101,269,0.0,0.33,268.66
mp-996996,CrAuO2,0.501351445,9.220117847000001,0.0,62,157,1.28,0.33,164.92
mp-1029550,Ca2CrN3,0.227170514,3.4520003339999996,0.0,30,94,4.46,0.35,81.0
mp-18779,Na2CrO4,0.496487907,2.666880339,0.0,19,39,0.91,0.29,49.02
mp-19281,LaCrO3,0.575570775,6.457324685,0.0,86,165,0.11,0.28,220.16
mp-19378,CrAgO2,0.504920014,6.280759054,0.0,45,140,5.03,0.35,121.5
mp-29005,U(Cr3P2)2,0.19450026,7.845540021000001,0.0,92,145,1.28,0.24,228.16
mp-4226,LiCrS2,0.19208960600000002,3.2066209999999997,0.0,43,83,0.55,0.28,110.08
mp-510625,CrCuO2,0.487354049,5.2956221480000005,0.0,58,155,2.04,0.33,154.28
mp-5862,CrCuS2,0.17478288399999997,4.535384722,0.0,41,94,0.32,0.31,107.42
mp-7692,Al(CrB)2,0.185516734,5.327369116,0.0,175,227,0.08,0.19,416.5
mp-864953,MnV2Cr,0.176509897,7.1516151,0.0,99,231,0.69,0.31,259.38
mp-864988,Mn2AlCr,0.149578766,6.6531736729999995,0.0,102,194,0.2,0.28,261.12
mp-865484,V2CrRe,0.16794362100000002,10.61855263,0.0,112,251,0.28,0.31,293.44
mp-865495,V2CrTc,0.173557358,7.954744599,0.0,101,237,0.38,0.31,264.62
mp-9956,AlCr2C,0.18795581600000003,5.338343678999999,0.0,134,189,0.02,0.21,324.28
mp-1029407,NaCrN2,0.222848359,3.146804444,0.0,36,76,0.53,0.29,92.88
mp-10374,Cr3PtN,0.24133695800000002,10.70269106,0.0,158,267,0.19,0.25,395.0
mp-19146,CrPbO4,0.458091995,5.7279979910000005,0.0,18,33,1.05,0.28,46.08
mp-19299,CrBO3,0.6357121410000001,4.046621554,0.0,109,181,0.69,0.25,272.5
mp-21495,CrFeP,0.20319535600000002,6.9171866060000005,0.0,143,238,0.05,0.25,357.5
mp-28497,Cs2CrCl4,0.270824584,3.382537585,0.0,11,21,0.24,0.27,27.94
mp-3532,CrAgSe2,0.203536295,6.112507625,0.0,23,64,0.44,0.34,61.64
mp-4026,KCrS2,0.288871587,3.1156170519999997,0.0,36,49,0.58,0.21,87.12
mp-861656,Ti2CrIr,0.18206278899999997,9.760395642,0.0,79,190,0.13,0.32,208.56
mp-865485,V2CrOs,0.165444345,10.87437114,0.0,125,265,0.23,0.3,325.0
mp-554252,K2NaCrF6,0.321991682,2.96100306,0.0,35,79,0.0,0.31,91.7
mp-1024999,HoCr2Si2C,0.160212245,6.837675236,0.0,111,160,0.16,0.22,270.84
mp-31624,Sr2TaCrO6,0.58996829,6.556700116,0.0,107,187,0.02,0.26,269.64
mp-556264,KRb2CrF6,0.358012936,3.422392517,0.3432948,27,36,0.48,0.21,65.34
mp-560936,Rb2NaCrF6,0.360392249,3.7691076619999997,0.0,27,36,0.17,0.2,64.8
