mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-10033,NbS2,0.123602586,4.019532925,0.0,15,23,72.82,0.24,37.2
mp-1018151,NbPd2,0.15362883300000002,10.5593086,0.0,74,190,1.39,0.33,196.84
mp-10255,Nb3B4,0.108717917,7.190484535,0.0,198,274,0.11,0.21,479.16
mp-1046,NbSn2,0.10332447199999999,7.982741992,0.0,49,96,0.18,0.28,125.44
mp-11272,Be2Nb3,0.12029355900000001,6.853194296,0.0,78,165,0.03,0.3,202.8
mp-11273,Be3Nb,0.115652644,4.710119604,0.0,126,155,0.05,0.18,297.36
mp-11393,Nb3Ga2,0.124283722,8.136717747,0.0,97,167,0.2,0.26,244.44
mp-11514,NbPt2,0.13737976400000002,16.49762617,0.0,108,244,0.69,0.31,282.96
mp-11517,NbRu3,0.099405979,11.00997227,0.0,128,271,0.56,0.3,332.8
mp-11675,NbTe2,0.25078116300000003,7.0943959670000005,0.0,19,28,3.63,0.22,46.36
mp-12104,NbSi2,0.081757756,5.577439731,0.0,140,175,0.05,0.18,330.4
mp-12659,Mn2Nb,0.115651329,8.479514313,0.0,75,233,0.1,0.36,204.0
mp-1326,Nb3Sn,0.122832766,8.694217983,0.0,22,164,0.1,0.44,63.36
mp-1359,NbIr,0.129094221,14.60515987,0.0,105,259,0.82,0.32,277.2
mp-13686,Nb5Si3,0.103422994,6.967600826,0.0,123,194,0.04,0.24,305.04
mp-13967,Nb5(CuSi)4,0.123542518,7.278267339,0.0,98,179,0.22,0.27,248.92
mp-1451,NbNi3,0.148317158,8.950269432999999,0.0,77,211,0.4,0.34,206.36
mp-1458,Nb3Ir,0.126407635,11.22804606,0.0,104,223,0.57,0.3,270.4
mp-1545,Nb3Rh,0.124184961,9.086567728,0.0,89,204,0.74,0.31,233.18
mp-1606,NbAu2,0.23612686800000002,15.18308488,0.0,64,175,1.15,0.34,171.52
mp-1842,NbAl3,0.096283695,4.501843442,0.0,105,127,0.17,0.18,247.8
mp-18427,Nb2Al,0.113506464,6.789453727000001,0.0,82,161,0.07,0.28,209.92
mp-1932,Nb3Os,0.118099291,11.20767839,0.0,91,223,0.71,0.32,240.24
mp-1963,NbRh,0.125687509,10.11175654,0.0,79,220,1.43,0.34,211.72
mp-1969,NbSb2,0.102260873,8.046465944,0.0,69,97,0.4,0.21,166.98
mp-1973,NbGa3,0.12104822400000001,7.758692646,0.0,87,122,0.19,0.21,210.54
mp-2053,Nb3Sb,0.12440919199999999,8.873377465,0.0,82,174,0.23,0.3,213.2
mp-2059,NbAs,0.09841300800000001,7.805231678999999,0.0,88,162,0.66,0.27,223.52
mp-20689,Nb3B2,0.116680646,7.7526327539999995,0.0,168,240,0.04,0.22,409.92
mp-2123,Nb3Au2,0.189810615,12.332301600000001,0.0,61,173,0.26,0.34,163.48
mp-22722,NbSiPd,0.119433554,8.188774737000001,0.0,81,195,0.52,0.32,213.84
mp-2311,NbO,0.41435504799999995,7.010466903999999,0.0,140,243,0.54,0.26,352.8
mp-24154,NbH2,0.096473437,6.584074606000001,0.0,81,178,0.02,0.3,210.6
mp-2478,NbSi2,0.081770639,5.578318615,0.004182222,140,175,0.05,0.18,330.4
mp-2580,NbB,0.112081368,7.429359322000001,0.0,197,264,0.08,0.2,472.8
mp-2634,NbN,0.150972156,7.984187205,0.0,211,313,0.16,0.23,519.06
mp-2663,Nb3Pt,0.129165596,11.15047725,0.0,80,207,0.68,0.33,212.8
mp-274,Nb5Sb4,0.108535151,8.117054467,0.0,55,98,1.11,0.26,138.6
mp-2760,Nb6C5,0.105546429,7.503639259,0.0,161,239,0.14,0.22,392.84
mp-27793,Nb2Se,0.157465587,7.711559449,0.0,57,122,0.19,0.3,148.2
mp-29950,Nb3Cl8,0.082174685,3.360949549,0.0,8,14,81.6,0.24,19.84
mp-30441,Be17Nb2,0.11411839900000001,3.338361571,0.0,152,140,0.05,0.1,334.4
mp-30798,NbZn2,0.17597048699999998,8.152689628,0.0,82,141,0.01,0.26,206.64
mp-363,NbGe2,0.12357580300000001,7.967848054,0.0,105,142,0.09,0.2,252.0
mp-432,NbRu,0.108762125,9.95447607,0.0,53,237,0.04,0.4,148.4
mp-450,NbB2,0.103131325,6.793797917999999,0.0,195,287,0.28,0.22,475.8
mp-548,NbCr2,0.220183023,7.767773427000001,0.0,64,228,0.1,0.37,175.36
mp-557057,NbO2,0.521744642,5.6752529979999995,0.0,80,206,0.28,0.33,212.8
mp-568912,Be12Nb,0.111921781,2.9577772760000003,0.0,138,133,0.23,0.12,309.12
mp-569989,Nb2C,0.11054693,7.673756117999999,0.0,117,228,0.29,0.28,299.52
mp-571133,NbSe2,0.14792813400000002,5.587610023,0.0,13,22,29.28,0.25,32.5
mp-640041,NbZn16,0.185013342,7.295698646,0.0,33,85,0.63,0.33,87.78
mp-669692,NbPd3,0.15704971,10.82978148,0.0,79,196,0.19,0.32,208.56
mp-7250,Nb6Co7,0.14981988599999999,8.885808435,0.0,95,213,0.18,0.31,248.9
mp-7597,NbSe2,0.149909294,5.662443325,0.9910275,13,22,32.7,0.25,32.5
mp-7598,NbAs2,0.08503179599999999,7.264790629,0.0,90,124,0.27,0.21,217.8
mp-864992,MnNbRu2,0.0975975,9.661758778,0.0,88,220,0.55,0.32,232.32
mp-865248,TmNbRu2,0.147691291,11.12462904,0.0,74,178,0.41,0.32,195.36
mp-865255,LuNbRu2,0.13056416699999998,11.4106784,0.0,78,184,0.33,0.31,204.36
mp-865278,NbAlOs2,0.10117850199999999,13.66563839,0.0,130,262,0.0,0.29,335.4
mp-867146,ScNbRu2,0.117382902,8.682952113999999,0.0,91,195,0.2,0.3,236.6
