mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-10014,TaS2,0.121404365,6.161496079,0.330106667,23,18,1.87,0.06,48.76
mp-10142,Ta3B4,0.110338466,13.28435227,0.0,208,296,0.15,0.22,507.52
mp-1020,TaRh3,0.126100865,13.66078579,0.0,153,260,0.3,0.25,382.5
mp-1086,TaC,0.107625506,14.23428075,0.0,215,324,0.3,0.23,528.9
mp-1097,TaB,0.114081159,13.98092197,0.0,213,266,0.13,0.18,502.68
mp-1108,TaB2,0.103999466,12.11755194,0.0,200,302,0.14,0.23,492.0
mp-11192,TaSi2,0.082399032,8.940924313,0.0,142,184,0.06,0.19,337.96
mp-11278,Ta2Be,0.122424037,13.76091735,0.0,117,187,0.12,0.24,290.16
mp-11416,TaGa3,0.121603153,10.06594092,0.0,80,106,0.22,0.2,192.0
mp-11572,TaTc,0.123694988,14.25820422,0.0,130,255,0.31,0.28,332.8
mp-11697,TaSb2,0.102693765,10.19517176,0.0,73,102,0.41,0.21,176.66
mp-12561,TaAs2,0.085606366,9.966510165,0.0,96,134,0.27,0.21,232.32
mp-12678,TaMn2,0.116021228,12.19993718,0.0,88,243,0.08,0.34,235.84
mp-1279,TaN,0.145129172,13.99558877,0.0,182,307,0.12,0.25,455.0
mp-14815,TaTe5Pt,0.233000371,7.877542312,0.0,12,20,37.04,0.26,30.24
mp-1601,TaRu,0.10943927,14.56269336,0.0,65,264,0.29,0.39,180.7
mp-1867,Ta2Ni,0.13372998,14.78623193,0.0,81,215,0.21,0.33,215.46
mp-1936,TaAs,0.09949444,12.0305705,0.0,97,176,0.58,0.27,246.38
mp-1984,TaS2,0.120484544,6.114813454,0.0,17,29,64.09,0.26,42.84
mp-1989,Ta5Si3,0.105324011,12.787425500000001,0.0,133,215,0.04,0.24,329.84
mp-22636,TaNiGe,0.137980089,12.08766103,0.0,75,199,0.54,0.33,199.5
mp-2385,TaCr2,0.22206583100000002,11.33718977,0.0,83,242,0.07,0.35,224.1
mp-24082,Ta2H,0.117468701,15.32507086,0.0,66,202,0.34,0.35,178.2
mp-24723,TaH2,0.098678316,12.98092768,0.0,64,226,0.07,0.37,175.36
mp-2598,Ta5Sb4,0.11011216800000001,12.04459364,0.0,60,107,1.02,0.26,151.2
mp-265,TaIr3,0.13095432199999998,20.76033448,0.0,212,325,0.24,0.23,521.52
mp-27488,Ta3N5,0.11650478199999999,9.746088438,0.0,99,241,0.45,0.32,261.36
mp-28683,Ta(ICl)2,0.129084154,4.596406023,0.0,3,4,18.94,0.23,7.38
mp-29652,TaSe3,0.163914017,7.3918986879999995,0.0,14,19,27.73,0.21,33.88
mp-30835,TaPd2,0.154158207,13.64678735,0.0,72,205,1.91,0.34,192.96
mp-30836,TaPd3,0.158788068,13.28857423,0.0,89,214,0.59,0.32,234.96
mp-30849,TaPt2,0.13526182,19.2036663,0.0,78,243,2.52,0.35,210.6
mp-30850,TaPt3,0.13872195,19.90951077,0.313665625,90,262,0.63,0.35,243.0
mp-30871,Ta3Sn,0.123472975,14.54767412,0.0,27,179,0.29,0.43,77.22
mp-31454,TaSbRu,0.099576444,11.28852735,0.0,70,175,0.0,0.32,184.8
mp-3340,TaAlCo2,0.14003932800000002,10.24116546,0.0,98,203,0.4,0.29,252.84
mp-3666,LiTaO3,0.558961511,7.178371403,0.0,83,123,0.05,0.22,202.52
mp-4081,TaCu3Se4,0.14311196199999998,6.124709722,0.0,22,31,0.3,0.22,53.68
mp-517,TaSi2,0.082411014,8.942224434,0.005754444,142,185,0.05,0.19,337.96
mp-541,Ta3Sb,0.125044189,14.80071912,0.0,84,185,0.57,0.3,218.4
mp-5489,LuTaO4,0.52948056,9.223565214,0.0,57,132,2.13,0.31,149.34
mp-567276,TaV2,0.138144547,10.38566073,0.0,39,201,0.0,0.41,109.98
mp-567842,TaBe12,0.112554678,4.27704644,0.0,143,137,0.2,0.11,317.46
mp-567982,TaSn2,0.103935801,10.17019178,0.0,50,103,0.21,0.29,129.0
mp-568077,TaFe2,0.193273465,12.52252721,0.0,93,228,0.06,0.32,245.52
mp-570491,TaNi3,0.150250423,12.03461433,0.0,96,222,0.56,0.31,251.52
mp-571499,TaIr,0.12936884,19.15566045,0.0,96,274,0.41,0.34,257.28
mp-574,Ta2Co,0.139293585,14.93141089,0.0,79,222,0.28,0.34,211.72
mp-5821,TaAgS3,0.171364364,6.7427645279999995,0.0,34,75,4.72,0.3,88.4
mp-7088,Ta2C,0.112562814,14.7686712,0.0,138,256,0.59,0.27,350.52
mp-7558,TaGe2,0.12439616699999999,10.9854727,0.0,102,144,0.11,0.21,246.84
mp-7834,TaSe2,0.152045448,7.7590031139999995,0.0,14,31,31.48,0.3,36.4
mp-7851,TaCo3,0.166496395,12.34903234,0.0,125,247,0.12,0.28,320.0
mp-861954,LiTaRu2,0.135798305,11.30085059,0.0,66,178,0.12,0.34,176.88
mp-862679,TaZn2,0.17810073699999998,11.49852302,0.0,89,152,0.0,0.25,222.5
mp-864764,Ta2FeOs,0.135957724,16.16472281,0.0,83,249,0.19,0.35,224.1
mp-865364,DyTaRu2,0.153624571,12.89998314,0.0,72,182,0.66,0.32,190.08
mp-865519,YTaRu2,0.133878385,11.1143429,0.0,64,178,1.08,0.34,171.52
mp-866075,MgTaIr2,0.137700365,15.45488094,0.0,185,215,-4.88,0.17,432.9
mp-867123,TaTiOs2,0.119628545,16.24397965,0.0,101,268,0.39,0.33,268.66
mp-867816,TaRu3,0.09954999099999999,13.47656305,0.0,117,265,0.82,0.31,306.54
mp-869,TaAl3,0.09673960699999999,6.813775634,0.0,104,133,0.18,0.19,247.52
mp-8732,Ta2Se,0.14986482,12.22023241,0.0,26,40,20.26,0.23,63.96
mp-977390,Ta3Ru,0.12001443099999999,15.76772962,0.0,85,266,0.03,0.36,231.2
