mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-1025571,WS2,0.082573343,4.475734302,0.951298889,2,19,-4.53,0.46,5.84
mp-1028698,WSe2,0.110243255,5.899583047,0.1749375,13,18,91.25,0.21,31.46
mp-1029655,Sr3WN3,0.228417368,5.462967484,0.0,30,57,0.1,0.27,76.2
mp-1113,BW2,0.108368517,16.75971914,0.0,152,330,0.04,0.3,395.2
mp-11227,Al12W,0.07939051400000001,3.8578125919999997,0.0,57,92,0.0,0.24,141.36
mp-11282,Be2W,0.114220195,10.61119771,0.0,170,218,0.01,0.19,404.6
mp-11328,P2W,0.073322923,9.119852404,0.0,132,188,0.12,0.21,319.44
mp-11696,As3W2,0.08306151,11.06042571,0.0,74,134,1.26,0.27,187.96
mp-1400,HfW2,0.11445983400000001,16.35379926,0.0,94,223,0.08,0.32,248.16
mp-1620,Si2W,0.07796509,9.68978012,0.0,189,218,0.06,0.16,438.48
mp-1821,WSe2,0.146822856,7.857112292,0.0,20,20,-4.74,0.13,45.2
mp-18773,WO3,0.472899506,6.736530705,0.08762125,86,59,2.58,0.01,173.72
mp-1894,WC,0.09443314900000001,15.35036905,0.0,279,385,0.13,0.21,675.18
mp-19163,SrWO4,0.487201196,6.02577764,0.0,29,63,0.46,0.3,75.4
mp-19407,MnWO4,0.499603797,6.873201233,0.0,55,127,0.39,0.31,144.1
mp-19443,WO3,0.467283687,6.656532446,0.0,101,197,1.93,0.28,258.56
mp-2157,Co3W,0.16374592300000002,12.92411901,0.0,142,279,0.14,0.28,363.52
mp-224,WS2,0.121333614,6.576662628999999,0.227115,20,27,401.13,0.2,48.0
mp-22693,Te2W,0.233957238,8.523376261000001,0.0,13,20,45.09,0.23,31.98
mp-23178,WCl6,0.060568165,2.887145358,0.126281429,0,1,0.78,0.29,0.0
mp-2420,PW,0.08768324400000001,12.10182226,0.0,117,222,0.42,0.28,299.52
mp-29481,Rb2WBr6,0.18270163899999997,4.40274788,0.0,4,15,3.8,0.38,11.04
mp-30337,Al5W,0.08969872,5.700302231,0.0,98,124,0.03,0.19,233.24
mp-30744,IrW,0.123637329,20.51773603,0.0,183,334,0.11,0.27,464.82
mp-30745,Ir3W,0.126910682,21.33034332,0.0,193,351,0.08,0.27,490.22
mp-30811,Ni4W,0.14842292,11.89007174,0.0,98,234,1.0,0.32,258.72
mp-30866,Rh3W,0.12203762300000001,14.09088559,0.0,132,283,0.05,0.3,343.2
mp-566278,WO3,0.466982805,6.652246333,0.32150875,82,194,1.07,0.32,216.48
mp-568827,Be12W,0.111945009,4.4449051289999995,0.0,158,144,0.09,0.1,347.6
mp-569803,B2W,0.088672976,12.27319821,0.0,224,321,0.02,0.22,546.56
mp-675,ZrW2,0.114255257,13.52058797,0.0,87,215,0.06,0.32,229.68
mp-7832,BW,0.103227515,15.33150244,0.0,196,342,0.19,0.26,493.92
mp-862288,AlFe2W,0.165523652,10.59554704,0.0,64,232,3.85,0.37,175.36
mp-862655,Ru3W,0.09547327800000001,13.99637553,0.0,162,309,0.03,0.28,414.72
mp-865810,TiTc2W,0.129954827,11.69356062,0.0,128,263,0.23,0.29,330.24
mp-976082,Mn2GaW,0.115941515,11.64361163,0.585265086,114,220,0.48,0.28,291.84
mp-979289,TaW3,0.11988976800000001,18.29084524,0.0,139,255,0.03,0.27,353.06
mp-9813,WS2,0.12097095599999999,6.557005455,0.0,20,27,294.55,0.21,48.4
mp-18803,Na2WO4,0.485145041,4.882345569,0.0,28,52,0.02,0.27,71.12
mp-18875,MgWO4,0.553484371,6.570296868,0.0,70,136,0.25,0.28,179.2
mp-18918,ZnWO4,0.547495426,7.4436353010000005,0.0,54,142,0.56,0.33,143.64
mp-19048,BaWO4,0.46392248799999997,6.023402682,0.0,24,56,0.46,0.31,62.88
mp-19789,Mn(BW)2,0.102469238,13.75827346,0.0,187,306,0.19,0.25,467.5
mp-27768,Co(BW)3,0.115452289,14.62245191,0.0,203,339,0.12,0.25,507.5
mp-29556,Tl2WCl6,0.131700874,5.23619038,0.0,5,15,0.82,0.36,13.6
mp-30234,Cs2WCl6,0.213508554,3.6987102110000003,0.0,4,8,0.95,0.31,10.48
mp-3503,Li6WN4,0.219086301,4.197507863,0.0,68,85,0.04,0.18,160.48
mp-541753,Cs2WBr6,0.199238628,4.465235394,0.0,3,12,3.41,0.39,8.34
mp-555403,K3WF6,0.278498398,3.501656521,0.0,3,34,-15.76,0.45,8.7
mp-568914,K2WCl6,0.171885581,3.134179521,0.0,4,12,2.4,0.35,10.8
mp-7573,Co(BW)2,0.12032504699999999,14.32375475,0.0,208,335,0.16,0.24,515.84
mp-861666,LiRu2W,0.132651951,11.75840689,0.0,85,227,0.0,0.33,226.1
mp-862725,ScTc2W,0.12883302300000002,11.07067143,0.0,84,223,0.26,0.33,223.44
mp-864650,Ta2OsW,0.117156384,18.39478294,0.0,133,272,0.09,0.29,343.14
mp-864990,Mn2AlW,0.106315529,10.37140883,0.0,127,236,0.13,0.27,322.58
mp-865656,TiMn2W,0.127425394,10.69468687,0.0,120,243,0.53,0.29,309.6
mp-866114,HfTc2W,0.121145535,14.257435599999999,0.0,119,244,0.38,0.29,307.02
mp-972810,SiTc2W,0.104094232,11.82085443,0.0,97,278,0.04,0.34,259.96
mp-982725,Nb2RuW,0.11598413,11.74882527,0.0,113,200,0.16,0.26,284.76
mp-19005,Y6WO12,0.492748525,5.691973536,0.0,65,142,0.21,0.3,169.0
mp-19260,Li2WO4,0.537380462,5.625991742999999,0.0,26,69,6.52,0.33,69.16
mp-19387,CdWO4,0.513972321,7.530508482,0.0,41,118,0.78,0.34,109.88
mp-19421,FeWO4,0.534280346,7.09024477,0.0,54,141,0.62,0.33,143.64
mp-22759,CoBW,0.13121948,13.55539266,0.0,193,335,0.22,0.26,486.36
mp-27475,WSCl4,0.059908047,2.8034848880000003,0.9627615620000001,1,1,3.49,0.27,2.54
mp-30227,Rb2WCl6,0.193183517,3.49174967,0.0,4,10,0.97,0.31,10.48
mp-570568,W2NCl8,0.065990751,3.517731997,0.0,1,4,-29.31,0.36,2.72
mp-862622,BeRu2W,0.09605626,12.19253163,0.0,119,270,0.0,0.31,311.78
mp-865664,TiRe2W,0.121651226,16.25979848,0.0,146,285,0.05,0.28,373.76
mp-972209,Ta2TcW,0.123254222,16.03682564,0.0,119,250,0.14,0.3,309.4
mp-972337,Ti2IrW,0.145341379,12.73920882,0.0,90,191,0.01,0.3,234.0
mp-989524,LaWN3,0.179051883,9.211968837999999,0.0,57,170,3.82,0.35,153.9
mp-19420,Sr2MgWO6,0.574045699,6.167197411,0.680335,72,127,0.05,0.26,181.44
mp-977545,ZrTc2W,0.12081496800000001,11.85792313,0.0,109,198,0.44,0.27,276.86
mp-18848,Sr2MgWO6,0.57255916,6.151226943999999,0.0,76,179,0.07,0.31,199.12
mp-504723,Ba2NiWO6,0.590345706,7.368892592000001,0.0,65,122,0.48,0.27,165.1
