,atomic_mass,poissons_ratio,atomic_radius,electrical_resistivity,molar_volume,thermal_conductivity,bulk_modulus,youngs_modulus,group,is_noble_gas,is_transition_metal,is_post_transition_metal,is_rare_earth_metal,is_metalloid,is_alkali,is_alkaline,is_halogen,is_lanthanoid,is_actinoid,van_der_waals_radius,velocity_of_sound,critical_temperature,superconduction_temperature,average_cationic_radius,average_anionic_radius,ionic_radii,boiling_point,vickers_hardness,average_ionic_radius,melting_point,rigidity_modulus,Z,number,density_of_solid,coefficient_of_linear_thermal_expansion
Ba,137.327,,2.15,3.4e-07,38.16,18.0,9.6,13.0,2,False,False,False,False,False,False,True,False,False,False,2.68,1620.0,,,1.49,0.0,{2: 1.49},2143.0,,1.49,1000.0,4.9,56,56,3510.0,2.06e-05
Cr,51.9961,0.21,1.4,1.27e-07,7.23,94.0,160.0,279.0,6,False,True,False,False,False,False,False,False,False,False,,5940.0,,,0.94,0.0,{2: 0.94},2944.0,1060.0,0.94,2180.0,115.0,24,24,7140.0,4.9e-06
Cs,132.9054519,,2.6,2.1e-07,70.94,36.0,1.6,1.7,1,False,False,False,False,False,True,False,False,False,False,3.43,,1938.0,,1.81,0.0,{1: 1.81},944.0,,1.81,301.59,,55,55,1879.0,
Eu,151.964,0.15,1.85,9e-07,28.97,14.0,8.3,18.0,9,False,False,False,True,False,False,False,False,True,False,,,,,1.1985000000000001,0.0,"{2: 1.31, 3: 1.087}",1800.0,167.0,1.1985000000000001,1099.0,7.9,63,63,5244.0,3.5e-05
Fe,55.845,0.29,1.4,1e-07,7.09,80.0,170.0,211.0,8,False,True,False,False,False,False,False,False,False,False,,4910.0,,,0.8525,0.0,"{2: 0.92, 3: 0.785}",3134.0,608.0,0.8525,1811.0,82.0,26,26,7874.0,1.18e-05
K,39.0983,,2.2,7.5e-08,45.94,100.0,3.1,,1,False,False,False,False,False,True,False,False,False,False,2.75,2000.0,2223.0,,1.52,0.0,{1: 1.52},1032.0,,1.52,336.53,1.3,19,19,856.0,
Li,6.941,,1.45,9.5e-08,13.02,85.0,11.0,4.9,1,False,False,False,False,False,True,False,False,False,False,1.82,6000.0,3223.0,,0.9,0.0,{1: 0.9},1615.0,,0.9,453.69,4.2,3,3,535.0,4.6e-05
Mn,54.938045,,1.4,1.44e-06,7.35,7.8,120.0,198.0,7,False,True,False,False,False,False,False,False,False,False,,5150.0,,,0.6483333333333333,0.0,"{2: 0.97, 3: 0.785, 4: 0.67, 5: 0.47, 6: 0.395, 7: 0.6}",2334.0,,0.6483333333333333,1519.0,,25,25,7470.0,2.17e-05
Mo,95.94,0.31,1.45,5.5e-08,9.38,139.0,230.0,329.0,6,False,True,False,False,False,False,False,False,False,False,,6190.0,,0.915,0.775,0.0,"{3: 0.83, 4: 0.79, 5: 0.75, 6: 0.73}",4912.0,1530.0,0.775,2896.0,20.0,42,42,10280.0,4.8e-06
Na,22.98976928,,1.8,4.9e-08,23.78,140.0,6.3,10.0,1,False,False,False,False,False,True,False,False,False,False,2.27,3200.0,2573.0,,1.16,0.0,{1: 1.16},1156.0,,1.16,370.87,3.3,11,11,968.0,7.1e-05
Nb,92.90638,0.4,1.45,1.52e-07,10.83,54.0,170.0,105.0,5,False,True,False,False,False,False,False,False,False,False,,3480.0,,9.25,0.82,0.0,"{3: 0.86, 4: 0.82, 5: 0.78}",5017.0,1320.0,0.82,2750.0,38.0,41,41,8570.0,7.3e-06
P,30.973762,,1.0,1e-07,17.02,0.236,11.0,,15,False,False,False,False,False,False,False,False,False,False,1.8,,994.0,,0.55,0.0,"{3: 0.58, 5: 0.52}",550.0,,0.55,317.3,,15,15,1823.0,
Rb,85.4678,,2.35,1.33e-07,55.76,58.0,2.5,2.4,1,False,False,False,False,False,True,False,False,False,False,3.03,1300.0,2093.0,,1.66,0.0,{1: 1.66},961.0,,1.66,312.46,,37,37,1532.0,
Ta,180.94788,0.34,1.45,1.35e-07,10.85,57.0,200.0,186.0,5,False,True,False,False,False,False,False,False,False,False,,3400.0,,4.47,0.82,0.0,"{3: 0.86, 4: 0.82, 5: 0.78}",5731.0,873.0,0.82,3290.0,69.0,73,73,16650.0,6.3e-06
V,50.9415,0.37,1.35,2e-07,8.32,31.0,160.0,128.0,5,False,True,False,False,False,False,False,False,False,False,,4560.0,,5.4,0.7775,0.0,"{2: 0.93, 3: 0.78, 4: 0.72, 5: 0.68}",3680.0,628.0,0.7775,2183.0,47.0,23,23,6110.0,8.4e-06
W,183.84,0.28,1.35,5.4e-08,9.47,170.0,310.0,411.0,6,False,True,False,False,False,False,False,False,False,False,,5174.0,,0.015,0.7666666666666666,0.0,"{4: 0.8, 5: 0.76, 6: 0.74}",5828.0,3430.0,0.7666666666666666,3695.0,161.0,74,74,19250.0,4.5e-06
