,atomic_mass,poissons_ratio,atomic_radius,electrical_resistivity,molar_volume,thermal_conductivity,bulk_modulus,youngs_modulus,group,is_noble_gas,is_transition_metal,is_post_transition_metal,is_rare_earth_metal,is_metalloid,is_alkali,is_alkaline,is_halogen,is_lanthanoid,is_actinoid,van_der_waals_radius,velocity_of_sound,critical_temperature,superconduction_temperature,average_cationic_radius,average_anionic_radius,ionic_radii,boiling_point,vickers_hardness,average_ionic_radius,melting_point,rigidity_modulus,Z,number,density_of_solid,coefficient_of_linear_thermal_expansion
Ag,107.8682,0.37,1.6,1.63e-08,10.27,430.0,100.0,83.0,11,False,True,False,False,False,False,False,False,False,False,1.72,2600.0,,,1.0866666666666667,0.0,"{1: 1.29, 2: 1.08, 3: 0.89}",2435.0,251.0,1.0866666666666667,1234.93,30.0,47,47,10490.0,1.89e-05
Al,26.9815386,0.35,1.25,2.7e-08,10.0,235.0,76.0,70.0,13,False,False,True,False,False,False,False,False,False,False,1.84,5100.0,,1.175,0.675,0.0,{3: 0.675},2792.0,167.0,0.675,933.47,26.0,13,13,2700.0,2.31e-05
Au,196.966569,0.44,1.35,2.2e-08,10.21,320.0,220.0,78.0,11,False,True,False,False,False,False,False,False,False,False,1.66,1740.0,,,1.07,0.0,"{1: 1.51, 3: 0.99, 5: 0.71}",3129.0,216.0,1.07,1337.33,27.0,79,79,19300.0,1.42e-05
Cu,63.546,0.34,1.35,1.72e-08,7.11,400.0,140.0,130.0,11,False,True,False,False,False,False,False,False,False,False,1.4,3570.0,,,0.82,0.0,"{1: 0.91, 2: 0.87, 3: 0.68}",3200.0,369.0,0.82,1357.77,48.0,29,29,8920.0,1.65e-05
Ir,192.217,0.26,1.35,4.7e-08,8.52,150.0,320.0,528.0,9,False,True,False,False,False,False,False,False,False,False,,4825.0,,0.11,0.765,0.0,"{3: 0.82, 4: 0.765, 5: 0.71}",4701.0,1760.0,0.765,2739.0,210.0,77,77,22650.0,6.4e-06
Ni,58.6934,0.31,1.35,7.2e-08,6.59,91.0,180.0,200.0,10,False,True,False,False,False,False,False,False,False,False,1.63,4970.0,,,0.74,0.0,{3: 0.74},3186.0,638.0,0.74,1728.0,76.0,28,28,8908.0,1.34e-05
Pb,207.2,0.44,1.8,2.1e-07,18.26,35.0,46.0,16.0,14,False,False,True,False,False,False,False,False,False,False,2.02,1260.0,,7.2,1.1225,0.0,"{2: 1.33, 4: 0.915}",2022.0,,1.1225,600.61,5.6,82,82,11340.0,2.89e-05
Pd,106.42,0.39,1.4,1.08e-07,8.56,72.0,180.0,121.0,10,False,True,False,False,False,False,False,False,False,False,1.63,3070.0,,,0.84625,0.0,"{1: 0.73, 2: 1.0, 3: 0.9, 4: 0.755}",3236.0,461.0,0.84625,1828.05,44.0,46,46,12023.0,1.18e-05
Pt,195.084,0.38,1.35,1.06e-07,9.09,72.0,230.0,168.0,10,False,True,False,False,False,False,False,False,False,False,1.75,2680.0,,,0.805,0.0,"{2: 0.94, 4: 0.765, 5: 0.71}",4098.0,549.0,0.805,2041.4,61.0,78,78,21090.0,8.8e-06
Rh,102.9055,0.26,1.35,4.3e-08,8.28,150.0,380.0,275.0,9,False,True,False,False,False,False,False,False,False,False,,4700.0,,,0.745,0.0,"{3: 0.805, 4: 0.74, 5: 0.69}",3968.0,1246.0,0.745,2237.0,150.0,45,45,12450.0,8.2e-06
Sr,87.62,0.28,2.0,1.35e-07,33.94,35.0,,,2,False,False,False,False,False,False,True,False,False,False,2.49,,,,1.32,0.0,{2: 1.32},1655.0,,1.32,1050.0,6.1,38,38,2630.0,2.25e-05
Th,232.03806,0.27,1.8,1.5e-07,19.8,54.0,54.0,79.0,4,False,False,False,True,False,False,False,False,False,True,,2490.0,,1.38,1.08,0.0,{4: 1.08},5093.0,350.0,1.08,2115.0,31.0,90,90,11724.0,1.1e-05
Yb,173.04,0.21,1.75,2.5e-07,24.84,39.0,31.0,24.0,16,False,False,False,True,False,False,False,False,True,False,,1590.0,,,1.084,0.0,"{2: 1.16, 3: 1.008}",1469.0,206.0,1.084,1097.0,9.9,70,70,6570.0,2.63e-05
