element,atomic_mass,poissons_ratio,atomic_radius,electrical_resistivity,molar_volume,thermal_conductivity,bulk_modulus,youngs_modulus,group,is_noble_gas,is_transition_metal,is_post_transition_metal,is_rare_earth_metal,is_metalloid,is_alkali,is_alkaline,is_halogen,is_lanthanoid,is_actinoid,van_der_waals_radius,velocity_of_sound,critical_temperature,superconduction_temperature,average_cationic_radius,average_anionic_radius,ionic_radii,boiling_point,vickers_hardness,average_ionic_radius,melting_point,rigidity_modulus,Z,number,density_of_solid,coefficient_of_linear_thermal_expansion
H,1.00794,,0.25,,11.42,0.1805,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.2,1270,33,,0,0,{},20.28,,0,14.01 K,,1,1,,
He,4.002602,,,,21,0.1513,,,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.4,970,5.19,,0,0,{},4.22,,0,0.95 K,,2,2,,
Li,6.941,,1.45,9.50E-08,13.02,85,11,4.9,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.82,6000,3223,,0.9,0,{1: 0.9},1615,,0.9,453.69 K,4.2,3,3,535,4.60E-05
Be,9.012182,0.032,1.05,3.80E-08,4.85,190,130,287,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.53,13000,,0.026,0.59,0,{2: 0.59},2742,1670,0.59,1560.0 K,132,4,4,1848,1.13E-05
B,10.811,,0.85,1E+12,4.39,27,320,,13,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.92,16200,,,0.41,0,{3: 0.41},4200,49000,0.41,2349.0 K,,5,5,2460,6.00E-06
C,12.0107,,0.7,1.00E-05,5.29,140,33,,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.7,18350,,,0.3,0,{4: 0.3},4300,,0.3,3800.0 K,,6,6,2267,7.10E-06
N,14.0067,,0.65,,13.54,0.02583,,,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.55,333.6,126.2,,0.285,1.32,"{-3: 1.32, 3: 0.3, 5: 0.27}",77.36,,0.63,63.05 K,,7,7,,
O,15.9994,,0.6,,17.36,0.02658,,,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.52,317.5,154.6,,0,1.26,{-2: 1.26},90.2,,1.26,54.8 K,,8,8,,
F,18.9984032,,0.5,,11.2,0.0277,,,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.47,,144,,0.22,1.19,"{-1: 1.19, 7: 0.22}",85.03,,0.705,53.53 K,,9,9,,
Ne,20.1797,,,,13.23,0.0491,,,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.54,936,44.4,,0,0,{},27.07,,0,24.56 K,,10,10,,
Na,22.98976928,,1.8,4.90E-08,23.78,140,6.3,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.27,3200,2573,,1.16,0,{1: 1.16},1156,,1.16,370.87 K,3.3,11,11,968,7.10E-05
Mg,24.305,0.29,1.5,4.40E-08,14,160,45,45,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.73,4602,,,0.86,0,{2: 0.86},1363,,0.86,923.0 K,17,12,12,1738,8.20E-06
Al,26.9815386,0.35,1.25,2.70E-08,10,235,76,70,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.84,5100,,1.175,0.675,0,{3: 0.675},2792,167,0.675,933.47 K,26,13,13,2700,2.31E-05
Si,28.0855,,1.1,0.001,12.06,150,100,47,14,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.1,2200,,,0.54,0,{4: 0.54},3173,,0.54,1687.0 K,,14,14,2330,2.60E-06
P,30.973762,,1,1.00E-07,17.02,0.236,11,,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.8,,994,,0.55,0,"{3: 0.58, 5: 0.52}",550,,0.55,317.3 K,,15,15,1823,
S,32.065,,1,1.00E+23,15.53,0.205,7.7,,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.8,,1314,,0.47,1.7,"{-2: 1.7, 4: 0.51, 6: 0.43}",717.87,,0.88,388.36 K,,16,16,1960,
Cl,35.453,,1,10000000000,17.39,0.0089,1.1,,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.75,206,417,,0.335,1.67,"{-1: 1.67, 5: 0.26, 7: 0.41}",239.11,,0.78,171.6 K,,17,17,,
Ar,39.948,,0.71,,22.56,0.01772,,,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.88,319,150.8,,0,0,{},87.3,,0,83.8 K,,18,18,,
K,39.0983,,2.2,7.50E-08,45.94,100,3.1,,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.75,2000,2223,,1.52,0,{1: 1.52},1032,,1.52,336.53 K,1.3,19,19,856,
Ca,40.078,0.31,1.8,3.40E-08,26.2,200,17,20,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2.31,3810,,,1.14,0,{2: 1.14},1757,,1.14,1115.0 K,7.4,20,20,1550,2.23E-05
Sc,44.955912,0.28,1.6,5.50E-07,15,16,57,74,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.11,,,0.05,0.885,0,{3: 0.885},3103,,0.885,1814.0 K,29,21,21,2985,1.02E-05
Ti,47.867,0.32,1.4,4.00E-07,10.64,22,110,116,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4140,,0.4,0.851666667,0,"{2: 1.0, 3: 0.81, 4: 0.745}",3560,970,0.851666667,1941.0 K,44,22,22,4507,8.60E-06
V,50.9415,0.37,1.35,2.00E-07,8.32,31,160,128,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4560,,5.4,0.7775,0,"{2: 0.93, 3: 0.78, 4: 0.72, 5: 0.68}",3680,628,0.7775,2183.0 K,47,23,23,6110,8.40E-06
Cr,51.9961,0.21,1.4,1.27E-07,7.23,94,160,279,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5940,,,0.94,0,{2: 0.94},2944,1060,0.94,2180.0 K,115,24,24,7140,4.90E-06
Mn,54.938045,,1.4,1.44E-06,7.35,7.8,120,198,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5150,,,0.648333333,0,"{2: 0.97, 3: 0.785, 4: 0.67, 5: 0.47, 6: 0.395, 7: 0.6}",2334,,0.648333333,1519.0 K,,25,25,7470,2.17E-05
Fe,55.845,0.29,1.4,1.00E-07,7.09,80,170,211,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4910,,,0.8525,0,"{2: 0.92, 3: 0.785}",3134,608,0.8525,1811.0 K,82,26,26,7874,1.18E-05
Co,58.933195,0.31,1.35,6.00E-08,6.67,100,180,209,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4720,,,0.768333333,0,"{2: 0.885, 3: 0.75, 4: 0.67}",3200,1043,0.768333333,1768.0 K,75,27,27,8900,1.30E-05
Ni,58.6934,0.31,1.35,7.20E-08,6.59,91,180,200,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.63,4970,,,0.74,0,{3: 0.74},3186,638,0.74,1728.0 K,76,28,28,8908,1.34E-05
Cu,63.546,0.34,1.35,1.72E-08,7.11,400,140,130,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.4,3570,,,0.82,0,"{1: 0.91, 2: 0.87, 3: 0.68}",3200,369,0.82,1357.77 K,48,29,29,8920,1.65E-05
Zn,65.409,0.25,1.35,6.00E-08,9.16,120,70,108,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.39,3700,,0.85,0.88,0,{2: 0.88},1180,,0.88,692.68 K,43,30,30,7140,3.02E-05
Ga,69.723,,1.3,1.40E-07,11.8,29,,,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.87,2740,,1.083,0.76,0,{3: 0.76},2477,,0.76,302.91 K,,31,31,5904,0.00012
Ge,72.64,,1.25,0.0005,13.63,60,,,14,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.11,5400,,,0.77,0,"{2: 0.87, 4: 0.67}",3093,,0.77,1211.4 K,,32,32,5323,6.00E-06
As,74.9216,,1.15,3.30E-07,12.95,50,22,8,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.85,,1700,,0.66,0,"{3: 0.72, 5: 0.6}",887,,0.66,1090.0 K,,33,33,5727,
Se,78.96,0.33,1.15,1.00E-08,16.42,0.52,8.3,10,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.9,3350,1766,,0.6,1.84,"{-2: 1.84, 4: 0.64, 6: 0.56}",958,,1.013333333,494.0 K,3.7,34,34,4819,
Br,79.904,,1.15,1.00E+18,19.78,0.12,1.9,,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.85,,586,,0.57,1.82,"{-1: 1.82, 3: 0.73, 5: 0.45, 7: 0.53}",332,,0.8825,265.8 K,,35,35,,
Kr,83.798,,,,27.99,0.00943,,,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.02,1120,209.4,,0,0,{},119.93,,0,115.79 K,,36,36,,
Rb,85.4678,,2.35,1.33E-07,55.76,58,2.5,2.4,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.03,1300,2093,,1.66,0,{1: 1.66},961,,1.66,312.46 K,,37,37,1532,
Sr,87.62,0.28,2,1.35E-07,33.94,35,,,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2.49,,,,1.32,0,{2: 1.32},1655,,1.32,1050.0 K,6.1,38,38,2630,2.25E-05
Y,88.90585,0.24,1.8,6.00E-07,19.88,17,41,64,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3300,,1.3,1.04,0,{3: 1.04},3609,,1.04,1799.0 K,26,39,39,4472,1.06E-05
Zr,91.224,0.34,1.55,4.33E-07,14.02,23,,68,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3800,,0.61,0.86,0,{4: 0.86},4682,903,0.86,2128.0 K,33,40,40,6511,5.70E-06
Nb,92.90638,0.4,1.45,1.52E-07,10.83,54,170,105,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3480,,9.25,0.82,0,"{3: 0.86, 4: 0.82, 5: 0.78}",5017,1320,0.82,2750.0 K,38,41,41,8570,7.30E-06
Mo,95.94,0.31,1.45,5.50E-08,9.38,139,230,329,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6190,,0.915,0.775,0,"{3: 0.83, 4: 0.79, 5: 0.75, 6: 0.73}",4912,1530,0.775,2896.0 K,20,42,42,10280,4.80E-06
