,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull
0,mp-1014229,Ti2Zn,"{'Ti': 2.0, 'Zn': 1.0}",0.1639185929850974,5.4624418431294846,"{'G_Reuss': 29.0, 'G_VRH': 47.0, 'G_Voigt': 65.0, 'G_Voigt_Reuss_Hill': 47.0, 'K_Reuss': 95.0, 'K_VRH': 96.0, 'K_Voigt': 98.0, 'K_Voigt_Reuss_Hill': 96.0, 'elastic_anisotropy': 6.32, 'elastic_tensor': [[156.0, 33.0, 94.0, 0.0, 0.0, 0.0], [33.0, 156.0, 94.0, 0.0, 0.0, 0.0], [94.0, 94.0, 123.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 112.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 112.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 30.0]], 'homogeneous_poisson': 0.29, 'poisson_ratio': 0.29, 'universal_anisotropy': 6.32, 'elastic_tensor_original': [[156.4590707669416, 33.340796391765956, 99.84686667877959, -9.199942161440681e-06, 9.199942161440681e-06, 0.0], [33.34075211575248, 156.45907076693672, 99.84680038127765, -2.1622162302105344e-08, 1.8605922310420063e-05, 0.0], [88.80488943855717, 88.80494843872569, 122.93097630719306, -1.1200031988778679e-05, 2.2600064548785547e-05, 0.0], [0.0, 2.071417369063893e-07, 0.0, 112.14182518110718, -2.0000077469903386e-07, 1.0460655676716719e-05], [2.0921316548861506e-05, 0.0, 0.0, 2.0081519980024673e-07, 112.14182518110717, 1.0357092639609866e-07], [0.29863305811247937, -0.2986332564023734, 0.0, 0.0, 1.702785120329934e-09, 29.861770198797604]], 'compliance_tensor': [[15.2, 7.0, -17.0, 0.0, -0.0, 0.0], [7.0, 15.2, -17.0, 0.0, -0.0, 0.0], [-17.0, -17.0, 34.3, -0.0, 0.0, -0.0], [0.0, 0.0, -0.0, 8.9, -0.0, -0.0], [-0.0, -0.0, 0.0, -0.0, 8.9, -0.0], [0.0, 0.0, -0.0, -0.0, -0.0, 33.5]], 'warnings': [], 'nsites': 3}",0.0
1,mp-1014230,TiZn,"{'Ti': 1.0, 'Zn': 1.0}",0.17465114469285195,6.036542541370883,"{'G_Reuss': 44.0, 'G_VRH': 56.0, 'G_Voigt': 69.0, 'G_Voigt_Reuss_Hill': 56.0, 'K_Reuss': 115.0, 'K_VRH': 115.0, 'K_Voigt': 115.0, 'K_Voigt_Reuss_Hill': 115.0, 'elastic_anisotropy': 2.85, 'elastic_tensor': [[147.0, 99.0, 99.0, 0.0, 0.0, 0.0], [99.0, 147.0, 99.0, 0.0, 0.0, 0.0], [99.0, 99.0, 147.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 99.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 99.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 99.0]], 'homogeneous_poisson': 0.29, 'poisson_ratio': 0.29, 'universal_anisotropy': 2.85, 'elastic_tensor_original': [[146.50218493620991, 98.78524677756805, 98.78524677756805, 0.0, 0.0, 0.0], [98.78524677756805, 146.50218493620994, 98.78524677756805, 0.0, 0.0, 0.0], [98.78524677756805, 98.78524677756805, 146.50218493620994, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 98.65598620323328, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 98.65598620323333, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 98.65598620323328]], 'compliance_tensor': [[14.9, -6.0, -6.0, 0.0, 0.0, 0.0], [-6.0, 14.9, -6.0, 0.0, 0.0, 0.0], [-6.0, -6.0, 14.9, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 10.1, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 10.1, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 10.1]], 'warnings': [], 'nsites': 2}",0.0
2,mp-1017983,TiMo3,"{'Ti': 1.0, 'Mo': 3.0}",0.13301771505860796,8.78824971838325,,0.0
3,mp-1017985,TiAg,"{'Ti': 1.0, 'Ag': 1.0}",0.22601427981911038,7.340358574162901,"{'G_Reuss': 32.0, 'G_VRH': 35.0, 'G_Voigt': 37.0, 'G_Voigt_Reuss_Hill': 35.0, 'K_Reuss': 110.0, 'K_VRH': 111.0, 'K_Voigt': 111.0, 'K_Voigt_Reuss_Hill': 111.0, 'elastic_anisotropy': 0.8, 'elastic_tensor': [[145.0, 101.0, 90.0, 0.0, 0.0, 0.0], [101.0, 145.0, 90.0, 0.0, 0.0, 0.0], [90.0, 90.0, 145.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 55.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 55.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 25.0]], 'homogeneous_poisson': 0.36, 'poisson_ratio': 0.36, 'universal_anisotropy': 0.8, 'elastic_tensor_original': [[144.88720097185663, 101.1827707750975, 97.19799034790483, 0.0, 0.0, 0.0], [101.1827707750975, 144.88720097185663, 97.19799034790483, 0.0, 0.0, 0.0], [82.19978207259419, 82.19978207259419, 144.71437219968567, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 54.53390624587729, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 54.53390624587729, 0.0], [0.2502835191326665, -0.250283519132666, 0.0, 0.0, 0.0, 25.02729090576689]], 'compliance_tensor': [[15.1, -7.7, -4.6, 0.0, 0.0, 0.0], [-7.7, 15.1, -4.6, 0.0, 0.0, -0.0], [-4.6, -4.6, 12.6, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 18.3, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 18.3, 0.0], [0.0, -0.0, 0.0, 0.0, 0.0, 40.0]], 'warnings': [], 'nsites': 4}",0.0
4,mp-1018028,TiS,"{'Ti': 1.0, 'S': 1.0}",0.18213033035592233,4.442034010283959,"{'G_Reuss': 97.0, 'G_VRH': 101.0, 'G_Voigt': 105.0, 'G_Voigt_Reuss_Hill': 101.0, 'K_Reuss': 139.0, 'K_VRH': 141.0, 'K_Voigt': 142.0, 'K_Voigt_Reuss_Hill': 141.0, 'elastic_anisotropy': 0.44, 'elastic_tensor': [[228.0, 79.0, 87.0, 0.0, 0.0, 0.0], [79.0, 228.0, 87.0, 0.0, 0.0, 0.0], [87.0, 87.0, 318.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 138.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 138.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 75.0]], 'homogeneous_poisson': 0.21, 'poisson_ratio': 0.21, 'universal_anisotropy': 0.44, 'elastic_tensor_original': [[225.81835188088252, 81.52071190323538, 89.56207384640814, 0.0, 0.0, 0.0], [80.62670697863682, 225.57773555580997, 88.9826687246483, 0.0, 0.0, 0.0], [85.69830793444149, 85.6982423168026, 318.1503330810824, 0.0, 0.0, 0.0], [1.9800015592824494e-06, -1.1133298698130235e-06, 7.033357316016437e-07, 138.08147190367703, 0.0, 0.0], [-2.666671859354104e-08, 7.110014466129097e-06, 6.673346910248046e-06, 0.0, 138.40764313832287, 0.0], [-4.3699980985342095e-06, -1.996672088030872e-06, -2.5600038463154777e-06, 0.0, 0.0, 77.36417319536106]], 'compliance_tensor': [[5.3, -1.4, -1.1, -0.0, -0.0, -0.0], [-1.4, 5.3, -1.1, -0.0, 0.0, -0.0], [-1.1, -1.1, 3.7, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 7.2, -0.0, -0.0], [0.0, -0.0, 0.0, -0.0, 7.2, -0.0], [-0.0, -0.0, 0.0, -0.0, 0.0, 13.4]], 'warnings': [], 'nsites': 2}",0.0
5,mp-1018123,TiAu2,"{'Ti': 1.0, 'Au': 2.0}",0.24807917200765672,14.162674008729564,"{'G_Reuss': -92.0, 'G_VRH': -17.0, 'G_Voigt': 57.0, 'G_Voigt_Reuss_Hill': -17.0, 'K_Reuss': 129.0, 'K_VRH': 130.0, 'K_Voigt': 131.0, 'K_Voigt_Reuss_Hill': 130.0, 'elastic_anisotropy': -8.12, 'elastic_tensor': [[132.0, 149.0, 96.0, 0.0, 0.0, 0.0], [149.0, 132.0, 96.0, 0.0, 0.0, 0.0], [96.0, 96.0, 231.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 64.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 64.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 108.0]], 'homogeneous_poisson': 0.57, 'poisson_ratio': 0.57, 'universal_anisotropy': -8.12, 'elastic_tensor_original': [[131.61110290810518, 149.46002489483442, 87.8854771395763, 1.0200286646354321e-05, -1.0200286646354321e-05, 0.0], [149.46002489483448, 131.61110290810518, 87.8854771395763, -1.0200286646216358e-05, -1.0403875197411857e-05, 0.0], [103.35349914730882, 103.35349914730882, 230.56703165293584, 2.6599515678031452e-05, 2.6599515678031452e-05, 0.0], [0.0, -1.477842376964043e-07, 0.0, 63.79569246856988, 1.1111963502439194e-06, -7.389213621663647e-08], [-1.477842376964043e-07, 0.0, 0.0, -1.111196350236326e-06, 63.79569246856988, -7.389202852324312e-08], [1.0823724526737053, -1.0823724526736462, 0.0, 1.2999860109594892e-06, -1.2536478162751677e-08, 108.23077883695258]], 'compliance_tensor': [[-25.5, 30.5, -2.1, -0.0, -0.0, -0.0], [30.5, -25.5, -2.1, 0.0, 0.0, 0.0], [-2.1, -2.1, 6.0, 0.0, 0.0, 0.0], [-0.0, 0.0, 0.0, 15.7, 0.0, 0.0], [-0.0, 0.0, 0.0, 0.0, 15.7, 0.0], [-0.0, 0.0, 0.0, 0.0, 0.0, 9.2]], 'warnings': ['Elastic tensor has a negative eigenvalue', 'c11 and c12 are within 5% or c12 is greater than c11', 'One or more K, G below 2 GPa'], 'nsites': 3}",0.0
6,mp-1018124,Ti2Rh,"{'Ti': 2.0, 'Rh': 1.0}",0.14844111420265715,7.08866045352241,"{'G_Reuss': 81.0, 'G_VRH': 82.0, 'G_Voigt': 83.0, 'G_Voigt_Reuss_Hill': 82.0, 'K_Reuss': 157.0, 'K_VRH': 157.0, 'K_Voigt': 157.0, 'K_Voigt_Reuss_Hill': 157.0, 'elastic_anisotropy': 0.12, 'elastic_tensor': [[265.0, 91.0, 115.0, 0.0, 0.0, 0.0], [91.0, 265.0, 115.0, 0.0, 0.0, 0.0], [115.0, 115.0, 243.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 96.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 96.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 75.0]], 'homogeneous_poisson': 0.28, 'poisson_ratio': 0.28, 'universal_anisotropy': 0.12, 'elastic_tensor_original': [[265.3679852637198, 91.04660325291522, 128.62334247903277, 0.0, -2.620027068951639e-05, 0.0], [91.04660325292053, 265.3679852637198, 128.6233424790328, -2.6200270692947586e-05, -2.614708042511768e-05, 0.0], [101.22626555858187, 101.22626555858187, 243.4289273806877, 0.0, 0.0, 0.0], [0.0, -1.945699258405137e-05, 0.0, 95.71327386383871, 7.666635522154075e-08, -9.72849943718249e-06], [-1.945699258673326e-05, 0.0, 0.0, -7.666635522152177e-08, 95.7132738638387, -9.728493363761526e-06], [0.7496516398749699, -0.749651639874861, 0.0, -2.500023976929852e-07, -2.267383810797089e-07, 74.96216605873369]], 'compliance_tensor': [[4.9, -0.9, -1.9, -0.0, 0.0, 0.0], [-0.9, 4.9, -1.9, 0.0, -0.0, 0.0], [-1.9, -1.9, 5.9, 0.0, 0.0, 0.0], [-0.0, 0.0, 0.0, 10.4, 0.0, 0.0], [0.0, -0.0, 0.0, 0.0, 10.4, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 13.3]], 'warnings': [], 'nsites': 3}",0.0
7,mp-1018125,Ti2Re,"{'Ti': 2.0, 'Re': 1.0}",0.1410078938882203,9.867437943965848,,0.0
8,mp-1025170,Ti3B4,"{'Ti': 3.0, 'B': 4.0}",0.13099301136756655,4.557547483685545,"{'G_Reuss': 211.0, 'G_VRH': 213.0, 'G_Voigt': 216.0, 'G_Voigt_Reuss_Hill': 213.0, 'K_Reuss': 224.0, 'K_VRH': 225.0, 'K_Voigt': 226.0, 'K_Voigt_Reuss_Hill': 225.0, 'elastic_anisotropy': 0.12, 'elastic_tensor': [[415.0, 114.0, 98.0, 0.0, 0.0, 0.0], [114.0, 508.0, 52.0, 0.0, 0.0, 0.0], [98.0, 52.0, 578.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 221.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 239.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 207.0]], 'homogeneous_poisson': 0.14, 'poisson_ratio': 0.14, 'universal_anisotropy': 0.12, 'elastic_tensor_original': [[578.071972880422, 98.78091147632449, 52.513481780095745, 0.0, 0.0, 0.0], [97.99888850085398, 415.34251577939557, 113.17540739523227, 0.0, 0.0, 0.0], [51.42868841968054, 114.8155504441293, 507.5074324553301, 0.0, 0.0, 0.0], [-1.709665077492631e-05, -7.796671221970252e-06, -2.1550019429124957e-05, 207.47866473666167, 0.0, 0.0], [4.6666721567977584e-06, 7.16640652301083e-07, 8.59670408139598e-06, 0.0, 220.526198843588, 0.0], [-2.8023490151834674e-05, 1.3220033666639008e-05, -9.615369197152546e-05, 0.0, 0.0, 239.2068403087546]], 'compliance_tensor': [[2.7, -0.6, -0.4, 0.0, -0.0, -0.0], [-0.6, 2.1, -0.1, 0.0, 0.0, 0.0], [-0.4, -0.1, 1.8, -0.0, 0.0, 0.0], [0.0, 0.0, -0.0, 4.5, -0.0, -0.0], [-0.0, 0.0, 0.0, -0.0, 4.2, -0.0], [-0.0, 0.0, 0.0, -0.0, -0.0, 4.8]], 'warnings': [], 'nsites': 7}",0.0
9,mp-1048,TiNi,"{'Ti': 1.0, 'Ni': 1.0}",0.1552981353489944,6.4129856237257545,"{'G_Reuss': 19.0, 'G_VRH': 38.0, 'G_Voigt': 58.0, 'G_Voigt_Reuss_Hill': 38.0, 'K_Reuss': 150.0, 'K_VRH': 152.0, 'K_Voigt': 155.0, 'K_Voigt_Reuss_Hill': 152.0, 'elastic_anisotropy': 10.41, 'elastic_tensor': [[246.0, 131.0, 96.0, 0.0, -4.0, 0.0], [131.0, 236.0, 130.0, -0.0, -2.0, 0.0], [96.0, 130.0, 196.0, -0.0, -2.0, 0.0], [0.0, -0.0, -0.0, 84.0, 0.0, -1.0], [-4.0, -2.0, -2.0, 0.0, 5.0, 0.0], [0.0, 0.0, 0.0, -1.0, 0.0, 92.0]], 'homogeneous_poisson': 0.38, 'poisson_ratio': 0.38, 'universal_anisotropy': 10.41, 'elastic_tensor_original': [[194.45795353262457, 99.70074770823298, 132.59791161237644, -0.09942945159702424, 0.25724010248653895, 5.796668504538988], [96.50746462036321, 242.1863468716614, 129.35313876882387, 0.14123549523146134, 0.006932421430627658, -14.239044732009688], [127.4918916378508, 132.25693477234765, 236.40342591151716, -0.0906056337251037, 0.01117865524236157, 0.970620404447636], [0.8364013742663986, 0.8505310092456347, 0.8202811351552134, 91.76027441480758, -0.7524785681266295, 0.021043324545816984], [0.9826392075245168, 0.9280265121539023, 0.8270234095724369, -0.6166992547371409, 84.18075568924495, -0.014824660092132014], [8.591537134647629, -16.96637720509524, 1.029903103364824, 0.08888926447650933, -0.01599523641687942, 7.2360423315661215]], 'compliance_tensor': [[6.0, -2.6, -1.1, -0.0, 3.1, 0.0], [-2.6, 7.9, -3.9, 0.0, -0.1, 0.0], [-1.1, -3.9, 8.3, 0.0, 0.3, -0.0], [-0.0, 0.0, 0.0, 11.9, 0.0, 0.2], [3.1, -0.1, 0.3, 0.0, 204.5, 0.0], [0.0, 0.0, -0.0, 0.2, 0.0, 10.9]], 'warnings': ['Inequivalent optimization structure'], 'nsites': 4}",0.0
