,atomic_mass,poissons_ratio,atomic_radius,electrical_resistivity,molar_volume,thermal_conductivity,bulk_modulus,youngs_modulus,group,is_noble_gas,is_transition_metal,is_post_transition_metal,is_rare_earth_metal,is_metalloid,is_alkali,is_alkaline,is_halogen,is_lanthanoid,is_actinoid,van_der_waals_radius,velocity_of_sound,critical_temperature,superconduction_temperature,average_cationic_radius,average_anionic_radius,ionic_radii,boiling_point,vickers_hardness,average_ionic_radius,melting_point,rigidity_modulus,Z,number,density_of_solid,coefficient_of_linear_thermal_expansion
H,1.00794,,0.25,,11.42,0.1805,,,1,False,False,False,False,False,False,False,False,False,False,1.2,1270.0,33.0,,0.0,0.0,{},20.28,,0.0,14.01 K,,1,1,,
He,4.002602,,,,21.0,0.1513,,,18,True,False,False,False,False,False,False,False,False,False,1.4,970.0,5.19,,0.0,0.0,{},4.22,,0.0,0.95 K,,2,2,,
Li,6.941,,1.45,9.5e-08,13.02,85.0,11.0,4.9,1,False,False,False,False,False,True,False,False,False,False,1.82,6000.0,3223.0,,0.9,0.0,{1: 0.9},1615.0,,0.9,453.69 K,4.2,3,3,535.0,4.6e-05
Be,9.012182,0.032,1.05,3.8e-08,4.85,190.0,130.0,287.0,2,False,False,False,False,False,False,True,False,False,False,1.53,13000.0,,0.026,0.59,0.0,{2: 0.59},2742.0,1670.0,0.59,1560.0 K,132.0,4,4,1848.0,1.13e-05
B,10.811,,0.85,1000000000000.0,4.39,27.0,320.0,,13,False,False,False,False,True,False,False,False,False,False,1.92,16200.0,,,0.41,0.0,{3: 0.41},4200.0,49000.0,0.41,2349.0 K,,5,5,2460.0,6e-06
C,12.0107,,0.7,1e-05,5.29,140.0,33.0,,14,False,False,False,False,False,False,False,False,False,False,1.7,18350.0,,,0.3,0.0,{4: 0.3},4300.0,,0.3,3800.0 K,,6,6,2267.0,7.1e-06
N,14.0067,,0.65,,13.54,0.02583,,,15,False,False,False,False,False,False,False,False,False,False,1.55,333.6,126.2,,0.28500000000000003,1.32,"{-3: 1.32, 3: 0.3, 5: 0.27}",77.36,,0.63,63.05 K,,7,7,,
O,15.9994,,0.6,,17.36,0.02658,,,16,False,False,False,False,False,False,False,False,False,False,1.52,317.5,154.6,,0.0,1.26,{-2: 1.26},90.2,,1.26,54.8 K,,8,8,,
F,18.9984032,,0.5,,11.2,0.0277,,,17,False,False,False,False,False,False,False,True,False,False,1.47,,144.0,,0.22,1.19,"{-1: 1.19, 7: 0.22}",85.03,,0.705,53.53 K,,9,9,,
Ne,20.1797,,,,13.23,0.0491,,,18,True,False,False,False,False,False,False,False,False,False,1.54,936.0,44.4,,0.0,0.0,{},27.07,,0.0,24.56 K,,10,10,,
Na,22.98976928,,1.8,4.9e-08,23.78,140.0,6.3,10.0,1,False,False,False,False,False,True,False,False,False,False,2.27,3200.0,2573.0,,1.16,0.0,{1: 1.16},1156.0,,1.16,370.87 K,3.3,11,11,968.0,7.1e-05
Mg,24.305,0.29,1.5,4.4e-08,14.0,160.0,45.0,45.0,2,False,False,False,False,False,False,True,False,False,False,1.73,4602.0,,,0.86,0.0,{2: 0.86},1363.0,,0.86,923.0 K,17.0,12,12,1738.0,8.2e-06
Al,26.9815386,0.35,1.25,2.7e-08,10.0,235.0,76.0,70.0,13,False,False,True,False,False,False,False,False,False,False,1.84,5100.0,,1.175,0.675,0.0,{3: 0.675},2792.0,167.0,0.675,933.47 K,26.0,13,13,2700.0,2.31e-05
Si,28.0855,,1.1,0.001,12.06,150.0,100.0,47.0,14,False,False,False,False,True,False,False,False,False,False,2.1,2200.0,,,0.54,0.0,{4: 0.54},3173.0,,0.54,1687.0 K,,14,14,2330.0,2.6e-06
P,30.973762,,1.0,1e-07,17.02,0.236,11.0,,15,False,False,False,False,False,False,False,False,False,False,1.8,,994.0,,0.55,0.0,"{3: 0.58, 5: 0.52}",550.0,,0.55,317.3 K,,15,15,1823.0,
S,32.065,,1.0,1e+23,15.53,0.205,7.7,,16,False,False,False,False,False,False,False,False,False,False,1.8,,1314.0,,0.47,1.7,"{-2: 1.7, 4: 0.51, 6: 0.43}",717.87,,0.88,388.36 K,,16,16,1960.0,
Cl,35.453,,1.0,10000000000.0,17.39,0.0089,1.1,,17,False,False,False,False,False,False,False,True,False,False,1.75,206.0,417.0,,0.33499999999999996,1.67,"{-1: 1.67, 5: 0.26, 7: 0.41}",239.11,,0.7799999999999999,171.6 K,,17,17,,
Ar,39.948,,0.71,,22.56,0.01772,,,18,True,False,False,False,False,False,False,False,False,False,1.88,319.0,150.8,,0.0,0.0,{},87.3,,0.0,83.8 K,,18,18,,
K,39.0983,,2.2,7.5e-08,45.94,100.0,3.1,,1,False,False,False,False,False,True,False,False,False,False,2.75,2000.0,2223.0,,1.52,0.0,{1: 1.52},1032.0,,1.52,336.53 K,1.3,19,19,856.0,
Ca,40.078,0.31,1.8,3.4e-08,26.2,200.0,17.0,20.0,2,False,False,False,False,False,False,True,False,False,False,2.31,3810.0,,,1.14,0.0,{2: 1.14},1757.0,,1.14,1115.0 K,7.4,20,20,1550.0,2.23e-05
Sc,44.955912,0.28,1.6,5.5e-07,15.0,16.0,57.0,74.0,3,False,True,False,False,False,False,False,False,False,False,2.11,,,0.05,0.885,0.0,{3: 0.885},3103.0,,0.885,1814.0 K,29.0,21,21,2985.0,1.02e-05
Ti,47.867,0.32,1.4,4e-07,10.64,22.0,110.0,116.0,4,False,True,False,False,False,False,False,False,False,False,,4140.0,,0.4,0.8516666666666667,0.0,"{2: 1.0, 3: 0.81, 4: 0.745}",3560.0,970.0,0.8516666666666667,1941.0 K,44.0,22,22,4507.0,8.6e-06
V,50.9415,0.37,1.35,2e-07,8.32,31.0,160.0,128.0,5,False,True,False,False,False,False,False,False,False,False,,4560.0,,5.4,0.7775,0.0,"{2: 0.93, 3: 0.78, 4: 0.72, 5: 0.68}",3680.0,628.0,0.7775,2183.0 K,47.0,23,23,6110.0,8.4e-06
Cr,51.9961,0.21,1.4,1.27e-07,7.23,94.0,160.0,279.0,6,False,True,False,False,False,False,False,False,False,False,,5940.0,,,0.94,0.0,{2: 0.94},2944.0,1060.0,0.94,2180.0 K,115.0,24,24,7140.0,4.9e-06
Mn,54.938045,,1.4,1.44e-06,7.35,7.8,120.0,198.0,7,False,True,False,False,False,False,False,False,False,False,,5150.0,,,0.6483333333333333,0.0,"{2: 0.97, 3: 0.785, 4: 0.67, 5: 0.47, 6: 0.395, 7: 0.6}",2334.0,,0.6483333333333333,1519.0 K,,25,25,7470.0,2.17e-05
Fe,55.845,0.29,1.4,1e-07,7.09,80.0,170.0,211.0,8,False,True,False,False,False,False,False,False,False,False,,4910.0,,,0.8525,0.0,"{2: 0.92, 3: 0.785}",3134.0,608.0,0.8525,1811.0 K,82.0,26,26,7874.0,1.18e-05
Co,58.933195,0.31,1.35,6e-08,6.67,100.0,180.0,209.0,9,False,True,False,False,False,False,False,False,False,False,,4720.0,,,0.7683333333333334,0.0,"{2: 0.885, 3: 0.75, 4: 0.67}",3200.0,1043.0,0.7683333333333334,1768.0 K,75.0,27,27,8900.0,1.3e-05
Ni,58.6934,0.31,1.35,7.2e-08,6.59,91.0,180.0,200.0,10,False,True,False,False,False,False,False,False,False,False,1.63,4970.0,,,0.74,0.0,{3: 0.74},3186.0,638.0,0.74,1728.0 K,76.0,28,28,8908.0,1.34e-05
Cu,63.546,0.34,1.35,1.72e-08,7.11,400.0,140.0,130.0,11,False,True,False,False,False,False,False,False,False,False,1.4,3570.0,,,0.82,0.0,"{1: 0.91, 2: 0.87, 3: 0.68}",3200.0,369.0,0.82,1357.77 K,48.0,29,29,8920.0,1.65e-05
Zn,65.409,0.25,1.35,6e-08,9.16,120.0,70.0,108.0,12,False,True,False,False,False,False,False,False,False,False,1.39,3700.0,,0.85,0.88,0.0,{2: 0.88},1180.0,,0.88,692.68 K,43.0,30,30,7140.0,3.02e-05
Ga,69.723,,1.3,1.4e-07,11.8,29.0,,,13,False,False,True,False,False,False,False,False,False,False,1.87,2740.0,,1.083,0.76,0.0,{3: 0.76},2477.0,,0.76,302.91 K,,31,31,5904.0,0.00012
Ge,72.64,,1.25,0.0005,13.63,60.0,,,14,False,False,False,False,True,False,False,False,False,False,2.11,5400.0,,,0.77,0.0,"{2: 0.87, 4: 0.67}",3093.0,,0.77,1211.4 K,,32,32,5323.0,6e-06
As,74.9216,,1.15,3.3e-07,12.95,50.0,22.0,8.0,15,False,False,False,False,True,False,False,False,False,False,1.85,,1700.0,,0.6599999999999999,0.0,"{3: 0.72, 5: 0.6}",887.0,,0.6599999999999999,1090.0 K,,33,33,5727.0,
Se,78.96,0.33,1.15,1e-08,16.42,0.52,8.3,10.0,16,False,False,False,False,False,False,False,False,False,False,1.9,3350.0,1766.0,,0.6000000000000001,1.84,"{-2: 1.84, 4: 0.64, 6: 0.56}",958.0,,1.0133333333333334,494.0 K,3.7,34,34,4819.0,
Br,79.904,,1.15,1e+18,19.78,0.12,1.9,,17,False,False,False,False,False,False,False,True,False,False,1.85,,586.0,,0.57,1.82,"{-1: 1.82, 3: 0.73, 5: 0.45, 7: 0.53}",332.0,,0.8825000000000001,265.8 K,,35,35,,
Kr,83.798,,,,27.99,0.00943,,,18,True,False,False,False,False,False,False,False,False,False,2.02,1120.0,209.4,,0.0,0.0,{},119.93,,0.0,115.79 K,,36,36,,
Rb,85.4678,,2.35,1.33e-07,55.76,58.0,2.5,2.4,1,False,False,False,False,False,True,False,False,False,False,3.03,1300.0,2093.0,,1.66,0.0,{1: 1.66},961.0,,1.66,312.46 K,,37,37,1532.0,
Sr,87.62,0.28,2.0,1.35e-07,33.94,35.0,,,2,False,False,False,False,False,False,True,False,False,False,2.49,,,,1.32,0.0,{2: 1.32},1655.0,,1.32,1050.0 K,6.1,38,38,2630.0,2.25e-05
Y,88.90585,0.24,1.8,6e-07,19.88,17.0,41.0,64.0,3,False,True,False,False,False,False,False,False,False,False,,3300.0,,1.3,1.04,0.0,{3: 1.04},3609.0,,1.04,1799.0 K,26.0,39,39,4472.0,1.06e-05
Zr,91.224,0.34,1.55,4.33e-07,14.02,23.0,,68.0,4,False,True,False,False,False,False,False,False,False,False,,3800.0,,0.61,0.86,0.0,{4: 0.86},4682.0,903.0,0.86,2128.0 K,33.0,40,40,6511.0,5.7e-06
Nb,92.90638,0.4,1.45,1.52e-07,10.83,54.0,170.0,105.0,5,False,True,False,False,False,False,False,False,False,False,,3480.0,,9.25,0.82,0.0,"{3: 0.86, 4: 0.82, 5: 0.78}",5017.0,1320.0,0.82,2750.0 K,38.0,41,41,8570.0,7.3e-06
Mo,95.94,0.31,1.45,5.5e-08,9.38,139.0,230.0,329.0,6,False,True,False,False,False,False,False,False,False,False,,6190.0,,0.915,0.775,0.0,"{3: 0.83, 4: 0.79, 5: 0.75, 6: 0.73}",4912.0,1530.0,0.775,2896.0 K,20.0,42,42,10280.0,4.8e-06
Tc,98.0,,1.35,2.2e-07,8.63,51.0,,,7,False,True,False,False,False,False,False,False,False,False,,,,7.8,0.7416666666666666,0.0,"{4: 0.785, 5: 0.74, 7: 0.7}",4538.0,,0.7416666666666666,2430.0 K,,43,43,11500.0,
Ru,101.07,0.3,1.3,7.1e-08,8.17,120.0,220.0,447.0,8,False,True,False,False,False,False,False,False,False,False,,5970.0,,0.49,0.661,0.0,"{3: 0.82, 4: 0.76, 5: 0.705, 7: 0.52, 8: 0.5}",4423.0,,0.661,2607.0 K,173.0,44,44,12370.0,6.4e-06
Rh,102.9055,0.26,1.35,4.3e-08,8.28,150.0,380.0,275.0,9,False,True,False,False,False,False,False,False,False,False,,4700.0,,,0.745,0.0,"{3: 0.805, 4: 0.74, 5: 0.69}",3968.0,1246.0,0.745,2237.0 K,150.0,45,45,12450.0,8.2e-06
Pd,106.42,0.39,1.4,1.08e-07,8.56,72.0,180.0,121.0,10,False,True,False,False,False,False,False,False,False,False,1.63,3070.0,,,0.84625,0.0,"{1: 0.73, 2: 1.0, 3: 0.9, 4: 0.755}",3236.0,461.0,0.84625,1828.05 K,44.0,46,46,12023.0,1.18e-05
Ag,107.8682,0.37,1.6,1.63e-08,10.27,430.0,100.0,83.0,11,False,True,False,False,False,False,False,False,False,False,1.72,2600.0,,,1.0866666666666667,0.0,"{1: 1.29, 2: 1.08, 3: 0.89}",2435.0,251.0,1.0866666666666667,1234.93 K,30.0,47,47,10490.0,1.89e-05
Cd,112.411,0.3,1.55,7e-08,13.0,97.0,42.0,50.0,12,False,True,False,False,False,False,False,False,False,False,1.58,2310.0,,0.517,1.09,0.0,{2: 1.09},1040.0,,1.09,594.22 K,19.0,48,48,8650.0,3.08e-05
In,114.818,,1.55,8e-08,15.76,82.0,,11.0,13,False,False,True,False,False,False,False,False,False,False,1.93,1215.0,,3.41,0.94,0.0,{3: 0.94},2345.0,,0.94,429.75 K,,49,49,7310.0,3.21e-05
Sn,118.71,0.36,1.45,1.15e-07,16.29,67.0,58.0,50.0,14,False,False,True,False,False,False,False,False,False,False,2.17,2500.0,,3.72,0.83,0.0,{4: 0.83},2875.0,,0.83,505.08 K,18.0,50,50,7310.0,2.2e-05
